,fast_period,slow_period,signal_period,apply_to,alpha,num_extreme,diff_extereme,signal,score_buy,score_sell
0,4,45,2,HLCC/4,0.01,35,6,buy,27368083.12,0
1,38,77,24,low,0.46,1875,6,,0.0,0
2,38,77,14,open,0.49,10,6,,0.0,0
3,30,67,20,HLC/3,0.44,1343,6,,0.0,0
4,30,67,20,HLCC/4,0.26,1343,4,,0.0,0
5,30,67,24,HLC/3,0.5,15,6,,0.0,0
6,30,67,24,OHLC/4,0.14,15,6,,0.0,0
7,30,67,24,HL/2,0.45,69,6,,0.0,0
8,30,67,24,open,0.31,69,5,,0.0,0
9,30,67,24,HL/2,0.48,69,4,,0.0,0
10,30,67,10,high,0.48,179,6,,0.0,0
11,30,67,10,HLCC/4,0.22,179,6,,0.0,0
12,35,67,14,open,0.46,1828,6,,0.0,0
13,35,67,14,OHLC/4,0.39,1828,6,,0.0,0
14,35,67,12,close,0.4,12,6,,0.0,0
15,35,67,12,open,0.3,12,5,,0.0,0
16,18,246,16,close,0.46,131,6,,0.0,0
17,12,32,23,OHLC/4,0.41,450,6,,0.0,0
18,38,460,19,OHLC/4,0.45,313,6,,0.0,0
19,38,460,19,HL/2,0.25,313,2,,0.0,0
20,38,460,11,HLC/3,0.41,22,6,,0.0,0
21,38,460,11,OHLC/4,0.09,22,5,,0.0,0
22,38,460,14,close,0.42,204,6,,0.0,0
23,38,460,14,low,0.4,204,5,,0.0,0
24,38,460,16,HLC/3,0.49,65,6,,0.0,0
25,38,460,16,HLCC/4,0.13,65,4,,0.0,0
26,4,460,7,low,0.48,3,6,,0.0,0
27,25,213,21,close,0.05,51,6,,0.0,0
28,25,213,21,high,0.4,51,3,,0.0,0
29,25,213,16,low,0.41,155,6,,0.0,0
30,25,213,16,HLC/3,0.03,155,5,,0.0,0
31,25,213,2,HL/2,0.45,91,6,,0.0,0
32,25,213,2,HLC/3,0.46,91,6,,0.0,0
33,25,213,17,OHLC/4,0.43,164,6,,0.0,0
34,25,213,17,close,0.27,164,5,,0.0,0
35,10,213,18,low,0.44,46,6,,0.0,0
36,10,213,18,low,0.02,46,6,,0.0,0
37,10,213,24,HLC/3,0.5,260,6,,0.0,0
38,10,213,24,open,0.43,260,6,,0.0,0
39,10,213,17,HLCC/4,0.41,69,6,,0.0,0
40,10,213,17,OHLC/4,0.33,69,5,,0.0,0
41,43,360,8,high,0.47,37,6,,0.0,0
42,43,360,8,HL/2,0.36,37,4,,0.0,0
43,10,360,19,high,0.5,27,6,,0.0,0
44,10,360,22,close,0.41,262,6,,0.0,0
45,10,360,22,HL/2,0.11,262,5,,0.0,0
46,10,360,17,close,0.46,60,6,,0.0,0
47,10,360,17,HLC/3,0.15,60,6,,0.0,0
48,10,360,25,OHLC/4,0.45,173,6,,0.0,0
49,10,360,25,OHLC/4,0.43,173,6,,0.0,0
50,29,360,24,close,0.49,233,6,,0.0,0
51,29,360,24,open,0.1,233,6,,0.0,0
52,43,67,7,HLCC/4,0.46,2047,6,,0.0,0
53,17,68,22,open,0.36,166,6,,0.0,0
54,17,68,22,HLCC/4,0.36,166,6,,0.0,0
55,17,68,11,open,0.45,120,6,,0.0,0
56,17,68,11,HLC/3,0.31,120,6,,0.0,0
57,17,68,5,OHLC/4,0.4,155,6,,0.0,0
58,17,68,5,low,0.37,155,5,,0.0,0
59,17,68,5,low,0.42,127,6,,0.0,0
60,17,68,5,HL/2,0.42,127,5,,0.0,0
61,26,68,14,OHLC/4,0.44,994,6,,0.0,0
62,26,68,14,open,0.36,994,5,,0.0,0
63,26,68,3,HL/2,0.5,26,6,,0.0,0
64,44,384,4,low,0.16,316,6,,0.0,0
65,44,384,4,HL/2,0.03,316,4,,0.0,0
66,44,384,15,close,0.44,46,6,,0.0,0
67,44,384,15,HLC/3,0.19,46,5,,0.0,0
68,44,384,18,HLCC/4,0.4,171,6,,0.0,0
69,44,384,18,open,0.44,171,6,,0.0,0
70,44,384,13,HL/2,0.49,81,6,,0.0,0
71,44,384,13,HLCC/4,0.49,81,5,,0.0,0
72,26,384,12,high,0.43,176,6,,0.0,0
73,26,384,12,open,0.46,176,6,,0.0,0
74,26,384,14,HLCC/4,0.5,82,6,,0.0,0
75,26,384,14,open,0.23,82,6,,0.0,0
76,26,384,4,low,0.5,143,6,,0.0,0
77,26,384,4,close,0.02,143,4,,0.0,0
78,19,348,9,HL/2,0.42,136,6,,0.0,0
79,19,348,9,HLCC/4,0.21,136,4,,0.0,0
80,4,348,23,HLCC/4,0.49,4,6,,0.0,0
81,4,348,23,high,0.3,4,6,,0.0,0
82,4,348,24,HLCC/4,0.47,567,6,,0.0,0
83,4,348,24,high,0.3,567,5,,0.0,0
84,4,348,9,HLCC/4,0.43,26,6,,0.0,0
85,4,348,9,high,0.31,26,5,,0.0,0
86,4,348,9,OHLC/4,0.24,26,4,,0.0,0
87,4,348,21,high,0.4,244,6,,0.0,0
88,4,348,21,close,0.28,244,6,,0.0,0
89,23,348,25,open,0.47,152,6,,0.0,0
90,23,348,25,close,0.26,152,6,,0.0,0
91,40,178,17,HLC/3,0.26,314,6,,0.0,0
92,40,178,17,HL/2,0.45,314,5,,0.0,0
93,40,178,20,HL/2,0.4,59,6,,0.0,0
94,40,178,20,HLCC/4,0.32,59,6,,0.0,0
95,40,178,5,HL/2,0.44,196,6,,0.0,0
96,40,178,5,HL/2,0.46,196,5,,0.0,0
97,40,178,10,HLCC/4,0.42,91,6,,0.0,0
98,40,178,10,HLC/3,0.07,91,4,,0.0,0
99,12,178,16,HLCC/4,0.4,80,6,,0.0,0
100,12,178,16,high,0.39,80,5,,0.0,0
101,12,178,10,OHLC/4,0.49,157,6,,0.0,0
102,12,178,10,OHLC/4,0.18,157,6,,0.0,0
103,12,178,11,HLCC/4,0.48,107,6,,0.0,0
104,12,178,11,close,0.1,107,6,,0.0,0
105,12,178,11,HLC/3,0.42,107,5,,0.0,0
106,4,229,20,close,0.48,818,6,,0.0,0
107,4,229,20,HL/2,0.2,818,5,,0.0,0
108,5,229,18,HL/2,0.41,10,6,,0.0,0
109,5,229,18,HL/2,0.35,10,5,,0.0,0
110,5,229,25,high,0.44,433,6,,0.0,0
111,5,229,25,OHLC/4,0.18,433,5,,0.0,0
112,5,229,11,HLC/3,0.5,41,6,,0.0,0
113,12,422,16,HLCC/4,0.29,6,6,,0.0,0
114,12,422,16,HLCC/4,0.09,6,4,,0.0,0
115,12,422,5,high,0.49,314,6,,0.0,0
116,12,422,5,open,0.14,314,5,,0.0,0
117,12,422,12,HLC/3,0.46,47,6,,0.0,0
118,12,422,12,HL/2,0.1,47,4,,0.0,0
119,12,422,24,HL/2,0.42,160,6,,0.0,0
120,12,422,24,HLC/3,0.11,160,6,,0.0,0
121,10,422,15,low,0.41,23,6,,0.0,0
122,10,422,15,HLCC/4,0.33,23,4,,0.0,0
123,10,422,14,OHLC/4,0.44,192,6,,0.0,0
124,10,422,14,HLCC/4,0.26,192,5,,0.0,0
125,10,422,20,low,0.41,71,6,,0.0,0
126,10,422,20,HLCC/4,0.34,71,6,,0.0,0
127,20,417,3,low,0.43,138,6,,0.0,0
128,20,417,3,close,0.49,138,4,,0.0,0
129,39,417,11,close,0.48,364,6,,0.0,0
130,39,417,11,OHLC/4,0.33,364,5,,0.0,0
131,39,417,17,open,0.47,36,6,,0.0,0
132,39,417,17,HLCC/4,0.28,36,6,,0.0,0
133,39,417,17,close,0.43,190,6,,0.0,0
134,39,417,17,HLC/3,0.12,190,5,,0.0,0
135,39,417,12,HLCC/4,0.49,73,6,,0.0,0
136,39,417,12,HL/2,0.16,73,6,,0.0,0
137,19,417,14,low,0.49,86,6,,0.0,0
138,19,417,14,close,0.17,86,5,,0.0,0
139,34,96,6,HLC/3,0.49,773,6,,0.0,0
140,34,96,6,high,0.03,773,5,,0.0,0
141,34,96,20,high,0.42,33,6,,0.0,0
142,34,96,20,HLC/3,0.37,33,5,,0.0,0
143,34,96,16,close,0.47,254,6,,0.0,0
144,34,96,16,HLC/3,0.32,254,5,,0.0,0
145,34,96,22,open,0.42,73,6,,0.0,0
146,34,96,22,HLCC/4,0.43,73,5,,0.0,0
147,41,96,23,high,0.46,1751,6,,0.0,0
148,41,96,23,open,0.46,1751,6,,0.0,0
149,41,96,20,HL/2,0.44,14,6,,0.0,0
150,41,96,20,HLC/3,0.07,14,6,,0.0,0
151,41,96,21,HL/2,0.44,355,6,,0.0,0
152,41,96,21,HL/2,0.34,355,5,,0.0,0
153,5,196,12,close,0.43,532,6,,0.0,0
154,5,196,12,HL/2,0.2,532,6,,0.0,0
155,23,196,3,HLCC/4,0.46,269,6,,0.0,0
156,23,196,3,HLCC/4,0.11,269,5,,0.0,0
157,23,196,20,open,0.45,61,6,,0.0,0
158,23,196,20,high,0.19,61,5,,0.0,0
159,23,196,15,low,0.45,174,6,,0.0,0
160,23,196,15,high,0.23,174,7,,0.0,0
161,23,196,19,HLCC/4,0.4,104,6,,0.0,0
162,23,196,19,open,0.3,104,5,,0.0,0
163,34,196,11,HLC/3,0.46,589,6,,0.0,0
164,34,196,11,open,0.36,589,5,,0.0,0
165,9,384,19,open,0.46,1,6,,0.0,0
166,9,384,19,close,0.05,1,4,,0.0,0
167,9,384,16,high,0.4,408,6,,0.0,0
168,9,384,16,HL/2,0.17,408,5,,0.0,0
169,9,384,19,HLCC/4,0.4,37,6,,0.0,0
170,9,384,19,open,0.4,37,5,,0.0,0
171,9,384,22,close,0.48,224,6,,0.0,0
172,9,384,22,HLC/3,0.15,224,6,,0.0,0
173,36,384,22,HLC/3,0.4,337,6,,0.0,0
174,36,384,22,high,0.4,337,6,,0.0,0
175,36,384,12,close,0.48,42,6,,0.0,0
176,36,384,12,HLC/3,0.01,42,6,,0.0,0
177,36,384,16,high,0.43,180,6,,0.0,0
178,36,384,16,open,0.24,180,5,,0.0,0
179,41,202,4,HL/2,0.45,28,6,,0.0,0
180,41,202,4,OHLC/4,0.29,28,4,,0.0,0
181,41,202,4,close,0.46,28,2,,0.0,0
182,8,202,25,HLCC/4,0.48,31,6,,0.0,0
183,8,202,25,high,0.32,31,4,,0.0,0
184,8,202,9,close,0.49,246,6,,0.0,0
