,fast_period,slow_period,signal_period,apply_to,alpha,num_extreme,diff_extereme,signal,score_buy,score_sell
0,4,25,25,HLC/3,0.19,64,4,"buy,sell",0.0,1711.713665
1,41,169,3,high,0.25,241,2,"buy,sell",0.0,112849.9406
2,41,169,3,close,0.24,241,2,"buy,sell",0.0,1043338.705
3,41,169,3,close,0.31,241,4,"buy,sell",0.0,516235.8828
4,41,169,3,close,0.25,241,4,"buy,sell",0.0,109181.1596
5,41,169,3,HLCC/4,0.46,241,4,"buy,sell",0.0,405576.7174
6,41,169,3,low,0.21,241,4,"buy,sell",0.0,1330300.346
7,41,169,3,open,0.19,241,5,"buy,sell",0.0,1165610.867
8,41,169,3,HLC/3,0.48,241,5,"buy,sell",0.0,2792131.681
9,41,169,3,HLCC/4,0.04,241,5,"buy,sell",0.0,2302443.566
10,41,169,3,HLCC/4,0.09,241,5,,0.0,0.0
11,41,169,3,HLC/3,0.39,241,4,"buy,sell",0.0,882019.4096
12,41,169,3,HLC/3,0.39,241,4,"buy,sell",0.0,882019.4096
13,41,169,3,HLC/3,0.39,241,4,"buy,sell",0.0,882019.4096
14,41,169,3,OHLC/4,0.18,241,4,,0.0,0.0
15,41,169,3,high,0.01,241,6,"buy,sell",0.0,228744.3261
16,41,169,3,HL/2,0.01,241,3,,0.0,0.0
17,4,25,25,HLC/3,0.46,64,6,,0.0,0.0
18,41,169,3,high,0.03,241,2,"buy,sell",0.0,501771.7954
19,41,169,3,HLC/3,0.43,241,4,"buy,sell",0.0,5801884.591
20,41,169,3,open,0.48,241,3,,0.0,0.0
21,41,169,3,HL/2,0.49,241,3,"buy,sell",0.0,1754233.536
22,41,169,3,HLCC/4,0.2,241,3,"buy,sell",0.0,565148.403
23,41,169,3,close,0.14,241,5,,0.0,0.0
24,41,169,3,OHLC/4,0.12,241,5,"buy,sell",0.0,627719.9987
25,41,169,3,HLCC/4,0.31,241,5,"buy,sell",0.0,200505.7686
26,41,169,3,HLCC/4,0.09,241,4,"buy,sell",0.0,1216508.147
27,41,169,3,HLCC/4,0.11,241,4,"buy,sell",0.0,335498.2639
28,41,169,3,HLC/3,0.02,241,6,"buy,sell",0.0,6956440.582
29,41,169,3,close,0.38,241,4,,0.0,0.0
30,41,169,3,close,0.29,241,6,"buy,sell",0.0,130117.9378
31,41,169,3,low,0.24,241,5,"buy,sell",0.0,4670731.002
32,4,25,25,HLCC/4,0.13,64,5,,0.0,0.0
33,4,25,11,OHLC/4,0.44,291,6,,0.0,0.0
34,4,25,11,high,0.07,291,4,,0.0,0.0
35,4,25,3,HL/2,0.48,82,6,,0.0,0.0
36,41,169,3,HLC/3,0.5,241,4,"buy,sell",0.0,1045520.544
37,41,169,3,low,0.49,241,3,"buy,sell",0.0,4503010.802
38,169,673,11,close,0.43,1,6,,0.0,0.0
39,169,673,11,high,0.18,1,2,,0.0,0.0
40,169,673,14,OHLC/4,0.5,158,6,,0.0,0.0
41,31,225,16,HLC/3,0.22,427,6,,0.0,0.0
42,31,225,15,HLCC/4,0.5,58,6,,0.0,0.0
43,31,225,15,OHLC/4,0.2,58,6,,0.0,0.0
44,25,225,20,HLCC/4,0.48,277,6,,0.0,0.0
45,25,225,20,HLC/3,0.29,277,5,,0.0,0.0
46,25,225,9,high,0.43,70,6,,0.0,0.0
47,25,225,9,HLC/3,0.07,70,6,,0.0,0.0
48,25,225,15,OHLC/4,0.41,197,6,,0.0,0.0
49,41,169,3,HLC/3,0.38,241,4,"buy,sell",0.0,226869.7478
50,4,25,25,HL/2,0.13,64,6,,0.0,0.0
51,296,1223,21,HLC/3,0.48,6919,6,,0.0,0.0
52,296,1223,6,HL/2,0.47,1010,6,,0.0,0.0
53,7,642,24,HLC/3,0.49,574,6,,0.0,0.0
54,7,642,24,HLCC/4,0.41,574,4,,0.0,0.0
55,7,642,3,HLCC/4,0.46,15,6,,0.0,0.0
56,41,169,3,high,0.28,241,4,"buy,sell",0.0,105277.5272
57,41,169,3,OHLC/4,0.02,241,3,,0.0,0.0
58,41,169,3,HLC/3,0.45,241,2,"buy,sell",0.0,956072.7119
59,41,169,3,HLC/3,0.09,241,5,,0.0,0.0
60,41,169,4,OHLC/4,0.4,82,6,,0.0,0.0
61,419,565,8,close,0.43,24639,6,,0.0,0.0
