fast_period,slow_period,signal_period,apply_to,alpha,num_extreme,diff_extereme,signal,score_buy,score_sell
5,25,3,close,0.34,25,5,buy,4671147.808,0
6,138,12,high,0.15,5,6,,0,0
6,138,12,high,0.11,5,5,,0,0
6,138,15,low,0.43,844,6,,0,0
6,138,15,HLCC/4,0.2,844,5,,0,0
6,138,5,close,0.47,24,6,,0,0
6,138,5,HLCC/4,0.47,24,6,,0,0
6,138,5,open,0.34,24,6,,0,0
6,138,21,OHLC/4,0.42,506,6,,0,0
6,138,21,OHLC/4,0.46,506,5,,0,0
7,138,4,low,0.4,35,6,,0,0
23,106,16,OHLC/4,0.02,164,6,,0,0
23,106,16,open,0.04,164,4,,0,0
23,106,5,low,0.41,133,6,,0,0
23,106,5,HL/2,0.14,133,5,,0,0
23,106,10,low,0.49,142,6,,0,0
23,106,10,open,0.33,142,5,,0,0
23,106,17,low,0.4,142,6,,0,0
23,106,17,HLCC/4,0.2,142,5,,0,0
38,106,2,HLCC/4,0.5,1362,6,,0,0
38,106,2,HLC/3,0.29,1362,5,,0,0
38,106,2,OHLC/4,0.15,1362,1,,0,0
38,106,22,OHLC/4,0.48,8,6,,0,0
38,106,22,OHLC/4,0.13,8,6,,0,0
38,106,15,HLC/3,0.5,360,6,,0,0
38,106,15,HLCC/4,0.01,360,6,,0,0
19,178,14,OHLC/4,0.5,111,6,,0,0
19,178,14,high,0.38,111,5,,0,0
13,178,3,open,0.41,94,6,,0,0
13,178,3,close,0.47,94,6,,0,0
13,178,4,close,0.47,202,6,,0,0
13,178,4,close,0.14,202,5,,0,0
13,178,7,close,0.5,98,6,,0,0
13,178,7,HLC/3,0.14,98,6,,0,0
13,178,5,HLCC/4,0.44,198,6,,0,0
13,178,5,HL/2,0.05,198,4,,0,0
35,178,3,HLCC/4,0.49,688,6,,0,0
35,178,3,high,0.17,688,5,,0,0
35,178,13,HLC/3,0.4,29,6,,0,0
35,178,13,close,0.19,29,6,,0,0
22,222,9,high,0.08,149,6,,0,0
22,222,9,low,0.1,149,4,,0,0
22,222,15,HL/2,0.5,123,6,,0,0
22,222,15,low,0.31,123,5,,0,0
22,222,15,high,0.49,147,6,,0,0
22,222,15,open,0.33,147,6,,0,0
22,222,6,close,0.4,133,6,,0,0
22,222,6,open,0.13,133,6,,0,0
39,222,7,open,0.43,685,6,,0,0
39,222,7,low,0.17,685,6,,0,0
39,222,15,open,0.45,31,6,,0,0
39,222,15,high,0.14,31,6,,0,0
39,222,25,HL/2,0.4,283,6,,0,0
39,222,25,close,0.2,283,6,,0,0
15,192,24,low,0.42,172,6,,0,0
15,192,24,HLC/3,0.18,172,5,,0,0
49,192,17,close,0.47,1250,6,,0,0
49,192,17,HLC/3,0.28,1250,4,,0,0
49,192,4,HL/2,0.46,17,6,,0,0
49,192,4,open,0.09,17,5,,0,0
49,192,4,HLCC/4,0.42,265,6,,0,0
49,192,4,HLCC/4,0.2,265,7,,0,0
49,192,8,OHLC/4,0.46,78,6,,0,0
49,192,8,high,0.02,78,5,,0,0
24,192,11,HLC/3,0.48,300,6,,0,0
24,192,11,open,0.05,300,6,,0,0
24,192,12,OHLC/4,0.49,70,6,,0,0
24,192,12,close,0.43,70,6,,0,0
46,146,23,HLCC/4,0.3,995,6,,0,0
46,146,23,close,0.14,995,5,,0,0
46,146,19,HLCC/4,0.5,21,6,,0,0
46,146,19,high,0.08,21,6,,0,0
46,146,17,open,0.41,286,6,,0,0
46,146,17,low,0.43,286,6,,0,0
46,146,10,HL/2,0.5,78,6,,0,0
46,146,10,OHLC/4,0.14,78,6,,0,0
30,146,3,HLC/3,0.43,616,6,,0,0
30,146,3,high,0.1,616,5,,0,0
30,146,23,HL/2,0.42,40,6,,0,0
30,146,23,close,0.3,40,6,,0,0
30,146,11,HLCC/4,0.41,276,6,,0,0
30,146,11,open,0.23,276,5,,0,0
10,43,8,close,0.5,110,6,,0,0
10,43,8,HL/2,0.39,110,6,,0,0
15,43,12,HL/2,0.43,523,6,,0,0
15,43,12,OHLC/4,0.35,523,5,,0,0
15,43,20,low,0.45,50,6,,0,0
15,43,20,OHLC/4,0.11,50,5,,0,0
15,43,8,HLC/3,0.49,298,6,,0,0
15,43,8,high,0.08,298,6,,0,0
15,43,19,HLCC/4,0.44,85,6,,0,0
15,43,19,open,0.46,85,5,,0,0
25,43,5,HL/2,0.45,1453,6,,0,0
25,43,5,high,0.03,1453,6,,0,0
25,43,5,OHLC/4,0.48,15,6,,0,0
25,43,5,high,0.47,15,5,,0,0
53,247,20,low,0.14,37,6,,0,0
53,247,20,HL/2,0.01,37,2,,0,0
53,247,16,low,0.41,121,6,,0,0
53,247,16,OHLC/4,0.26,121,5,,0,0
53,247,3,OHLC/4,0.49,121,6,,0,0
53,247,3,HLC/3,0.36,121,6,,0,0
53,247,10,high,0.47,131,6,,0,0
53,247,10,HLC/3,0.35,131,6,,0,0
36,247,22,HL/2,0.45,524,6,,0,0
36,247,22,OHLC/4,0.07,524,5,,0,0
36,247,4,open,0.45,35,6,,0,0
36,247,4,low,0.48,35,5,,0,0
36,247,24,low,0.44,265,6,,0,0
36,247,24,HLCC/4,0.1,265,5,,0,0
20,116,20,HLC/3,0.4,72,6,,0,0
20,116,20,OHLC/4,0.43,72,6,,0,0
39,116,22,high,0.49,1311,6,,0,0
39,116,22,HL/2,0.22,1311,4,,0,0
39,116,16,low,0.43,16,6,,0,0
39,116,16,low,0.36,16,5,,0,0
39,116,7,high,0.45,382,6,,0,0
39,116,7,high,0.06,382,5,,0,0
39,116,21,HL/2,0.41,54,6,,0,0
39,116,21,open,0.26,54,5,,0,0
31,116,12,HL/2,0.45,828,6,,0,0
31,116,12,HL/2,0.12,828,5,,0,0
31,116,15,HLC/3,0.45,25,6,,0,0
31,116,15,HLCC/4,0.05,25,6,,0,0
27,130,12,HLCC/4,0.47,415,6,,0,0
27,130,12,HLCC/4,0.21,415,7,,0,0
27,130,20,HL/2,0.46,61,6,,0,0
27,130,20,open,0.38,61,6,,0,0
27,130,3,high,0.41,237,6,,0,0
27,130,3,HL/2,0.37,237,6,,0,0
27,130,15,high,0.49,96,6,,0,0
27,130,15,HLCC/4,0.48,96,6,,0,0
9,130,17,HLCC/4,0.4,62,6,,0,0
9,130,17,low,0.08,62,6,,0,0
9,130,15,HLC/3,0.46,229,6,,0,0
9,130,15,high,0.08,229,6,,0,0
9,130,9,low,0.44,95,6,,0,0
22,240,15,HLC/3,0.21,188,6,,0,0
22,240,15,low,0.16,188,4,,0,0
22,240,13,low,0.4,93,6,,0,0
22,240,13,HL/2,0.08,93,4,,0,0
22,240,6,HL/2,0.5,120,6,,0,0
22,240,6,HL/2,0.1,120,5,,0,0
22,240,18,close,0.45,133,6,,0,0
22,240,18,HLCC/4,0.24,133,6,,0,0
29,240,9,OHLC/4,0.47,350,6,,0,0
29,240,9,open,0.4,350,5,,0,0
29,240,4,high,0.42,56,6,,0,0
29,240,4,HLC/3,0.39,56,5,,0,0
29,240,16,low,0.45,213,6,,0,0
29,240,16,OHLC/4,0.32,213,6,,0,0
34,94,23,HLC/3,0.42,20,6,,0,0
34,94,23,low,0.37,20,6,,0,0
44,94,16,HLC/3,0.43,2059,6,,0,0
44,94,16,low,0.17,2059,2,,0,0
44,94,16,HLC/3,0.45,11,6,,0,0
44,94,16,close,0.27,11,6,,0,0
44,94,3,HLCC/4,0.48,465,6,,0,0
44,94,3,HLCC/4,0.34,465,7,,0,0
44,94,11,close,0.48,53,6,,0,0
44,94,11,low,0.21,53,6,,0,0
29,94,9,HL/2,0.4,894,6,,0,0
29,94,9,open,0.15,894,4,,0,0
29,94,2,HLCC/4,0.47,21,6,,0,0
29,94,2,HL/2,0.14,21,6,,0,0
49,107,22,low,0.44,1540,6,,0,0
49,107,22,close,0.14,1540,1,,0,0
49,107,10,HLCC/4,0.45,12,6,,0,0
49,107,10,HL/2,0.36,12,6,,0,0
49,107,16,close,0.5,476,6,,0,0
49,107,16,high,0.49,476,6,,0,0
49,107,18,open,0.43,56,6,,0,0
49,107,18,HLCC/4,0.22,56,5,,0,0
44,107,8,OHLC/4,0.42,1809,6,,0,0
44,107,8,high,0.5,1809,1,,0,0
44,107,6,HLC/3,0.46,11,6,,0,0
44,107,6,close,0.45,11,6,,0,0
44,107,15,low,0.43,511,6,,0,0
44,107,15,OHLC/4,0.31,511,5,,0,0
34,91,4,HLCC/4,0.5,19,6,,0,0
34,91,4,high,0.17,19,6,,0,0
51,91,16,HLC/3,0.48,2858,6,,0,0
