,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,HLC/3,244,456,4,macdh,69,218,6,1,0.37,2579,285,102,146,697,209,158,792,174,87,867,216,136,822,877,467,229,19,787,650,102,81,152,895,356,44,602,945,490,766,321,970,1684,44,499,86,248,147,26,126,3,32,0.76,0.55,1,50,0.98,0.96,0.87,0.81,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,-1,True,False
1,close,326,1248,15,macd,15,225,6,31,0.1,2386,284,199,77,307,217,94,517,153,189,507,32,65,674,522,409,401,353,189,287,56,4,879,369,873,550,61,839,204,262,353,868,510,36,452,4,34,102,25,496,11,37,0.02,0.85,3,1,0.92,0.86,0.86,0.81,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,-1,True,False
2,low,597,1167,17,macdh,125,136,6,33,0.36,2382,432,19,19,452,241,141,295,78,137,232,109,102,523,741,372,366,69,114,990,274,139,610,654,817,431,516,865,41,321,424,709,1873,48,273,23,93,142,12,463,1,46,0.33,0.49,36,30,0.83,0.81,0.89,0.8,True,True,False,False,True,False,True,True,True,True,True,False,True,False,False,False,False,-1,True,False
3,HL/2,494,621,20,macdh,228,139,6,18,0.27,2266,379,50,6,85,19,16,378,105,116,487,142,123,363,565,918,401,68,753,441,345,155,29,10,405,348,261,341,346,124,7,734,1397,15,839,216,224,143,11,844,9,17,0.11,0.91,23,29,0.82,0.81,0.91,0.8,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,-1,True,False
4,high,586,838,6,macdh,205,118,6,20,0.65,198,452,57,32,885,135,124,316,246,28,140,173,193,954,605,248,103,36,982,54,128,15,856,650,678,362,397,192,444,375,94,527,609,41,860,28,67,194,29,845,2,44,0.33,0.77,9,32,0.86,0.91,0.97,0.93,True,False,True,True,False,False,True,False,False,True,False,True,True,False,False,True,False,-1,True,False
5,low,682,1324,35,macd,17,115,6,3,0.46,1808,329,141,242,717,78,42,671,28,68,175,39,190,416,982,562,250,26,763,504,71,38,436,22,993,561,753,6,878,357,84,284,1856,19,141,106,928,128,41,816,7,13,0.6,0.49,30,40,0.94,0.8,0.99,0.91,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,True,-1,True,False
6,OHLC/4,203,751,35,macd,32,201,6,30,0.49,2319,530,138,66,437,127,7,517,179,9,473,4,144,336,997,607,319,69,919,758,91,24,553,720,987,810,530,920,824,571,321,715,1041,46,938,439,579,70,12,295,16,33,0.34,0.1,19,41,0.96,0.85,0.97,0.86,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,-1,True,False
7,HL/2,430,1116,21,macdh,192,170,6,29,0.52,1160,330,138,239,428,154,98,551,66,4,540,230,162,954,948,727,388,232,192,276,255,155,864,862,535,894,947,61,881,619,472,928,621,10,398,47,82,134,18,859,50,40,0.56,0.01,22,3,0.91,0.85,0.94,0.91,False,True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,-1,True,False
8,OHLC/4,800,1160,32,macd,127,44,6,16,0.79,2795,976,170,232,257,82,158,596,127,23,784,141,76,73,475,201,238,166,229,57,163,123,774,284,260,495,194,456,526,189,114,1270,1336,5,598,68,398,192,1,469,20,45,0.02,0.94,17,6,0.95,0.85,0.8,0.94,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,True,True,-1,True,False
9,OHLC/4,51,673,19,macdh,30,187,6,15,0.52,2384,201,114,241,868,129,214,512,28,51,643,174,121,349,484,470,389,54,126,641,109,12,493,315,675,494,858,350,325,851,410,1066,396,32,159,147,1346,162,8,2,45,43,0.79,0.11,5,24,0.8,0.97,0.9,0.81,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,False,False,-1,True,False
10,open,508,1211,20,macdh,237,7,6,16,0.85,1549,448,202,62,459,232,121,219,41,230,981,143,184,20,839,779,446,133,563,150,125,25,415,491,861,645,784,774,996,6,35,721,88,7,429,198,1053,121,4,199,6,14,0.43,0.53,49,22,0.84,0.88,0.95,0.95,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,-1,True,False
11,open,336,1412,28,macdh,72,33,6,19,0.73,2677,828,212,128,214,208,153,279,167,19,444,242,182,904,554,503,170,155,761,30,422,217,33,260,632,962,9,298,936,254,260,1207,2416,30,603,13,77,160,50,942,11,21,0.35,0.38,41,5,0.84,0.84,0.89,0.8,False,False,True,True,True,True,False,False,True,False,True,True,True,False,True,True,False,-1,True,False
12,OHLC/4,404,1217,11,macd,171,34,6,38,0.55,1201,280,165,168,52,9,224,420,74,195,603,192,203,3,759,646,114,55,123,122,207,108,317,894,7,669,711,556,947,473,367,1126,34,15,481,45,54,74,21,748,5,41,0.73,0.26,16,46,0.82,0.98,0.82,0.83,True,True,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,-1,True,False
13,low,155,1310,12,macd,233,201,5,50,0.49,1658,294,194,39,982,2,163,7,34,194,939,214,83,319,751,515,40,16,522,299,269,32,792,660,961,511,157,102,328,15,204,913,1440,47,982,172,924,76,12,67,3,6,0.05,0.65,50,43,0.0,0.0,0.0,0.0,True,True,True,False,True,True,True,True,False,True,False,True,False,False,True,True,False,-1,True,False
