,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,HLC/3,426,730,38,macds,18,244,6,35,0.55,1460,248,68,163,896,34,66,658,17,103,682,247,207,430,538,718,165,113,538,331,428,205,258,274,270,233,386,275,965,721,211,1144,2252,16,521,12,50,179,4,136,44,35,0.26,0.79,48,19,0.88,0.91,0.8,0.94,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,-1,True,False
1,high,567,1137,20,macd,40,247,6,23,0.96,2441,252,137,56,517,89,78,7,170,241,104,188,215,896,952,878,481,280,202,79,409,170,702,475,348,311,747,697,994,967,226,1291,543,16,428,343,1162,117,34,677,32,18,0.26,0.24,44,50,0.93,0.88,0.97,0.85,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,-1,True,False
2,close,102,1197,49,macd,197,77,6,42,0.43,348,439,84,120,64,89,113,213,61,220,498,72,96,594,232,608,291,37,805,677,265,127,273,52,146,281,107,714,609,513,392,567,1258,35,534,3,39,159,47,970,6,25,0.02,0.14,25,39,0.96,0.92,0.9,0.86,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,-1,True,False
3,HLCC/4,201,1491,27,macd,123,17,6,25,0.55,150,217,24,89,464,112,188,532,110,216,144,101,233,412,839,532,236,116,249,363,290,173,151,587,609,367,135,616,712,656,409,707,2224,34,30,106,1272,143,25,401,30,15,0.46,0.75,18,27,0.95,0.83,0.99,0.8,False,True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,-1,True,False
4,HLC/3,109,934,17,macd,173,62,6,19,0.96,607,131,234,97,388,215,59,827,109,152,521,217,166,168,657,457,140,106,705,580,156,40,774,362,723,317,87,509,948,466,365,1319,1506,10,655,19,53,102,12,85,37,19,0.83,0.31,45,18,0.86,0.94,0.92,0.83,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,-1,True,False
5,HL/2,374,1101,37,macdh,216,44,6,43,0.25,995,193,195,88,851,244,118,107,19,90,99,41,83,815,454,405,357,225,747,332,175,104,237,352,892,207,917,423,4,244,112,742,2133,2,377,2,81,79,31,565,8,39,0.21,0.74,5,38,0.83,0.83,0.82,0.89,True,False,False,False,True,True,True,False,True,False,True,False,False,True,False,False,False,-1,True,False
6,low,341,795,42,macdh,149,237,6,4,0.63,834,917,204,62,984,20,37,407,211,68,284,128,39,846,220,167,73,12,146,748,57,27,482,555,80,120,329,17,439,462,231,845,2097,34,388,69,1218,75,12,846,34,28,0.89,0.61,18,39,0.83,0.98,0.89,0.86,False,True,True,False,True,True,True,False,True,True,False,False,True,False,True,False,True,-1,True,False
7,high,303,1332,4,macd,196,7,6,15,0.3,2400,99,81,170,211,201,51,961,19,70,522,170,150,299,675,473,221,160,164,135,146,115,472,847,257,178,356,919,68,114,282,834,691,5,691,469,514,133,8,305,3,43,0.9,0.57,14,33,0.93,0.83,0.81,0.89,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,True,-1,True,False
8,open,61,845,39,macds,162,239,6,42,0.75,2340,633,86,159,955,205,17,996,250,212,755,244,42,787,952,628,364,104,953,343,496,426,303,629,822,443,79,956,924,236,193,631,650,28,544,63,997,94,29,708,34,42,0.85,0.93,32,2,0.93,0.98,0.93,0.87,False,False,True,False,True,True,False,False,False,True,True,False,True,True,True,False,True,-1,True,False
9,HLC/3,79,1286,36,macds,229,54,6,40,0.7,1664,335,112,27,551,188,107,281,178,24,461,96,187,874,982,426,369,85,218,957,273,73,414,499,624,733,410,709,728,132,104,822,1623,25,805,50,106,93,33,717,14,46,0.71,0.21,41,34,0.95,0.91,0.88,0.85,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,False,-1,True,False
