,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,low,65,1010,15,macd,3,79,6,23,0.56,2938,399,238,51,229,50,70,37,220,20,413,244,41,325,891,440,466,173,651,461,67,64,265,698,971,75,88,231,616,21,190,221,1051,22,941,16,28,209,24,268,30,29,0.79,0.79,40,41,0.94,0.81,0.95,0.89,True,False,True,True,True,False,True,False,False,True,True,False,True,True,True,False,True,-1,True,False
1,low,307,1296,6,macds,144,250,6,19,0.93,803,485,149,38,395,144,25,692,29,139,520,58,51,666,877,586,372,301,190,478,312,7,605,928,776,357,485,997,864,641,70,460,2308,20,878,47,66,158,9,813,3,5,0.2,0.27,41,48,0.86,0.89,0.86,0.8,True,False,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,-1,True,False
2,HL/2,268,1172,8,macd,32,192,6,49,0.59,1225,128,15,193,176,201,93,238,172,41,230,134,124,272,465,863,185,31,157,800,470,253,187,294,740,332,192,102,652,284,254,767,2017,3,287,17,32,114,45,263,4,10,0.03,0.8,23,18,0.99,0.92,0.84,0.81,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,-1,True,False
3,close,162,674,24,macdh,200,90,6,44,0.32,1335,301,170,136,129,149,193,4,112,126,102,192,113,28,532,303,369,339,824,692,114,54,258,207,760,41,938,562,966,95,243,1279,48,34,114,26,998,174,7,358,15,5,0.86,0.87,18,22,0.87,0.89,0.95,0.84,True,True,True,False,True,False,True,True,True,False,True,False,False,False,False,False,True,-1,True,False
4,HL/2,225,1338,36,macd,32,233,6,2,0.81,340,193,221,162,20,57,145,978,196,210,888,38,225,617,702,425,197,127,87,740,368,357,452,555,723,140,780,751,820,952,136,666,944,18,694,19,84,105,41,114,15,20,0.04,0.31,13,9,0.98,0.96,0.86,0.99,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,-1,True,False
5,HLCC/4,229,1156,36,macdh,237,212,6,28,0.62,1793,161,124,119,54,32,8,836,68,148,115,34,216,982,574,92,214,189,196,154,91,32,958,260,329,519,851,463,100,425,90,835,1181,42,582,32,37,87,50,948,9,5,0.44,0.27,4,44,0.85,0.93,0.84,0.86,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,True,True,-1,True,False
6,low,143,885,38,macdh,205,73,6,21,0.75,2186,496,23,53,415,67,35,384,235,106,701,32,58,843,780,408,444,312,490,361,456,210,662,675,503,331,264,588,574,273,17,480,951,6,538,29,95,84,22,402,9,42,0.72,0.01,44,38,0.95,0.9,0.97,0.94,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,True,-1,True,False
7,low,547,599,48,macd,147,62,6,24,0.57,476,239,159,241,990,72,38,678,204,149,381,208,87,765,858,499,460,443,218,931,466,237,900,336,922,528,481,346,874,45,106,1105,101,18,201,13,59,65,12,464,16,13,0.49,0.12,9,4,0.92,0.98,0.94,0.86,False,True,True,False,True,True,True,False,False,True,False,False,False,True,True,True,False,-1,True,False
8,close,285,1116,29,macds,150,219,5,37,0.05,2792,569,145,9,672,62,32,421,112,232,843,97,26,726,897,560,289,204,81,192,170,62,790,796,233,950,376,765,19,331,387,567,1640,14,816,25,79,183,6,806,11,43,0.15,0.96,40,36,0.0,0.0,0.0,0.0,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,False,True,-1,True,False
9,OHLC/4,108,317,9,macds,2,154,6,1,0.8,2556,242,11,244,787,75,123,160,170,69,156,85,203,104,679,591,214,7,784,256,106,77,368,556,153,507,304,167,702,847,472,692,1290,19,991,8,83,106,38,117,35,17,0.3,0.58,36,42,0.83,0.95,0.89,0.87,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,-1,True,False
