,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,HLC/3,184,954,43,macd,166,177,6,11,0.26,1102,553,149,214,697,128,60,466,43,121,720,41,39,226,886,861,395,334,554,122,408,231,487,566,341,254,698,919,592,441,25,1035,711,12,640,31,32,96,50,80,24,14,0.55,0.5,5,1,0.97,0.99,0.88,0.84,True,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,0.25944346667168433,False,False
1,HLC/3,607,1256,9,macd,16,19,5,8,0.53,2694,775,15,138,610,132,49,175,213,59,863,75,56,357,715,405,238,157,738,175,232,44,960,255,985,381,182,526,155,365,96,784,2412,43,959,11,32,181,20,535,47,11,0.32,0.95,4,3,0.91,0.88,0.84,0.91,True,True,True,True,False,False,False,True,True,True,False,True,True,False,True,False,True,0.002302782916686346,False,False
2,OHLC/4,176,1078,50,macdh,81,57,3,8,0.38,1432,743,7,248,343,24,50,394,239,207,671,219,181,932,703,245,136,111,187,900,258,148,142,958,225,348,907,798,896,543,130,1331,278,42,253,295,536,183,22,188,32,37,0.27,0.54,38,37,0.91,0.85,0.91,0.8,True,True,True,False,False,False,True,False,False,False,True,False,True,True,True,False,False,0.42789107814266614,False,False
3,HLC/3,194,804,36,macds,16,91,5,3,0.83,2174,607,191,20,745,139,147,134,106,11,304,165,133,816,821,197,278,137,63,866,270,154,368,730,892,366,240,759,740,187,42,615,1394,39,845,20,70,148,4,812,41,24,0.09,0.1,19,5,0.87,1.0,0.8,0.83,True,True,False,True,True,True,True,True,True,False,False,True,False,False,True,False,True,0.029095732668038825,False,False
4,HL/2,545,765,18,macds,192,83,5,7,0.83,2271,208,37,136,871,130,128,229,223,128,342,57,214,79,683,228,167,54,213,689,206,95,568,123,217,587,525,298,296,244,379,1337,268,32,314,37,75,166,17,197,26,7,0.67,0.41,29,19,0.98,0.85,0.82,0.95,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,True,True,0.5661668810065339,False,False
5,low,688,982,27,macdh,89,146,6,15,0.93,2968,946,128,103,609,166,221,230,232,113,275,168,70,422,559,365,291,224,765,558,408,333,385,429,385,529,315,760,51,90,119,581,1960,46,117,28,87,141,41,211,3,3,0.44,0.73,33,13,0.95,1.0,0.9,0.93,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,0.012911084086541852,False,False
6,HLCC/4,12,1128,35,macd,80,133,4,21,0.61,2759,132,56,7,253,72,184,162,141,107,54,230,134,396,807,378,408,389,967,776,220,182,566,442,297,954,926,226,159,29,353,1387,1068,3,870,429,667,10,2,728,23,6,0.88,0.03,16,50,0.88,0.8,0.85,0.96,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,2.683304112180816,False,False
7,OHLC/4,116,268,30,macd,142,113,5,15,0.09,2697,764,73,109,926,55,133,925,2,76,389,240,53,736,468,514,313,182,927,493,171,8,167,611,180,122,324,132,842,116,392,540,1618,4,735,221,904,39,1,275,13,11,0.43,0.73,38,11,0.89,0.9,0.82,0.93,True,True,True,True,False,True,True,False,True,True,False,True,True,True,False,False,True,0.07543740712358542,False,False
8,open,21,134,36,macd,97,50,6,5,0.88,2977,497,192,212,215,248,122,739,48,122,75,121,67,426,488,435,299,21,215,122,169,158,698,439,154,965,152,551,361,991,350,849,2309,14,440,6,72,134,18,809,17,3,0.9,0.75,6,43,0.89,0.83,0.94,1.0,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,True,8.30259980647947e-07,False,False
9,open,245,947,7,macd,199,157,2,10,0.92,1677,574,9,18,816,54,214,259,63,157,527,63,72,812,902,875,184,68,957,259,243,144,145,429,122,279,277,114,231,653,12,1189,1124,33,693,423,1358,124,18,575,6,42,0.67,0.81,27,31,-0.0,0.63,0.78,1.07,True,True,True,False,False,False,True,False,True,True,False,True,False,True,True,False,True,0.0,True,True
10,HLC/3,245,1174,13,macds,234,93,3,9,0.49,1576,284,44,55,918,210,3,480,61,172,425,124,75,185,791,507,174,62,923,603,364,98,570,519,256,932,349,742,912,681,32,1066,172,33,964,33,105,182,18,798,5,13,0.95,0.92,28,30,0.94,0.87,0.85,0.83,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,,0.0,False,True
11,HLCC/4,47,1010,12,macd,132,111,3,20,0.3,1552,654,6,77,227,121,218,206,98,112,879,110,145,904,478,409,78,48,990,506,147,70,724,454,935,875,181,896,139,3,109,455,1415,9,28,49,54,73,26,626,2,18,0.92,0.44,40,42,0.83,0.94,0.9,0.94,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,,0.0,False,True
12,HL/2,387,436,10,macdh,227,18,2,9,0.05,2276,692,122,2,454,199,39,330,108,194,533,229,75,718,716,927,345,172,364,254,52,14,795,268,166,209,108,492,662,293,192,939,1893,45,60,470,1381,160,18,582,28,8,0.89,0.28,49,43,0.95,0.91,0.83,0.95,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,True,,0.0,False,True
