,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,open,36,252,17,macd,34,135,6,48,0.95,2209,964,227,138,556,20,4,904,78,131,884,65,8,931,484,326,392,225,144,42,446,340,699,303,986,496,848,590,577,553,166,439,148,24,728,13,1181,150,8,556,36,9,0.09,0.84,19,50,0.97,0.94,0.95,0.97,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,0,False,True
1,OHLC/4,349,759,7,macd,122,225,6,29,0.82,2887,617,50,103,588,207,33,68,122,199,237,241,38,919,808,330,315,26,975,50,373,214,404,609,293,183,470,401,422,670,109,575,2446,49,290,220,857,30,49,110,8,42,0.99,0.25,34,26,0.84,0.81,0.81,0.91,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,True,0,False,True
2,OHLC/4,412,987,38,macdh,111,234,6,16,0.17,1573,996,189,44,199,44,135,713,135,217,126,71,161,754,665,636,311,231,956,400,497,473,232,659,887,781,655,41,331,119,375,1310,2272,13,455,130,639,58,30,919,2,48,0.67,0.02,46,43,0.94,0.82,0.86,0.96,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,0,False,True
3,high,344,1039,23,macdh,247,120,6,34,0.67,246,243,2,204,105,60,244,903,203,217,942,40,24,128,540,258,141,9,965,532,358,18,631,442,788,772,463,305,909,1000,361,713,1118,14,484,405,469,12,10,109,47,13,0.18,0.84,8,21,0.86,0.83,0.86,0.83,False,True,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,0,False,True
4,open,784,801,5,macds,248,184,6,6,0.89,2792,577,5,143,273,248,90,546,59,190,596,31,122,281,231,59,316,114,158,487,233,137,605,822,119,600,897,567,765,933,311,742,2412,20,358,26,98,64,19,181,23,37,0.32,0.87,35,34,0.98,0.97,0.98,0.87,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,0,False,True
5,close,362,619,46,macd,249,190,6,35,0.98,2592,819,89,174,960,194,80,167,135,248,846,33,147,145,177,277,112,91,796,608,124,83,12,956,351,226,415,666,319,43,475,778,1290,41,106,24,35,89,49,411,37,46,0.86,0.61,2,41,0.99,0.84,0.85,0.91,False,False,True,True,True,False,True,True,True,False,True,False,False,False,True,True,False,0,False,True
6,high,551,1223,24,macdh,134,131,6,22,0.17,2941,448,205,79,2,139,59,129,54,110,827,234,73,440,367,257,246,84,522,501,315,205,268,781,602,478,848,120,863,704,220,1324,2351,32,71,386,723,177,20,444,43,12,0.44,0.41,4,48,0.81,0.84,0.94,0.89,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,False,True,0,False,True
7,close,694,1091,27,macdh,198,104,6,10,0.5,1781,357,159,137,997,42,167,270,90,50,31,96,33,631,302,179,494,34,313,213,40,24,155,961,73,569,752,840,874,28,393,546,2122,30,78,15,65,24,44,692,25,30,0.42,0.98,22,48,0.98,0.84,0.98,0.85,True,False,True,False,False,True,True,True,True,True,False,True,True,False,True,False,True,0,False,True
8,HL/2,432,837,11,macdh,81,143,6,37,0.65,465,117,155,174,872,155,204,812,225,22,782,148,49,478,809,465,323,21,150,143,137,108,7,943,87,495,524,379,367,281,196,1074,1246,39,402,36,72,141,9,172,18,28,0.94,0.92,16,37,0.83,0.95,0.87,0.88,True,True,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,0,False,True
9,high,417,496,27,macdh,199,132,6,2,0.29,1600,90,143,185,968,190,81,901,206,123,263,78,189,401,799,678,498,278,142,713,460,203,455,907,759,919,626,151,464,522,92,1391,351,11,817,39,62,186,30,287,43,1,0.42,0.08,19,5,0.96,0.9,0.81,0.96,True,True,True,True,True,False,False,True,False,True,True,False,True,True,False,False,True,0,False,True
