,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,close,200,912,32,macds,243,120,4,2,0.71,2144,115,244,233,99,112,145,214,96,135,691,148,47,171,282,224,217,34,215,124,233,44,78,605,811,907,955,413,85,762,96,354,1000,49,910,9,19,81,25,959,17,34,0.17,0.17,9,11,0.99,0.97,0.99,0.83,False,True,False,False,True,False,True,False,True,False,True,True,True,False,True,False,True,0.11484257729157415,False,False
1,HL/2,638,764,38,macds,112,237,6,2,0.38,2712,384,70,6,448,227,78,765,97,201,318,200,176,816,834,801,152,148,165,85,138,98,154,49,163,869,90,12,168,706,109,522,1342,15,134,21,60,193,48,998,23,17,0.02,0.56,32,20,0.94,0.95,0.84,0.98,False,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,0.04779309434385177,False,False
2,HLC/3,796,1094,5,macdh,145,235,6,12,0.51,2194,604,41,91,41,47,69,520,228,115,770,40,64,342,914,299,244,16,179,662,226,31,695,396,390,163,773,570,739,976,18,442,410,6,295,9,62,106,49,808,15,14,0.83,0.53,21,50,0.93,0.83,1.0,0.91,True,True,True,False,True,False,False,True,True,True,True,False,False,False,True,True,False,1.8575331247087798,False,False
3,open,602,742,38,macdh,184,18,6,14,0.58,797,150,69,17,903,157,61,863,10,72,635,114,21,223,789,239,361,58,149,846,294,235,539,609,776,874,211,402,87,755,356,1316,623,7,140,11,101,208,19,490,18,16,0.38,0.78,47,4,0.86,0.91,0.81,0.93,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,True,False,0.0,False,True
4,high,785,1316,7,macdh,15,112,6,14,0.15,1520,339,57,224,66,14,53,523,187,239,645,60,224,64,930,884,299,100,237,186,113,13,34,127,883,619,747,120,949,13,60,473,1262,1,442,28,39,85,33,402,6,42,0.81,0.43,17,40,0.84,0.99,0.86,0.82,True,False,True,True,False,False,True,True,True,True,True,True,False,False,True,True,False,0.0,False,True
5,HLC/3,325,1170,39,macds,14,17,6,9,0.91,2024,859,88,234,966,244,244,726,15,35,645,4,216,336,154,147,338,328,895,494,139,57,995,835,934,439,673,547,106,246,323,1390,2087,46,32,23,71,49,49,600,35,40,0.51,0.42,3,2,0.97,0.92,0.91,0.9,True,True,False,True,True,True,True,True,False,True,True,True,False,False,False,True,False,0.0,False,True
6,high,108,398,7,macdh,188,127,6,35,0.11,2480,249,248,228,972,189,225,852,248,15,54,174,167,663,766,318,500,245,979,924,315,218,72,221,279,708,506,853,17,853,112,145,1884,14,172,15,28,66,3,815,26,15,0.44,0.96,37,15,0.92,0.99,0.93,0.89,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,0.0,False,True
7,HL/2,673,1300,46,macd,148,133,6,43,0.48,1754,809,45,142,1000,199,48,841,134,243,568,33,10,270,922,447,260,178,338,254,64,37,211,931,883,254,771,780,739,817,23,1051,901,13,759,335,948,59,32,129,29,18,0.51,0.57,23,10,0.93,0.89,0.83,0.82,False,True,True,True,True,True,False,True,True,False,True,True,False,False,False,True,False,0.0,False,True
8,OHLC/4,400,1361,29,macdh,27,3,6,13,0.47,2819,370,239,191,834,7,175,524,148,58,186,247,121,764,968,567,231,202,328,249,232,191,239,397,141,484,568,763,633,310,442,1170,2191,29,293,12,103,156,34,711,31,4,0.1,0.53,43,26,0.98,0.9,0.92,0.96,False,False,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,0.0,False,True
9,open,149,387,11,macd,157,74,6,26,0.62,961,247,80,171,591,117,150,426,147,210,527,88,143,855,679,227,198,64,697,311,219,96,960,810,591,224,956,663,488,677,52,315,283,13,765,9,109,26,18,820,33,19,0.46,0.79,31,37,0.8,0.97,0.91,0.97,False,True,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,0.0,False,True
