,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,HLC/3,374.0,387.0,33.0,macd,230.0,186.0,4.0,16.0,0.18,2370.0,863.0,74.0,135.0,983.0,16.0,18.0,75.0,51.0,188.0,803.0,153.0,170.0,887.0,939.0,631.0,29.0,8.0,838.0,820.0,447.0,258.0,571.0,289.0,576.0,267.0,623.0,354.0,238.0,900.0,55.0,167.0,1126.0,20.0,692.0,22.0,28.0,195.0,16.0,883.0,13.0,22.0,0.21,0.13,10.56443461555535,15.642137068744464,10.494267287816822,15.40209105965465,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.1638932781868905,1.0,0.0
1,OHLC/4,199.0,1027.0,27.0,macdh,75.0,106.0,3.0,21.0,0.67,2644.0,673.0,23.0,227.0,699.0,153.0,103.0,968.0,155.0,131.0,297.0,78.0,75.0,522.0,649.0,170.0,133.0,114.0,967.0,443.0,116.0,85.0,443.0,589.0,377.0,203.0,788.0,909.0,280.0,513.0,92.0,292.0,39.0,32.0,632.0,48.0,84.0,90.0,7.0,508.0,8.0,10.0,0.04,0.52,0.53,0.95,0.89,0.84,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,True,0.0798753267732772,True,False
2,low,362.0,1033.0,30.0,macd,97.0,99.0,6.0,37.0,0.25,2557.0,769.0,78.0,42.0,635.0,77.0,59.0,835.0,164.0,245.0,138.0,97.0,175.0,632.0,656.0,379.0,432.0,156.0,169.0,280.0,215.0,58.0,826.0,195.0,67.0,748.0,952.0,354.0,757.0,448.0,446.0,546.0,414.0,50.0,932.0,13.0,107.0,193.0,13.0,10.0,10.0,2.0,0.97,0.72,0.71,0.96,0.91,0.81,True,True,False,True,False,False,True,True,False,True,True,True,False,True,False,True,True,9.38253951703792,True,False
3,HLC/3,747.0,918.0,6.0,macds,34.0,226.0,3.0,6.0,0.57,1671.0,132.0,114.0,112.0,828.0,129.0,75.0,253.0,246.0,194.0,648.0,8.0,129.0,499.0,74.0,726.0,325.0,105.0,198.0,140.0,482.0,109.0,719.0,296.0,621.0,61.0,632.0,143.0,857.0,990.0,25.0,1359.0,787.0,47.0,415.0,8.0,94.0,62.0,18.0,805.0,14.0,23.0,0.08,0.13,0.92,0.92,0.93,0.99,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,1.0775680485549937,True,False
4,low,286.0,1298.0,41.0,macds,161.0,74.0,5.0,43.0,0.86,2631.0,931.0,201.0,213.0,630.0,16.0,125.0,286.0,153.0,135.0,40.0,70.0,207.0,576.0,970.0,274.0,473.0,371.0,133.0,192.0,120.0,14.0,387.0,761.0,583.0,112.0,182.0,449.0,326.0,928.0,71.0,621.0,2286.0,45.0,927.0,23.0,57.0,207.0,43.0,95.0,33.0,39.0,0.83,0.58,14.281118725345538,20.55401815145689,11.579958532684872,25.33093877564825,True,True,True,True,False,False,True,False,True,False,False,True,False,False,True,True,True,0.0917693057083029,True,False
5,open,76.0,1262.0,30.0,macd,20.0,162.0,5.0,23.0,0.58,1948.0,289.0,186.0,190.0,745.0,73.0,84.0,867.0,43.0,166.0,562.0,60.0,150.0,246.0,916.0,604.0,261.0,76.0,217.0,908.0,251.0,94.0,240.0,764.0,110.0,372.0,131.0,236.0,827.0,83.0,68.0,282.0,174.0,33.0,206.0,6.0,102.0,22.0,26.0,686.0,11.0,6.0,0.69,0.99,0.88,0.81,0.84,0.94,True,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,0.141857471257595,True,False
6,low,359.0,1462.0,23.0,macd,114.0,127.0,5.0,6.0,0.89,1615.0,742.0,29.0,16.0,423.0,124.0,42.0,641.0,32.0,33.0,58.0,139.0,158.0,815.0,209.0,909.0,375.0,336.0,153.0,546.0,255.0,96.0,81.0,515.0,594.0,757.0,843.0,350.0,234.0,480.0,74.0,1117.0,1320.0,34.0,490.0,10.0,25.0,87.0,33.0,539.0,28.0,8.0,0.24,0.25,0.94,0.85,0.85,0.94,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,True,4.0597735325507065,True,False
7,low,690.0,1303.0,34.0,macds,185.0,19.0,2.0,18.0,0.23,2966.0,485.0,74.0,124.0,56.0,164.0,120.0,381.0,54.0,94.0,228.0,230.0,104.0,649.0,691.0,507.0,386.0,56.0,240.0,171.0,24.0,21.0,473.0,547.0,920.0,134.0,101.0,811.0,842.0,501.0,4.0,812.0,2424.0,22.0,458.0,20.0,62.0,133.0,48.0,705.0,10.0,13.0,0.83,0.59,-0.24,24.22,0.42,24.69,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,0.0004732948014746,True,False
8,OHLC/4,522.0,1249.0,22.0,macdh,218.0,43.0,5.0,27.0,0.6,1249.0,660.0,207.0,22.0,60.0,175.0,32.0,727.0,40.0,176.0,148.0,148.0,90.0,482.0,949.0,761.0,481.0,88.0,139.0,815.0,282.0,56.0,180.0,312.0,142.0,275.0,34.0,856.0,572.0,12.0,10.0,528.0,481.0,49.0,98.0,13.0,24.0,194.0,17.0,730.0,48.0,41.0,0.17,0.6,14.02864098393798,19.13802835025165,8.227966825261722,18.35592955939251,True,True,True,False,False,True,False,False,True,False,True,True,False,False,True,True,True,1.977776709709673e-05,True,False
9,high,240.0,479.0,15.0,macdh,120.0,194.0,6.0,21.0,0.17,2364.0,828.0,163.0,229.0,216.0,189.0,127.0,386.0,166.0,209.0,158.0,187.0,239.0,746.0,886.0,659.0,288.0,237.0,398.0,281.0,203.0,113.0,689.0,331.0,401.0,290.0,922.0,964.0,584.0,454.0,120.0,776.0,978.0,38.0,559.0,29.0,55.0,14.0,25.0,161.0,15.0,2.0,0.34,0.07,-2.21,27.7,-0.48,25.93,False,False,True,True,False,True,True,True,True,False,True,False,True,False,True,False,True,0.0536888955994932,True,False
