,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,close,77.0,396.0,22.0,macdh,231.0,155.0,6.0,31.0,0.54,1672.0,678.0,188.0,228.0,102.0,2.0,127.0,866.0,142.0,108.0,857.0,9.0,51.0,289.0,846.0,324.0,362.0,66.0,190.0,167.0,131.0,58.0,380.0,434.0,226.0,65.0,647.0,400.0,59.0,492.0,382.0,624.0,1663.0,35.0,321.0,28.0,451.0,102.0,27.0,801.0,29.0,19.0,0.01,0.87,2.07,10.34,10.67,18.31,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.287850543880261,1.0,0.0
1,open,70.0,790.0,8.0,macdh,204.0,163.0,5.0,17.0,0.06,1841.0,973.0,24.0,115.0,482.0,163.0,185.0,698.0,32.0,178.0,566.0,249.0,156.0,698.0,729.0,463.0,99.0,52.0,41.0,406.0,385.0,104.0,994.0,341.0,136.0,81.0,397.0,134.0,203.0,901.0,179.0,1086.0,1092.0,38.0,665.0,6.0,24.0,182.0,34.0,450.0,20.0,11.0,0.7,0.03,2.65,15.93,7.39,18.29,True,True,False,True,True,True,False,True,True,True,True,False,False,False,True,False,True,0.3173028683930187,True,False
2,close,582.0,1253.0,15.0,macds,207.0,85.0,5.0,4.0,0.77,1721.0,318.0,14.0,220.0,485.0,82.0,218.0,897.0,10.0,9.0,892.0,126.0,175.0,748.0,991.0,601.0,391.0,308.0,557.0,206.0,189.0,172.0,403.0,57.0,25.0,759.0,262.0,718.0,519.0,423.0,431.0,1377.0,135.0,11.0,617.0,35.0,99.0,36.0,49.0,790.0,29.0,28.0,0.27,0.97,0.47,3.56,4.2,11.0,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True,True,True,0.0079842979777064,True,False
3,HLC/3,234.0,1349.0,47.0,macds,209.0,97.0,5.0,49.0,0.32,290.0,375.0,114.0,39.0,145.0,249.0,49.0,729.0,9.0,247.0,477.0,130.0,240.0,241.0,958.0,647.0,24.0,8.0,124.0,372.0,337.0,135.0,878.0,247.0,807.0,571.0,572.0,139.0,16.0,370.0,96.0,809.0,240.0,26.0,342.0,35.0,72.0,44.0,48.0,996.0,29.0,7.0,0.42,0.34,10.13504941216381,19.406948999637464,13.86555577158984,25.40825384680228,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,0.0009820432520547,True,False
4,open,513.0,1165.0,13.0,macdh,236.0,132.0,5.0,41.0,0.42,1687.0,801.0,94.0,61.0,761.0,227.0,74.0,415.0,39.0,235.0,450.0,148.0,20.0,556.0,158.0,109.0,373.0,274.0,15.0,327.0,275.0,62.0,997.0,743.0,486.0,558.0,911.0,493.0,125.0,775.0,228.0,1103.0,417.0,33.0,293.0,37.0,106.0,190.0,7.0,930.0,30.0,2.0,0.99,0.23,1.62,15.65,9.67,20.49,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,True,0.2237572588886286,True,False
5,low,169.0,254.0,18.0,macd,91.0,178.0,6.0,10.0,0.85,1427.0,215.0,77.0,3.0,534.0,40.0,8.0,62.0,246.0,221.0,56.0,236.0,197.0,245.0,735.0,484.0,321.0,251.0,459.0,315.0,98.0,91.0,903.0,773.0,401.0,532.0,805.0,975.0,738.0,459.0,131.0,878.0,193.0,18.0,136.0,26.0,79.0,200.0,9.0,279.0,16.0,14.0,0.71,0.13,0.82,0.81,0.9,0.86,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,True,False,12.919427059096416,True,False
6,OHLC/4,81.0,324.0,24.0,macds,183.0,28.0,5.0,47.0,0.64,2268.0,509.0,211.0,182.0,851.0,102.0,117.0,216.0,2.0,208.0,557.0,11.0,119.0,28.0,676.0,578.0,346.0,261.0,137.0,568.0,283.0,126.0,284.0,385.0,117.0,732.0,547.0,225.0,686.0,666.0,272.0,1304.0,387.0,9.0,976.0,11.0,71.0,124.0,37.0,665.0,4.0,14.0,0.32,0.94,0.43,0.84,0.94,0.84,True,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,0.0015043085278146,True,False
7,close,171.0,690.0,15.0,macds,231.0,122.0,4.0,32.0,0.91,2052.0,789.0,50.0,17.0,559.0,114.0,201.0,254.0,103.0,10.0,95.0,228.0,51.0,101.0,529.0,458.0,377.0,24.0,213.0,962.0,166.0,7.0,95.0,733.0,555.0,899.0,649.0,187.0,310.0,686.0,410.0,1257.0,1808.0,10.0,772.0,9.0,105.0,166.0,14.0,402.0,16.0,9.0,0.7,0.96,-6.81,20.87,0.95,28.45,True,True,True,False,False,False,False,False,True,True,True,False,True,False,True,False,True,0.7237030179768787,True,False
8,HL/2,201.0,1083.0,23.0,macds,197.0,219.0,2.0,48.0,0.58,2012.0,303.0,26.0,33.0,970.0,156.0,19.0,738.0,111.0,22.0,101.0,80.0,249.0,444.0,396.0,274.0,152.0,45.0,229.0,104.0,104.0,16.0,701.0,381.0,395.0,969.0,484.0,773.0,462.0,965.0,181.0,1144.0,1413.0,4.0,234.0,442.0,1304.0,28.0,42.0,400.0,36.0,3.0,0.98,0.97,8.44001682261127,15.935225259517216,11.756772935300315,22.76013281952082,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,0.0474570326423857,True,False
9,HL/2,184.0,1070.0,48.0,macd,184.0,92.0,4.0,33.0,0.67,2692.0,136.0,68.0,117.0,211.0,26.0,249.0,666.0,85.0,46.0,585.0,79.0,16.0,758.0,684.0,396.0,320.0,260.0,846.0,741.0,405.0,294.0,528.0,936.0,543.0,744.0,651.0,322.0,723.0,942.0,473.0,1347.0,2466.0,39.0,590.0,11.0,84.0,97.0,24.0,964.0,18.0,17.0,0.04,0.87,0.14,3.0,5.28,11.28,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,True,True,3.9510202134577055,True,False
