,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,HLC/3,185.0,984.0,34.0,macdh,3.0,231.0,5.0,27.0,0.03,2760.0,699.0,204.0,8.0,676.0,191.0,155.0,334.0,159.0,31.0,946.0,207.0,116.0,846.0,871.0,499.0,289.0,262.0,185.0,997.0,427.0,66.0,79.0,675.0,355.0,620.0,859.0,842.0,355.0,542.0,96.0,1270.0,1246.0,48.0,219.0,164.0,495.0,10.0,42.0,109.0,43.0,24.0,0.65,0.46,-3.04,21.44,1.74,22.83,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0051432315447514,1.0,0.0
1,HLCC/4,524.0,1032.0,8.0,macdh,39.0,122.0,4.0,27.0,0.97,1949.0,910.0,167.0,156.0,953.0,124.0,161.0,696.0,167.0,154.0,305.0,65.0,90.0,751.0,935.0,878.0,271.0,174.0,799.0,485.0,466.0,371.0,340.0,181.0,374.0,24.0,911.0,691.0,500.0,783.0,61.0,996.0,50.0,25.0,613.0,24.0,26.0,30.0,49.0,895.0,33.0,9.0,0.03,0.75,0.81,0.82,0.87,0.84,True,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,1.481835697747931,True,False
2,HLCC/4,170.0,370.0,11.0,macds,28.0,83.0,5.0,22.0,0.5,2559.0,691.0,96.0,70.0,933.0,151.0,101.0,436.0,100.0,7.0,690.0,8.0,225.0,748.0,622.0,374.0,351.0,102.0,184.0,155.0,145.0,144.0,366.0,252.0,720.0,907.0,494.0,537.0,630.0,469.0,47.0,1295.0,551.0,39.0,784.0,23.0,82.0,155.0,9.0,541.0,43.0,5.0,0.95,0.89,-1.46,19.27,2.85,24.98,True,True,False,False,False,True,False,True,True,True,True,True,False,True,True,False,True,0.2166027708380858,True,False
3,low,415.0,840.0,7.0,macdh,59.0,44.0,5.0,3.0,0.05,1183.0,706.0,178.0,60.0,137.0,47.0,135.0,19.0,70.0,193.0,963.0,98.0,181.0,836.0,756.0,372.0,368.0,26.0,172.0,353.0,293.0,205.0,273.0,1000.0,104.0,820.0,617.0,326.0,49.0,337.0,84.0,718.0,1150.0,20.0,596.0,5.0,10.0,43.0,32.0,61.0,24.0,11.0,0.16,0.9,0.97,2.85,3.17,12.59,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,False,True,0.0051432315447514,True,False
4,close,106.0,315.0,48.0,macd,75.0,75.0,2.0,38.0,0.76,2615.0,870.0,119.0,176.0,934.0,190.0,116.0,856.0,38.0,149.0,318.0,189.0,112.0,982.0,627.0,330.0,62.0,35.0,203.0,432.0,353.0,133.0,641.0,153.0,986.0,489.0,830.0,864.0,439.0,345.0,316.0,1399.0,748.0,31.0,60.0,44.0,94.0,120.0,48.0,525.0,28.0,28.0,0.41,0.68,0.88,0.94,1.0,0.92,False,False,True,False,False,True,False,False,True,False,False,False,True,True,True,True,True,2.826788815597124,True,False
5,low,94.0,373.0,12.0,macdh,63.0,162.0,5.0,50.0,0.07,1931.0,578.0,232.0,154.0,548.0,219.0,133.0,74.0,232.0,204.0,959.0,153.0,47.0,731.0,706.0,248.0,421.0,81.0,220.0,615.0,488.0,57.0,4.0,453.0,761.0,562.0,617.0,234.0,468.0,555.0,251.0,905.0,1491.0,36.0,342.0,8.0,89.0,52.0,31.0,433.0,2.0,10.0,0.88,0.82,4.31,11.52,10.54,17.43,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,False,True,0.0001327982573871,True,False
6,HLC/3,326.0,735.0,35.0,macd,142.0,117.0,3.0,20.0,0.73,2771.0,936.0,42.0,225.0,475.0,107.0,196.0,977.0,246.0,120.0,758.0,40.0,171.0,814.0,867.0,727.0,347.0,54.0,219.0,119.0,380.0,18.0,775.0,360.0,561.0,959.0,105.0,309.0,600.0,197.0,256.0,1360.0,2294.0,42.0,663.0,17.0,65.0,7.0,4.0,416.0,37.0,31.0,0.24,0.02,4.409874294684258,4.409874294684258,19.954741341290383,19.954741341290383,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,0.5355878634871978,True,False
7,high,394.0,629.0,31.0,macd,140.0,236.0,6.0,19.0,0.93,1206.0,903.0,211.0,247.0,724.0,127.0,202.0,867.0,215.0,33.0,295.0,106.0,141.0,940.0,318.0,205.0,313.0,31.0,243.0,242.0,277.0,134.0,894.0,56.0,839.0,435.0,4.0,298.0,70.0,83.0,179.0,931.0,1111.0,45.0,558.0,11.0,21.0,89.0,44.0,59.0,31.0,7.0,0.07,0.26,5.037378792553691,11.049223068825857,18.127542305276723,19.533121384452905,False,True,True,True,False,True,True,False,True,False,False,False,False,False,True,False,True,3.966195988925965,True,False
8,close,205.0,330.0,47.0,macdh,245.0,22.0,2.0,16.0,0.19,1207.0,543.0,32.0,168.0,280.0,73.0,34.0,59.0,144.0,162.0,522.0,123.0,81.0,612.0,650.0,282.0,154.0,121.0,507.0,231.0,139.0,69.0,108.0,357.0,287.0,814.0,362.0,989.0,802.0,486.0,268.0,271.0,169.0,34.0,760.0,21.0,55.0,102.0,49.0,483.0,17.0,37.0,0.05,0.45,0.93,0.99,0.85,0.93,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,16.468546544712872,True,False
9,low,380.0,1314.0,39.0,macds,75.0,79.0,6.0,43.0,0.6,2440.0,328.0,199.0,51.0,87.0,17.0,76.0,162.0,151.0,173.0,71.0,91.0,89.0,789.0,549.0,504.0,293.0,229.0,719.0,342.0,23.0,8.0,892.0,105.0,377.0,816.0,250.0,860.0,674.0,211.0,47.0,144.0,258.0,32.0,499.0,23.0,87.0,210.0,25.0,2.0,23.0,11.0,0.09,0.89,6.222463333588581,22.98778397002384,14.755829274701124,19.93635465168884,True,True,True,True,True,False,False,True,False,True,False,False,True,True,True,False,True,0.09913318531175,True,False
10,HL/2,689.0,1160.0,17.0,macdh,149.0,171.0,2.0,37.0,0.9,2789.0,163.0,17.0,141.0,487.0,71.0,186.0,398.0,220.0,41.0,320.0,243.0,55.0,418.0,584.0,520.0,277.0,154.0,689.0,279.0,184.0,102.0,313.0,902.0,676.0,878.0,805.0,121.0,500.0,17.0,276.0,335.0,1875.0,2.0,744.0,11.0,53.0,99.0,21.0,343.0,5.0,10.0,0.3,0.93,-2.76,21.22,6.64,21.72,True,True,False,True,False,True,False,False,True,False,True,True,True,True,True,False,False,0.2849048897470642,True,False
11,HLCC/4,19.0,391.0,11.0,macds,44.0,199.0,4.0,21.0,0.6,1691.0,916.0,207.0,8.0,867.0,30.0,125.0,147.0,131.0,169.0,525.0,15.0,58.0,572.0,434.0,297.0,114.0,73.0,89.0,904.0,198.0,192.0,789.0,862.0,283.0,368.0,385.0,690.0,98.0,244.0,327.0,1075.0,1079.0,43.0,885.0,12.0,60.0,45.0,42.0,953.0,21.0,21.0,0.3,0.27,5.243645356718062,21.32733630713342,6.429418667253348,13.961064766839392,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,0.003513316570504585,True,False
