,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,HLCC/4,191,902,9,macds,65,182,6,7,0.09,2584,603,25,93,927,202,173,17,154,175,493,125,91,441,554,439,430,284,149,472,280,61,316,978,529,312,925,392,198,297,436,1153,1546,1,268,20,45,146,41,120,34,12,0.06,0.41,15.67,16.27,19.16,17.79,False,False,True,True,False,True,True,False,True,True,False,False,False,True,False,False,True,-1.0,True,False
1,low,280,324,9,macd,210,155,6,45,0.93,2735,612,220,42,686,112,108,718,47,66,822,232,70,196,918,885,179,98,230,174,206,77,951,464,703,592,975,845,22,218,69,1215,1347,48,367,7,42,202,34,271,9,27,0.89,0.72,19.84,18.23,19.12,18.85,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,-1.0,True,False
2,HLC/3,721,963,35,macdh,104,66,6,12,0.4,287,541,136,189,492,177,77,912,24,167,966,77,180,207,700,227,388,226,173,171,190,168,858,961,487,273,398,784,430,680,375,837,840,16,666,361,1266,16,6,498,1,6,0.8,0.72,15.47,16.3,16.1,16.37,False,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,False,-1.0,True,False
3,OHLC/4,22,660,33,macd,151,13,6,4,0.51,1953,429,33,198,520,148,92,177,208,125,755,179,134,61,683,569,468,104,859,472,295,100,74,914,39,90,83,825,205,613,337,633,1438,40,743,33,99,98,43,542,50,14,0.86,0.65,19.49,18.95,19.1,17.12,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,-1.0,True,False
4,HLC/3,252,374,47,macdh,224,218,6,11,0.92,2840,736,149,230,167,117,62,649,122,16,809,172,231,162,333,459,412,125,154,829,325,95,97,293,407,554,634,1000,705,898,240,470,2107,29,702,7,51,156,14,73,36,39,0.7,0.37,16.04,15.13,16.14,18.36,True,False,True,True,True,False,False,True,False,True,False,True,False,True,True,True,True,-1.0,True,False
5,open,181,287,20,macd,107,39,6,28,0.23,751,85,40,56,917,156,158,809,22,78,942,27,95,155,998,870,162,17,824,211,128,119,568,907,561,691,395,692,309,95,154,559,245,50,461,44,49,112,29,30,42,8,0.31,0.6,17.85,17.71,19.06,17.62,True,True,True,False,False,True,True,True,False,False,True,False,False,True,True,False,False,-1.0,True,False
6,OHLC/4,165,618,32,macd,87,11,6,39,0.34,872,238,36,57,446,58,101,578,46,6,575,136,89,518,675,331,225,188,78,880,438,111,21,712,338,381,373,851,139,726,212,388,2051,23,427,37,78,103,17,404,6,15,0.49,0.78,17.53,15.75,18.23,18.89,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,-1.0,True,False
7,open,205,425,44,macd,241,212,6,24,0.23,1011,47,246,146,775,13,147,274,9,95,235,184,106,142,127,118,50,42,615,409,377,251,262,151,980,866,61,194,570,512,60,309,1788,35,93,39,84,73,34,401,35,30,0.41,0.52,17.36,16.4,16.41,15.3,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,-1.0,True,False
8,high,589,1458,5,macds,112,2,6,8,0.31,1456,230,59,27,371,220,184,860,173,72,419,29,239,661,481,113,441,375,434,430,420,300,9,825,198,207,786,739,960,829,118,633,1451,20,805,35,67,85,46,239,48,2,0.21,0.3,17.33,18.93,15.49,16.87,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,-1.0,True,False
9,high,130,737,40,macdh,125,208,6,17,0.73,2083,207,144,61,740,99,21,392,79,148,830,160,227,592,873,836,249,44,727,602,453,377,834,180,358,611,978,394,676,683,4,419,225,23,876,7,69,66,34,339,34,36,0.62,0.94,19.78,16.34,16.26,15.49,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,-1.0,True,False
