,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,HLCC/4,126,300,6,macd,86,5,6,11,0.08,269,877,18,70,81,69,50,422,49,100,193,37,73,688,285,966,473,442,304,264,323,87,411,147,651,751,930,897,843,506,6,292,341,20,712,47,82,44,19,751,11,14,0.22,0.02,1.15,1.05,1.15,0.96,False,True,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,-1.0,True,False
1,low,7,127,45,macdh,87,80,6,9,0.24,1158,224,92,68,264,38,93,86,26,50,429,33,99,809,746,286,381,73,881,525,495,216,751,81,434,849,111,152,739,135,31,89,604,2,389,45,102,16,19,437,2,21,0.09,0.39,1.0,0.97,1.02,0.94,True,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True,True,-1.0,True,False
2,OHLC/4,75,265,20,macd,55,30,2,10,0.06,2061,610,68,74,658,28,17,173,6,6,75,24,37,351,305,295,472,360,724,611,382,381,57,379,215,258,929,707,815,996,58,294,301,6,793,24,34,149,11,247,13,20,0.25,0.13,0.39,0.46,0.19,0.85,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False,-1.0,True,False
3,OHLC/4,100,195,19,macdh,51,9,6,10,0.22,467,739,85,32,741,28,35,646,60,43,942,13,28,244,810,651,499,385,278,44,456,287,558,132,922,612,942,870,765,170,16,121,465,4,734,7,88,118,9,371,16,4,0.4,0.26,1.04,1.11,0.99,1.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-1.0,True,False
4,close,54,77,17,macdh,15,10,3,14,0.03,1826,579,27,18,963,49,13,527,35,44,949,62,8,583,870,463,493,468,346,292,105,48,641,558,13,181,459,719,292,891,27,307,290,13,560,41,106,185,6,258,10,4,0.03,0.07,0.8,0.95,0.94,0.99,True,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,5.844800357687755,True,False
5,open,133,219,39,macd,7,72,4,2,0.06,1590,521,90,69,581,98,92,886,82,19,729,93,70,447,520,376,359,326,651,306,291,53,577,543,740,272,776,780,782,467,25,54,71,19,31,41,79,42,15,109,5,16,0.06,0.25,0.32,0.33,0.16,0.53,False,True,True,False,False,True,False,True,True,True,False,False,True,True,True,False,False,-1.0,True,False
6,OHLC/4,129,154,42,macds,65,81,6,19,0.02,2738,403,22,22,782,16,21,270,4,43,795,25,53,294,234,626,110,59,647,168,129,55,229,551,347,723,395,690,820,546,68,312,2,9,420,6,52,157,4,607,1,9,0.01,0.34,0.99,1.01,1.04,1.06,False,False,False,False,True,True,True,True,False,False,False,True,True,False,True,True,True,-1.0,True,False
7,HL/2,121,266,46,macds,47,92,6,12,0.03,837,522,14,91,535,10,19,405,5,75,583,21,6,157,672,398,418,307,735,355,266,105,953,993,32,682,576,375,131,977,19,42,293,2,354,19,81,24,9,45,19,4,0.19,0.38,0.95,1.0,1.2,1.17,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,-1.0,True,False
8,HLCC/4,24,128,44,macds,18,60,6,11,0.4,1004,230,7,54,118,90,65,310,87,4,458,77,35,985,938,577,369,46,896,546,430,216,348,110,634,11,219,128,59,604,98,246,515,15,514,21,106,65,4,677,11,8,0.13,0.22,1.11,0.96,0.96,0.95,True,False,True,False,False,False,False,True,True,False,True,True,True,False,True,True,False,-1.0,True,False
9,OHLC/4,85,246,30,macdh,41,69,6,16,0.18,2164,347,79,90,958,90,69,751,37,7,554,53,59,805,866,330,31,27,657,538,419,188,411,673,89,493,470,521,676,882,57,150,157,1,148,47,89,54,14,979,16,10,0.38,0.26,0.94,1.02,1.2,1.1,False,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,False,-1.0,True,False
