,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,OHLC/4,622,1447,10,macd,68,59,4,27,0.1,2726,959,17,213,790,231,178,69,98,101,521,71,49,343,932,734,414,157,234,182,259,87,681,556,759,125,470,508,101,699,317,390,1555,27,781,30,90,198,32,433,22,40,0.2,0.51,5.44,5.73,15.4,15.7,True,True,False,False,True,False,True,False,False,False,False,True,True,False,True,True,True,1.3283112836715796,True,False
1,low,86,659,43,macd,137,38,3,38,0.82,2562,615,11,64,823,181,198,326,37,164,983,231,246,2,930,575,333,24,195,865,380,226,94,96,634,230,370,161,543,787,244,694,776,1,860,40,67,158,38,918,50,26,0.4,0.44,7.393172223031089,18.98936737669357,14.362817210286371,20.87802722351761,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,0.0001800282289586,True,False
2,open,386,1399,49,macd,218,240,6,17,0.99,1459,350,61,53,41,135,128,388,36,93,555,241,214,762,945,853,141,119,134,811,489,81,858,770,317,504,42,267,26,138,272,1147,288,14,526,32,56,147,24,242,20,10,0.16,0.86,5.138349257031266,16.30132395383569,15.014712751573047,20.845361214898617,True,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,True,0.1757927189161501,True,False
3,low,536,779,50,macd,193,164,4,30,0.96,2835,635,171,16,788,121,73,630,111,186,620,33,221,769,794,669,333,246,797,414,98,55,677,221,927,34,912,670,31,830,111,697,1052,7,7,20,39,65,7,53,18,12,0.01,0.71,-5.0,19.57,5.19,21.09,True,True,True,True,False,True,True,True,True,False,False,True,False,True,True,False,True,6.100083982780732,True,False
4,HL/2,92,1388,44,macd,217,57,6,1,0.18,1998,414,183,46,998,157,227,425,82,42,15,193,32,998,598,471,335,273,804,514,371,296,724,158,713,797,667,444,996,840,300,494,1614,12,22,291,575,143,40,872,27,49,0.65,0.09,17.21,17.87,17.31,19.41,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,0.0,False,True
5,high,43,1443,18,macd,28,20,6,48,0.99,2941,820,7,14,101,135,70,43,11,208,596,29,195,950,496,129,336,74,476,244,163,85,825,140,373,540,311,379,972,147,293,1115,2169,32,165,19,42,45,45,464,26,17,0.4,0.63,17.21,19.25,16.33,16.28,True,False,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,0.0,False,True
6,high,266,752,16,macds,136,32,6,23,0.24,534,998,5,205,649,66,120,844,22,132,311,166,108,405,538,174,167,88,732,480,174,146,791,80,457,581,491,593,593,936,117,1239,1845,1,392,16,40,50,40,908,23,30,0.08,0.52,16.2,15.14,18.21,19.45,True,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,True,0.0,False,True
7,open,403,462,40,macd,35,196,6,38,0.97,2273,684,152,97,18,51,149,475,213,184,213,195,102,956,922,668,253,83,395,324,430,82,729,518,26,963,534,458,358,306,43,1221,263,7,908,5,34,59,6,4,13,21,0.31,0.96,19.62,19.77,18.46,17.22,False,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,0.0,False,True
8,HL/2,146,155,35,macd,147,20,6,7,0.06,752,153,176,42,405,145,204,72,17,148,821,163,33,427,648,423,351,252,918,239,237,185,98,153,165,286,991,38,93,91,420,585,2451,5,484,2,47,171,25,689,17,19,0.59,0.83,19.23,19.08,15.84,19.59,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,0.0,False,True
9,open,54,1033,26,macdh,159,16,6,22,0.16,2086,152,95,210,574,154,66,805,225,188,557,218,91,896,715,487,331,133,873,747,202,175,431,959,241,796,352,466,261,215,454,756,737,17,966,18,40,118,17,812,47,44,0.43,0.91,18.73,17.61,18.14,15.49,False,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,0.0,False,True
10,high,730,1347,47,macdh,9,181,6,11,0.97,1290,494,119,151,261,9,115,918,61,79,566,188,40,157,796,283,105,102,222,91,389,297,406,220,733,882,446,254,88,756,417,1035,336,20,998,50,55,145,40,566,22,20,0.17,0.53,15.59,15.54,16.06,18.15,True,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,0.0,False,True
11,open,269,839,45,macdh,233,118,6,43,0.82,1132,96,223,25,487,186,32,508,138,143,299,72,234,99,728,558,335,133,811,491,375,201,144,565,293,591,895,126,993,174,62,1314,186,49,102,125,960,32,50,380,30,31,0.86,0.9,18.47,17.32,18.72,15.6,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,0.0,False,True
12,high,334,1180,43,macdh,182,54,6,39,0.45,1755,157,170,232,620,243,35,762,107,57,859,22,168,51,813,273,113,32,146,466,453,81,734,628,681,710,667,752,307,705,207,681,1279,18,744,16,48,66,45,606,24,36,0.91,0.38,17.63,15.65,16.2,16.68,True,False,True,True,True,False,True,False,False,False,False,False,True,True,True,False,True,0.0,False,True
13,high,179,937,21,macds,36,18,6,41,0.23,2461,49,185,122,62,108,111,117,223,182,101,101,230,926,999,740,354,94,771,517,47,8,897,451,931,855,330,574,34,63,24,256,438,1,130,32,88,125,35,350,6,41,0.73,0.37,19.13,15.0,17.93,18.35,True,True,False,True,True,False,True,True,True,False,False,True,True,False,True,False,False,0.0,False,True
14,high,223,1048,4,macds,84,125,6,35,0.2,1293,395,177,228,284,185,44,830,219,188,691,96,218,312,785,311,496,369,183,484,393,81,462,705,348,938,912,768,231,346,495,891,932,31,376,16,47,99,41,642,40,6,0.25,0.38,15.15,20.0,16.01,16.59,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,0.0,False,True
15,HL/2,685,1406,8,macd,146,92,6,18,0.92,873,271,68,182,526,53,126,246,60,239,408,108,64,500,809,667,127,74,356,280,263,152,957,23,828,687,111,596,566,779,376,1296,2437,27,500,17,55,120,40,238,49,15,0.05,0.47,19.87,18.41,18.01,19.47,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,0.0,False,True
16,low,267,372,35,macdh,222,29,6,49,0.57,992,735,170,47,237,145,101,40,46,46,71,40,113,282,481,369,149,144,946,204,38,26,922,265,181,813,265,630,225,646,263,466,2375,43,996,419,532,110,32,194,26,6,0.67,0.71,17.41,18.81,19.05,19.51,True,False,False,True,True,True,False,True,False,True,True,True,False,False,False,True,True,0.0,False,True
17,close,546,650,45,macd,240,81,6,26,0.01,1873,621,220,61,765,201,131,515,96,181,491,9,88,703,831,262,406,352,405,310,435,46,305,526,140,466,948,370,856,901,6,460,943,15,925,21,110,162,15,565,13,8,0.48,0.55,17.03,18.38,18.94,19.05,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,False,0.0,False,True
18,HLCC/4,320,1401,28,macds,249,54,6,31,0.56,1302,97,171,2,30,170,152,982,20,153,133,189,60,372,742,658,270,108,641,635,205,46,274,992,440,934,782,772,349,933,153,585,293,15,997,42,90,108,14,38,8,31,0.23,0.1,15.46,18.93,18.09,19.19,False,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,0.0,False,True
19,HLCC/4,263,1467,35,macdh,36,37,6,42,0.02,1890,74,25,4,979,19,47,158,203,172,202,195,78,226,756,534,342,83,962,688,209,106,892,772,634,412,393,481,574,63,336,393,2277,13,373,18,76,106,40,684,4,26,0.57,0.36,15.98,16.7,19.78,16.79,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,0.0,False,True
20,low,162,1416,48,macdh,164,207,4,45,0.02,2883,943,149,4,787,78,65,110,125,45,265,199,74,748,866,435,377,221,795,509,269,41,958,759,535,47,757,639,850,825,19,1180,755,38,340,17,44,100,10,570,24,4,0.82,0.73,18.2,15.67,19.83,15.6,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,,0.0,False,True
21,HLC/3,351,987,24,macds,219,151,5,30,0.89,2034,897,6,35,562,56,29,342,174,199,687,228,119,366,781,405,372,332,325,273,218,209,86,147,513,186,454,113,912,714,82,499,2388,45,141,346,705,135,24,642,35,34,0.17,0.26,19.35,17.05,16.98,19.19,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,,0.0,False,True
22,OHLC/4,15,1144,48,macds,156,159,2,27,0.93,1746,903,195,6,981,116,27,15,218,63,454,141,49,629,744,643,343,268,735,378,128,108,401,674,688,443,182,607,929,26,402,585,1012,25,172,8,43,199,34,841,31,32,0.17,0.59,16.25,19.34,16.42,18.24,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,,0.0,False,True
23,OHLC/4,15,1144,48,macds,156,159,2,27,0.93,1746,903,195,6,981,116,27,15,218,63,454,141,49,629,744,755,176,70,735,378,128,108,401,674,688,443,182,607,929,26,402,585,1012,25,172,8,43,199,34,841,31,32,0.17,0.59,17.46,15.31,19.37,16.75,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,,0.0,False,True
24,HL/2,689,1160,17,macdh,149,171,2,37,0.9,2789,163,17,141,487,71,186,398,220,41,320,91,217,322,247,185,91,39,958,761,412,170,799,505,840,715,776,13,973,720,287,319,1809,37,376,18,36,177,3,693,35,37,0.02,0.51,15.34,19.48,18.97,16.28,True,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,,0.0,False,True
25,open,716,999,10,macdh,209,222,7,3,0.26,2999,509,89,24,368,102,247,182,164,76,618,243,55,418,584,520,277,154,689,279,184,102,313,902,676,878,805,121,500,17,276,335,1875,2,744,11,53,99,21,343,5,10,0.3,0.93,16.38,18.01,16.8,17.4,True,True,False,True,False,True,False,False,True,False,True,True,True,True,True,False,,0.0,False,True
26,open,700,901,50,macdh,190,249,5,7,0.25,2277,509,89,24,368,102,247,182,164,76,618,91,217,322,247,309,71,39,789,387,374,170,799,505,840,715,776,13,973,720,287,319,1809,37,376,18,36,177,3,693,35,37,0.02,0.51,17.12,17.22,15.92,19.71,True,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,,0.0,False,True
27,open,716,999,10,macdh,209,222,7,3,0.26,2999,444,176,148,442,171,34,11,140,146,514,43,235,21,708,213,177,72,218,210,34,5,321,993,283,633,182,821,136,84,194,692,394,18,941,9,108,200,35,896,23,11,0.69,0.41,16.41,16.03,17.18,17.96,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,,0.0,False,True
28,HLC/3,351,987,24,macds,219,151,5,30,0.89,2034,897,6,35,562,56,29,342,174,199,687,228,119,366,781,405,372,332,325,273,47,41,958,759,535,47,757,639,850,825,19,1180,755,38,340,17,44,100,10,570,24,4,0.82,0.73,16.57,17.15,17.18,16.18,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,0.0,False,True
29,HLCC/4,19,391,11,macds,44,199,4,21,0.6,1691,916,207,8,867,30,125,147,131,169,525,15,58,572,434,297,114,73,893,643,198,192,789,862,283,368,385,690,98,244,327,1075,1079,43,885,12,60,45,42,953,21,21,0.3,0.27,16.58,16.71,18.43,18.49,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,0.0,False,True
30,OHLC/4,15,1144,48,macds,156,159,2,27,0.93,1746,903,195,6,981,116,27,15,218,63,454,141,49,629,744,855,301,130,735,378,128,108,401,674,688,443,182,607,929,26,402,585,1012,25,172,8,43,199,34,841,31,32,0.17,0.59,17.54,17.64,19.33,15.84,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,,0.0,False,True
31,OHLC/4,15,1144,48,macds,156,159,2,27,0.93,1746,903,195,6,981,116,27,15,218,63,454,141,49,629,744,483,367,156,735,378,128,108,401,674,688,443,182,607,929,26,402,585,1012,25,172,8,43,199,34,841,31,32,0.17,0.59,16.22,16.55,15.93,18.75,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,,0.0,False,True
32,OHLC/4,15,1144,48,macd,140,34,5,37,0.37,2010,212,188,16,845,95,22,674,45,150,819,200,222,57,698,507,289,286,158,540,230,12,391,437,725,830,985,857,768,311,263,961,1744,5,268,31,62,183,48,283,5,28,0.66,0.77,15.82,15.11,18.55,19.25,True,True,True,False,True,True,True,True,False,True,False,False,True,True,False,False,,0.0,False,True
33,low,278,1312,33,macds,156,159,2,27,0.93,1746,903,195,6,981,116,27,15,218,63,454,141,49,629,744,514,208,40,735,378,128,108,401,674,688,443,182,607,929,26,402,585,1012,25,172,8,43,199,34,841,31,32,0.17,0.59,19.84,15.72,15.91,16.51,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,,0.0,False,True
34,open,700,901,50,macdh,190,249,5,7,0.25,2277,444,176,148,442,171,34,11,140,146,514,43,235,21,708,213,177,72,218,210,34,5,321,993,283,633,182,821,136,84,194,692,394,18,941,9,108,200,35,896,23,11,0.69,0.41,16.27,19.06,17.97,19.73,False,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,,0.0,False,True
35,open,398,1101,50,macds,9,69,3,9,0.31,666,627,107,247,580,118,118,684,250,100,651,51,135,673,987,762,380,159,892,696,37,20,719,938,83,497,385,713,631,445,7,215,561,33,68,50,90,53,34,448,50,17,0.03,0.96,18.1,19.46,16.03,17.26,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,,0.0,False,True
36,high,696,1487,15,macd,60,138,6,45,0.5,1324,999,126,167,794,167,144,347,153,43,972,108,200,613,796,456,229,170,908,739,156,60,36,11,77,70,664,688,211,24,204,1107,1091,30,839,24,104,161,41,892,10,16,0.82,0.12,19.92,15.24,15.76,16.72,True,True,False,False,True,False,False,False,False,True,True,True,False,True,True,False,,0.0,False,True
37,high,696,1487,15,macd,60,138,6,45,0.5,1324,999,126,167,794,167,144,347,153,43,972,108,200,613,796,456,229,170,822,806,156,60,36,11,77,70,664,688,211,24,204,1107,1091,30,839,24,104,161,41,892,10,16,0.82,0.12,18.92,16.44,16.57,16.9,True,True,False,False,True,False,False,False,False,True,True,True,False,True,True,False,,0.0,False,True
38,high,696,1487,15,macd,60,138,6,45,0.5,1324,999,126,167,794,167,144,347,153,43,618,91,217,322,247,892,123,39,647,517,75,62,799,505,840,715,776,13,973,720,287,319,1809,37,376,18,36,177,3,693,35,37,0.02,0.51,16.17,18.89,16.77,17.41,True,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,,0.0,False,True
39,open,716,999,10,macdh,209,222,7,3,0.26,2999,509,89,24,368,102,247,182,164,76,972,108,200,613,796,456,229,170,590,418,156,60,36,11,77,70,664,688,211,24,204,1107,1091,30,839,24,104,161,41,892,10,16,0.82,0.12,17.8,16.12,17.77,19.64,True,True,False,False,True,False,False,False,False,True,True,True,False,True,True,False,,0.0,False,True
