,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,high,9,242,3,macd,24,89,5,2,0.29,2637,220,61,261,300,169,19,407,59,37,421,198,28,655,947,685,258,253,833,775,396,309,620,169,741,613,311,304,631,580,10,53,61,4,445,8,42,47,6,941,4,14,0.19,0.4,0.28,0.66,0.73,0.97,False,True,False,False,True,True,True,False,True,True,False,True,True,False,True,False,False,37.24042010731957,True,False,-0.1373920194354078,-0.0878533576506069,-0.0863177379264267
1,HL/2,9,206,28,macd,3,394,4,17,0.07,2800,532,176,330,548,124,262,376,93,313,850,99,30,272,818,528,484,482,884,646,485,442,404,820,194,630,484,637,791,534,10,13,64,1,765,17,42,5,18,90,14,12,0.19,0.02,0.45,0.93,0.84,0.81,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,12.886191728705626,True,False,-0.1023378060003838,-0.1078935996791768,-0.1056780447889346
2,HLC/3,109,119,6,macds,127,129,3,18,0.37,1703,737,358,385,291,138,337,176,259,177,93,302,118,458,910,536,284,274,870,727,368,340,847,105,395,930,526,865,672,484,20,38,50,17,413,12,25,100,12,387,17,19,0.36,0.19,0.37,0.73,0.72,0.95,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,17.56346936153323,True,False,-0.1137227499992872,-0.0956661723024812,-0.0960867886323546
3,open,197,399,19,macdh,377,132,5,6,0.29,1560,269,325,370,483,51,42,870,57,206,486,323,87,192,512,507,359,301,938,787,487,485,65,501,496,496,275,64,290,719,16,21,55,10,951,11,19,72,12,963,10,14,0.1,0.32,0.35,0.75,0.77,1.07,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,31.24818797815588,True,False,-0.1474969048185921,-0.098402818577074,-0.0976325686692006
4,high,64,164,16,macds,281,88,6,20,0.37,1326,962,281,219,437,334,259,642,144,369,185,37,207,923,692,643,417,406,707,605,308,294,719,967,572,638,766,139,253,635,23,56,65,13,12,5,19,58,14,483,20,3,0.28,0.03,0.42,0.88,0.93,0.84,True,False,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,7.110713926911745,True,False,-0.1537180404834794,-0.0971648758007717,-0.1015821499926952
5,HLCC/4,407,471,12,macdh,62,384,4,16,0.04,2769,385,26,166,434,182,338,777,221,28,534,362,288,935,996,573,434,292,890,761,363,313,215,475,93,331,233,231,946,394,2,47,67,3,382,7,32,43,7,370,18,19,0.38,0.11,0.3,0.53,0.83,1.0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,22.881821463715134,True,False,-0.1460475429894638,-0.1640407760032478,-0.1609344213647778
6,OHLC/4,419,466,35,macdh,166,261,6,16,0.22,2948,657,118,203,225,60,33,908,72,16,259,101,95,620,952,741,346,264,943,889,486,293,945,491,734,420,443,612,430,513,16,37,99,17,872,4,14,20,11,829,2,20,0.23,0.37,0.53,0.63,0.89,0.96,True,False,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,27.018574804831545,True,False,-0.18321519473642045,-0.16903456859773663,-0.1684438599487967
7,low,231,275,17,macdh,84,110,4,13,0.23,1928,294,201,102,449,344,310,558,72,289,613,37,322,896,746,736,408,368,996,861,421,343,19,551,861,639,277,608,15,457,24,52,82,11,279,13,34,47,5,19,7,16,0.03,0.15,0.44,0.64,0.83,0.95,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,14.074090158197597,True,False,-0.14741377064024155,-0.09663378456913746,-0.09417649278122267
8,low,13,385,3,macdh,179,178,6,14,0.39,726,226,305,74,116,9,394,642,240,121,62,250,220,61,974,516,384,311,911,700,492,310,251,788,402,467,418,1000,814,824,17,53,50,17,135,9,45,56,4,687,12,24,0.21,0.35,1.2,1.08,1.01,1.15,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,True,0.0,False,True,0.0,0.0,0.0
9,high,15,443,25,macd,356,12,6,1,0.18,2834,911,168,213,836,107,254,814,286,171,178,3,356,474,757,573,480,429,989,511,494,319,169,718,2,127,799,398,738,988,11,50,64,14,910,13,22,101,12,143,24,19,0.35,0.21,1.07,1.04,1.0,1.11,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,0.0,False,True,0.0,0.0,0.0
