,AUDNZD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,AUDNZD_i,1.06747,1.06764,1.06722,1.06787,1.067545,1.0675766666666666,1.0675925,1.06755,600,2020-12-18 22:45:00
1,AUDNZD_i,1.06761,1.06715,1.06715,1.06783,1.06749,1.0673766666666669,1.06732,1.0674350000000001,323,2020-12-18 23:00:00
2,AUDNZD_i,1.06715,1.06736,1.06701,1.06742,1.067215,1.0672633333333332,1.0672875,1.067235,104,2020-12-18 23:15:00
3,AUDNZD_i,1.06736,1.06702,1.06695,1.06747,1.06721,1.0671466666666667,1.067115,1.0672,111,2020-12-18 23:30:00
4,AUDNZD_i,1.06699,1.06705,1.06686,1.06725,1.0670549999999999,1.0670533333333332,1.0670525,1.0670375,115,2020-12-18 23:45:00
5,AUDNZD_i,1.06629,1.06673,1.06589,1.06714,1.0665149999999999,1.0665866666666666,1.0666224999999998,1.0665125,137,2020-12-21 00:00:00
6,AUDNZD_i,1.06711,1.06739,1.06633,1.0674,1.066865,1.06704,1.0671275,1.0670575,127,2020-12-21 00:15:00
7,AUDNZD_i,1.06726,1.06729,1.06668,1.06767,1.067175,1.0672133333333333,1.0672325,1.067225,441,2020-12-21 00:30:00
8,AUDNZD_i,1.06729,1.06683,1.06667,1.06769,1.06718,1.0670633333333333,1.067005,1.06712,227,2020-12-21 00:45:00
9,AUDNZD_i,1.06683,1.06708,1.06587,1.06737,1.06662,1.0667733333333331,1.0668499999999999,1.0667874999999998,350,2020-12-21 01:00:00
10,AUDNZD_i,1.06711,1.06778,1.06683,1.06779,1.06731,1.0674666666666666,1.067545,1.0673775,369,2020-12-21 01:15:00
11,AUDNZD_i,1.06778,1.06755,1.06747,1.06829,1.06788,1.06777,1.067715,1.0677725,460,2020-12-21 01:30:00
12,AUDNZD_i,1.06755,1.06776,1.06748,1.06779,1.0676350000000001,1.0676766666666666,1.0676975,1.067645,291,2020-12-21 01:45:00
13,AUDNZD_i,1.06773,1.06799,1.06773,1.06849,1.06811,1.0680699999999999,1.06805,1.067985,412,2020-12-21 02:00:00
14,AUDNZD_i,1.06799,1.06845,1.06795,1.06883,1.06839,1.0684099999999999,1.06842,1.068305,529,2020-12-21 02:15:00
15,AUDNZD_i,1.06845,1.06868,1.06817,1.06906,1.0686149999999999,1.0686366666666667,1.0686475,1.06859,316,2020-12-21 02:30:00
16,AUDNZD_i,1.06868,1.06914,1.06846,1.06918,1.06882,1.0689266666666668,1.06898,1.0688650000000002,404,2020-12-21 02:45:00
17,AUDNZD_i,1.06914,1.06933,1.06887,1.06943,1.06915,1.06921,1.06924,1.0691925,410,2020-12-21 03:00:00
18,AUDNZD_i,1.06933,1.06906,1.06891,1.06953,1.06922,1.0691666666666666,1.06914,1.0692075,315,2020-12-21 03:15:00
19,AUDNZD_i,1.06906,1.06939,1.06898,1.06952,1.06925,1.0692966666666666,1.06932,1.0692374999999998,411,2020-12-21 03:30:00
20,AUDNZD_i,1.06939,1.06822,1.06805,1.06972,1.0688849999999999,1.0686633333333333,1.0685525,1.068845,875,2020-12-21 03:45:00
21,AUDNZD_i,1.06824,1.06855,1.06824,1.0691,1.06867,1.06863,1.06861,1.0685325,414,2020-12-21 04:00:00
22,AUDNZD_i,1.06855,1.06813,1.06805,1.06856,1.068305,1.0682466666666668,1.0682175,1.0683225,428,2020-12-21 04:15:00
23,AUDNZD_i,1.06813,1.06744,1.06731,1.06822,1.067765,1.0676566666666667,1.0676025,1.0677750000000001,860,2020-12-21 04:30:00
24,AUDNZD_i,1.06743,1.06745,1.06742,1.06803,1.067725,1.0676333333333334,1.0675875000000001,1.0675825,582,2020-12-21 04:45:00
25,AUDNZD_i,1.06744,1.06758,1.06744,1.0679400000000001,1.06769,1.0676533333333333,1.0676350000000001,1.0676,453,2020-12-21 05:00:00
26,AUDNZD_i,1.06758,1.06735,1.06708,1.06771,1.0673949999999999,1.06738,1.0673725,1.0674299999999999,370,2020-12-21 05:15:00
27,AUDNZD_i,1.06737,1.06699,1.06697,1.06747,1.0672199999999998,1.0671433333333333,1.067105,1.0672,271,2020-12-21 05:30:00
28,AUDNZD_i,1.06699,1.06699,1.06698,1.06717,1.067075,1.0670466666666667,1.0670325,1.0670325,193,2020-12-21 05:45:00
29,AUDNZD_i,1.06699,1.06681,1.06677,1.06704,1.066905,1.0668733333333333,1.0668575,1.0669024999999999,216,2020-12-21 06:00:00
30,AUDNZD_i,1.06681,1.06676,1.06673,1.06701,1.06687,1.0668333333333333,1.066815,1.0668275,203,2020-12-21 06:15:00
31,AUDNZD_i,1.06676,1.06647,1.06637,1.06691,1.06664,1.0665833333333332,1.066555,1.0666275,388,2020-12-21 06:30:00
32,AUDNZD_i,1.06648,1.06638,1.06612,1.06658,1.06635,1.06636,1.066365,1.06639,297,2020-12-21 06:45:00
33,AUDNZD_i,1.06638,1.06622,1.06613,1.06663,1.06638,1.0663266666666666,1.0663,1.06634,355,2020-12-21 07:00:00
34,AUDNZD_i,1.06625,1.06669,1.06616,1.06679,1.066475,1.0665466666666668,1.0665825,1.0664725,434,2020-12-21 07:15:00
35,AUDNZD_i,1.0666,1.0665,1.06637,1.06698,1.066675,1.0666166666666668,1.0665875,1.0666125,321,2020-12-21 07:30:00
36,AUDNZD_i,1.0665,1.06646,1.06615,1.06694,1.066545,1.0665166666666668,1.0665025000000001,1.0665125,447,2020-12-21 07:45:00
37,AUDNZD_i,1.0665,1.06632,1.06619,1.06659,1.06639,1.0663666666666665,1.066355,1.0663999999999998,440,2020-12-21 08:00:00
38,AUDNZD_i,1.06631,1.06659,1.06631,1.06666,1.0664850000000001,1.06652,1.0665375,1.0664675,446,2020-12-21 08:15:00
39,AUDNZD_i,1.06659,1.06643,1.0661,1.06665,1.066375,1.0663933333333333,1.0664025000000001,1.0664425,450,2020-12-21 08:30:00
40,AUDNZD_i,1.0664,1.06623,1.06612,1.06651,1.066315,1.0662866666666666,1.0662725,1.066315,542,2020-12-21 08:45:00
41,AUDNZD_i,1.06623,1.06607,1.06601,1.06643,1.06622,1.0661699999999998,1.066145,1.066185,601,2020-12-21 09:00:00
42,AUDNZD_i,1.06607,1.06629,1.0657,1.06635,1.066025,1.0661133333333332,1.0661575,1.0661025,630,2020-12-21 09:15:00
43,AUDNZD_i,1.06628,1.06637,1.06565,1.06669,1.06617,1.0662366666666667,1.06627,1.0662475,806,2020-12-21 09:30:00
44,AUDNZD_i,1.06637,1.06752,1.06615,1.0676,1.066875,1.06709,1.0671975,1.06691,898,2020-12-21 09:45:00
45,AUDNZD_i,1.06752,1.06823,1.06732,1.06834,1.06783,1.0679633333333334,1.06803,1.0678525,1106,2020-12-21 10:00:00
46,AUDNZD_i,1.06823,1.0685,1.06816,1.06897,1.068565,1.0685433333333334,1.0685325,1.068465,797,2020-12-21 10:15:00
47,AUDNZD_i,1.06852,1.06863,1.06836,1.06892,1.06864,1.0686366666666667,1.068635,1.0686075000000002,878,2020-12-21 10:30:00
48,AUDNZD_i,1.06863,1.06925,1.06828,1.06927,1.068775,1.0689333333333335,1.0690125000000001,1.0688575,856,2020-12-21 10:45:00
49,AUDNZD_i,1.06924,1.06927,1.06914,1.06969,1.069415,1.0693666666666666,1.0693424999999999,1.069335,675,2020-12-21 11:00:00
50,AUDNZD_i,1.06927,1.0683799999999999,1.06828,1.06928,1.0687799999999998,1.0686466666666665,1.0685799999999999,1.0688024999999999,496,2020-12-21 11:15:00
51,AUDNZD_i,1.0683799999999999,1.06809,1.06778,1.06876,1.06827,1.0682099999999999,1.06818,1.0682524999999998,595,2020-12-21 11:30:00
52,AUDNZD_i,1.06809,1.06743,1.06712,1.0682,1.06766,1.0675833333333333,1.067545,1.06771,865,2020-12-21 11:45:00
53,AUDNZD_i,1.06738,1.0659,1.06578,1.06756,1.06667,1.0664133333333334,1.0662850000000001,1.066655,1080,2020-12-21 12:00:00
54,AUDNZD_i,1.06592,1.06542,1.06492,1.06628,1.0655999999999999,1.06554,1.06551,1.0656349999999999,1373,2020-12-21 12:15:00
55,AUDNZD_i,1.06543,1.06668,1.06528,1.06673,1.066005,1.06623,1.0663425,1.06603,1205,2020-12-21 12:30:00
56,AUDNZD_i,1.06668,1.06676,1.06636,1.06703,1.066695,1.0667166666666665,1.0667274999999998,1.0667075,1093,2020-12-21 12:45:00
57,AUDNZD_i,1.06675,1.06764,1.0667,1.06783,1.067265,1.0673899999999998,1.0674525,1.06723,943,2020-12-21 13:00:00
58,AUDNZD_i,1.06763,1.0679,1.06754,1.06816,1.06785,1.0678666666666665,1.067875,1.0678075,799,2020-12-21 13:15:00
59,AUDNZD_i,1.06787,1.0684,1.06763,1.06844,1.068035,1.0681566666666666,1.0682175,1.068085,1020,2020-12-21 13:30:00
60,AUDNZD_i,1.0684,1.06691,1.06691,1.06841,1.06766,1.06741,1.067285,1.0676575000000001,811,2020-12-21 13:45:00
61,AUDNZD_i,1.06693,1.06765,1.06691,1.06792,1.067415,1.0674933333333334,1.0675325,1.0673525,798,2020-12-21 14:00:00
62,AUDNZD_i,1.06765,1.06828,1.06762,1.0683,1.06796,1.0680666666666667,1.06812,1.0679625000000001,634,2020-12-21 14:15:00
63,AUDNZD_i,1.06828,1.06823,1.06797,1.06836,1.068165,1.0681866666666666,1.0681975,1.0682099999999999,658,2020-12-21 14:30:00
64,AUDNZD_i,1.06823,1.06808,1.068,1.06847,1.068235,1.0681833333333335,1.0681575,1.068195,771,2020-12-21 14:45:00
65,AUDNZD_i,1.06804,1.06801,1.06782,1.06826,1.0680399999999999,1.06803,1.068025,1.0680325,946,2020-12-21 15:00:00
66,AUDNZD_i,1.06802,1.06827,1.06764,1.06862,1.06813,1.0681766666666668,1.0682,1.0681375,784,2020-12-21 15:15:00
67,AUDNZD_i,1.0682,1.06859,1.06803,1.06866,1.0683449999999999,1.0684266666666666,1.0684675,1.0683699999999998,995,2020-12-21 15:30:00
68,AUDNZD_i,1.06859,1.06883,1.06826,1.06911,1.0686849999999999,1.0687333333333333,1.0687575,1.0686974999999999,909,2020-12-21 15:45:00
69,AUDNZD_i,1.06879,1.06841,1.06835,1.06904,1.068695,1.0686,1.0685525,1.0686475,877,2020-12-21 16:00:00
70,AUDNZD_i,1.06841,1.06898,1.06826,1.06913,1.068695,1.06879,1.0688374999999999,1.068695,879,2020-12-21 16:15:00
71,AUDNZD_i,1.06898,1.06897,1.06853,1.06921,1.06887,1.0689033333333333,1.06892,1.0689225,1251,2020-12-21 16:30:00
72,AUDNZD_i,1.06897,1.06823,1.06818,1.06915,1.068665,1.0685200000000001,1.0684475,1.0686325,1003,2020-12-21 16:45:00
73,AUDNZD_i,1.06823,1.06917,1.06795,1.06918,1.068565,1.0687666666666666,1.0688674999999999,1.0686324999999999,1099,2020-12-21 17:00:00
74,AUDNZD_i,1.06913,1.06932,1.06885,1.06937,1.06911,1.06918,1.069215,1.0691674999999998,1116,2020-12-21 17:15:00
