,BRN_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,BRN_i,42.49,42.56,42.49,42.58,42.535,42.54333333333333,42.5475,42.53,50,2020-09-29 12:15:00
1,BRN_i,42.56,42.6,42.56,42.7,42.63,42.620000000000005,42.615,42.605000000000004,68,2020-09-29 12:30:00
2,BRN_i,42.61,42.66,42.61,42.69,42.65,42.65333333333333,42.655,42.6425,65,2020-09-29 12:45:00
3,BRN_i,42.65,42.67,42.64,42.7,42.67,42.669999999999995,42.67,42.665,47,2020-09-29 13:00:00
4,BRN_i,42.68,42.67,42.65,42.75,42.7,42.69,42.685,42.6875,46,2020-09-29 13:15:00
5,BRN_i,42.67,42.64,42.63,42.69,42.66,42.65333333333333,42.65,42.6575,45,2020-09-29 13:30:00
6,BRN_i,42.65,42.61,42.55,42.66,42.605,42.60666666666666,42.6075,42.6175,59,2020-09-29 13:45:00
7,BRN_i,42.62,42.62,42.58,42.64,42.61,42.61333333333334,42.615,42.615,56,2020-09-29 14:00:00
8,BRN_i,42.62,42.59,42.57,42.66,42.614999999999995,42.60666666666666,42.6025,42.61,53,2020-09-29 14:15:00
9,BRN_i,42.59,42.57,42.54,42.59,42.565,42.56666666666666,42.567499999999995,42.5725,45,2020-09-29 14:30:00
10,BRN_i,42.57,42.6,42.54,42.6,42.57,42.580000000000005,42.585,42.5775,38,2020-09-29 14:45:00
11,BRN_i,42.61,42.54,42.47,42.61,42.54,42.54,42.54,42.557500000000005,79,2020-09-29 15:00:00
12,BRN_i,42.54,42.61,42.54,42.64,42.59,42.59666666666667,42.6,42.5825,59,2020-09-29 15:15:00
13,BRN_i,42.61,42.66,42.61,42.73,42.67,42.666666666666664,42.665,42.6525,67,2020-09-29 15:30:00
14,BRN_i,42.66,42.62,42.61,42.71,42.66,42.64666666666667,42.64,42.65,72,2020-09-29 15:45:00
15,BRN_i,42.62,42.23,42.21,42.68,42.445,42.373333333333335,42.3375,42.435,165,2020-09-29 16:00:00
16,BRN_i,42.23,42.29,42.14,42.37,42.254999999999995,42.26666666666666,42.272499999999994,42.25749999999999,126,2020-09-29 16:15:00
17,BRN_i,42.29,42.17,42.16,42.33,42.245,42.22,42.207499999999996,42.2375,126,2020-09-29 16:30:00
18,BRN_i,42.17,42.24,42.12,42.29,42.205,42.21666666666667,42.222500000000004,42.205,118,2020-09-29 16:45:00
19,BRN_i,42.24,42.2,42.17,42.37,42.269999999999996,42.24666666666666,42.235,42.245,116,2020-09-29 17:00:00
20,BRN_i,42.19,42.18,42.14,42.29,42.215,42.20333333333334,42.197500000000005,42.2,125,2020-09-29 17:15:00
21,BRN_i,42.21,41.87,41.52,42.21,41.865,41.86666666666667,41.8675,41.9525,216,2020-09-29 17:30:00
22,BRN_i,41.85,41.75,41.69,41.91,41.8,41.78333333333333,41.775,41.8,146,2020-09-29 17:45:00
23,BRN_i,41.76,41.54,41.5,41.76,41.629999999999995,41.599999999999994,41.584999999999994,41.63999999999999,140,2020-09-29 18:00:00
24,BRN_i,41.53,41.37,41.23,41.59,41.41,41.39666666666667,41.39,41.43,155,2020-09-29 18:15:00
25,BRN_i,41.35,41.08,41.08,41.39,41.235,41.18333333333333,41.1575,41.225,144,2020-09-29 18:30:00
26,BRN_i,41.08,41.05,41.04,41.25,41.144999999999996,41.11333333333333,41.0975,41.105,124,2020-09-29 18:45:00
27,BRN_i,41.05,40.89,40.86,41.06,40.96,40.93666666666667,40.925,40.965,140,2020-09-29 19:00:00
28,BRN_i,40.89,41.13,40.83,41.15,40.989999999999995,41.03666666666666,41.059999999999995,41.0,108,2020-09-29 19:15:00
29,BRN_i,41.14,41.13,41.05,41.23,41.14,41.13666666666666,41.135,41.1375,115,2020-09-29 19:30:00
30,BRN_i,41.13,41.16,41.09,41.2,41.145,41.15,41.1525,41.145,81,2020-09-29 19:45:00
31,BRN_i,41.15,41.23,41.09,41.27,41.18000000000001,41.196666666666665,41.205,41.185,106,2020-09-29 20:00:00
32,BRN_i,41.24,41.29,41.17,41.31,41.24,41.25666666666667,41.265,41.252500000000005,104,2020-09-29 20:15:00
33,BRN_i,41.28,41.22,41.19,41.32,41.254999999999995,41.24333333333333,41.2375,41.2525,98,2020-09-29 20:30:00
34,BRN_i,41.21,41.2,41.16,41.26,41.209999999999994,41.20666666666666,41.205,41.207499999999996,96,2020-09-29 20:45:00
35,BRN_i,41.2,41.35,41.2,41.4,41.3,41.31666666666666,41.324999999999996,41.287499999999994,126,2020-09-29 21:00:00
36,BRN_i,41.36,41.47,41.34,41.64,41.49,41.483333333333334,41.480000000000004,41.4525,169,2020-09-29 21:15:00
37,BRN_i,41.48,41.4,41.33,41.51,41.42,41.413333333333334,41.410000000000004,41.43,66,2020-09-29 21:30:00
38,BRN_i,41.4,41.38,41.32,41.42,41.370000000000005,41.373333333333335,41.375,41.38,57,2020-09-29 21:45:00
39,BRN_i,41.38,41.22,41.2,41.39,41.295,41.27,41.2575,41.2975,56,2020-09-29 22:00:00
40,BRN_i,41.22,41.3,41.17,41.32,41.245000000000005,41.263333333333335,41.2725,41.2525,61,2020-09-29 22:15:00
41,BRN_i,41.3,41.29,41.26,41.33,41.295,41.29333333333333,41.2925,41.295,49,2020-09-29 22:30:00
42,BRN_i,41.29,41.32,41.29,41.35,41.32,41.32,41.32,41.3125,47,2020-09-29 22:45:00
43,BRN_i,41.32,41.31,41.26,41.33,41.295,41.300000000000004,41.3025,41.305,26,2020-09-29 23:00:00
44,BRN_i,41.31,41.26,41.26,41.31,41.285,41.276666666666664,41.272499999999994,41.285,22,2020-09-29 23:15:00
45,BRN_i,41.26,41.39,41.25,41.49,41.370000000000005,41.37666666666667,41.38,41.347500000000004,111,2020-09-29 23:30:00
46,BRN_i,41.41,41.26,41.22,41.52,41.370000000000005,41.333333333333336,41.315,41.3525,109,2020-09-30 03:00:00
47,BRN_i,41.26,41.27,41.17,41.28,41.225,41.24,41.2475,41.245,57,2020-09-30 03:15:00
48,BRN_i,41.26,41.27,41.21,41.34,41.275000000000006,41.27333333333334,41.27250000000001,41.27,49,2020-09-30 03:30:00
49,BRN_i,41.27,41.26,41.24,41.29,41.265,41.26333333333333,41.262499999999996,41.265,47,2020-09-30 03:45:00
50,BRN_i,41.17,41.26,41.16,41.26,41.209999999999994,41.22666666666666,41.23499999999999,41.21249999999999,60,2020-09-30 04:00:00
51,BRN_i,41.26,41.38,41.26,41.38,41.32,41.34,41.35,41.32,71,2020-09-30 04:15:00
52,BRN_i,41.37,41.28,41.28,41.38,41.33,41.31333333333333,41.305,41.3275,58,2020-09-30 04:30:00
53,BRN_i,41.28,41.27,41.24,41.33,41.285,41.28,41.2775,41.28,50,2020-09-30 04:45:00
54,BRN_i,41.27,41.33,41.24,41.33,41.285,41.3,41.3075,41.2925,64,2020-09-30 05:00:00
55,BRN_i,41.32,41.32,41.31,41.38,41.345,41.336666666666666,41.332499999999996,41.332499999999996,65,2020-09-30 05:15:00
56,BRN_i,41.32,41.22,41.22,41.38,41.3,41.27333333333333,41.26,41.285,73,2020-09-30 05:30:00
57,BRN_i,41.23,41.17,41.11,41.24,41.175,41.17333333333333,41.1725,41.1875,89,2020-09-30 05:45:00
58,BRN_i,41.17,41.12,41.05,41.19,41.12,41.12,41.12,41.13249999999999,83,2020-09-30 06:00:00
59,BRN_i,41.13,41.11,41.04,41.19,41.114999999999995,41.11333333333333,41.1125,41.1175,85,2020-09-30 06:15:00
60,BRN_i,41.12,41.16,41.1,41.22,41.16,41.16,41.16,41.15,74,2020-09-30 06:30:00
61,BRN_i,41.16,41.14,41.12,41.18,41.15,41.14666666666667,41.144999999999996,41.15,62,2020-09-30 06:45:00
62,BRN_i,41.14,41.12,41.1,41.17,41.135000000000005,41.13,41.127500000000005,41.13250000000001,50,2020-09-30 07:00:00
63,BRN_i,41.12,41.09,40.98,41.12,41.05,41.06333333333333,41.07,41.0775,77,2020-09-30 07:15:00
64,BRN_i,41.09,41.12,41.06,41.12,41.09,41.1,41.105000000000004,41.097500000000004,52,2020-09-30 07:30:00
65,BRN_i,41.12,41.16,41.07,41.17,41.120000000000005,41.13333333333333,41.14,41.13,45,2020-09-30 07:45:00
66,BRN_i,41.15,41.21,41.1,41.23,41.165,41.18,41.1875,41.1725,62,2020-09-30 08:00:00
67,BRN_i,41.2,41.21,41.2,41.23,41.215,41.21333333333334,41.212500000000006,41.21000000000001,41,2020-09-30 08:15:00
68,BRN_i,41.2,41.14,41.07,41.25,41.16,41.15333333333333,41.15,41.165,92,2020-09-30 08:30:00
69,BRN_i,41.14,41.11,41.08,41.16,41.12,41.11666666666667,41.114999999999995,41.1225,67,2020-09-30 08:45:00
70,BRN_i,41.11,41.09,41.09,41.21,41.150000000000006,41.13,41.120000000000005,41.125,91,2020-09-30 09:00:00
71,BRN_i,41.11,41.16,41.07,41.18,41.125,41.13666666666666,41.1425,41.129999999999995,75,2020-09-30 09:15:00
72,BRN_i,41.15,41.19,41.12,41.21,41.165,41.17333333333333,41.177499999999995,41.1675,68,2020-09-30 09:30:00
73,BRN_i,41.19,41.15,41.12,41.2,41.16,41.156666666666666,41.155,41.165,69,2020-09-30 09:45:00
74,BRN_i,41.15,41.29,41.07,41.32,41.195,41.22666666666667,41.2425,41.2075,122,2020-09-30 10:00:00
75,BRN_i,41.29,41.29,41.2,41.32,41.260000000000005,41.27,41.275,41.275,113,2020-09-30 10:15:00
76,BRN_i,41.3,41.26,41.25,41.38,41.315,41.29666666666666,41.287499999999994,41.2975,100,2020-09-30 10:30:00
77,BRN_i,41.26,41.23,41.19,41.28,41.235,41.23333333333333,41.232499999999995,41.239999999999995,85,2020-09-30 10:45:00
78,BRN_i,41.24,41.22,41.19,41.31,41.25,41.24,41.235,41.24,97,2020-09-30 11:00:00
79,BRN_i,41.22,41.38,41.22,41.39,41.305,41.330000000000005,41.3425,41.3025,96,2020-09-30 11:15:00
80,BRN_i,41.38,41.35,41.29,41.44,41.364999999999995,41.35999999999999,41.357499999999995,41.364999999999995,106,2020-09-30 11:30:00
81,BRN_i,41.34,41.27,41.23,41.36,41.295,41.28666666666667,41.282500000000006,41.300000000000004,78,2020-09-30 11:45:00
82,BRN_i,41.27,41.08,41.06,41.31,41.185,41.15,41.1325,41.18,94,2020-09-30 12:00:00
83,BRN_i,41.08,40.85,40.84,41.1,40.97,40.93,40.91,40.9675,107,2020-09-30 12:15:00
84,BRN_i,40.86,41.06,40.85,41.09,40.97,41.0,41.015,40.965,76,2020-09-30 12:30:00
85,BRN_i,41.06,41.07,40.98,41.12,41.05,41.056666666666665,41.059999999999995,41.0575,78,2020-09-30 12:45:00
86,BRN_i,41.07,41.02,40.95,41.08,41.015,41.01666666666667,41.017500000000005,41.03,105,2020-09-30 13:00:00
87,BRN_i,41.02,40.94,40.93,41.04,40.985,40.97,40.9625,40.9825,60,2020-09-30 13:15:00
88,BRN_i,40.95,41.16,40.95,41.19,41.07,41.1,41.114999999999995,41.0625,71,2020-09-30 13:30:00
89,BRN_i,41.16,41.11,41.1,41.24,41.17,41.15,41.14,41.1525,90,2020-09-30 13:45:00
90,BRN_i,41.11,41.15,41.07,41.27,41.17,41.163333333333334,41.160000000000004,41.150000000000006,91,2020-09-30 14:00:00
91,BRN_i,41.16,41.16,41.07,41.17,41.120000000000005,41.13333333333333,41.14,41.14,74,2020-09-30 14:15:00
92,BRN_i,41.15,41.22,41.13,41.24,41.185,41.196666666666665,41.2025,41.185,55,2020-09-30 14:30:00
93,BRN_i,41.22,41.34,41.22,41.35,41.285,41.303333333333335,41.3125,41.2825,58,2020-09-30 14:45:00
94,BRN_i,41.33,41.35,41.3,41.39,41.345,41.346666666666664,41.3475,41.3425,69,2020-09-30 15:00:00
95,BRN_i,41.34,41.39,41.27,41.43,41.35,41.36333333333334,41.370000000000005,41.3575,97,2020-09-30 15:15:00
96,BRN_i,41.38,41.39,41.23,41.41,41.31999999999999,41.34333333333333,41.355,41.3525,79,2020-09-30 15:30:00
