,BTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,BTCUSD_i,57082.0,56643.0,56643.0,57234.0,56938.5,56840.0,56790.75,56900.5,20315,2021-03-22 02:30:00
1,BTCUSD_i,56643.0,56587.0,56455.0,56793.0,56624.0,56611.666666666664,56605.5,56619.5,18525,2021-03-22 02:45:00
2,BTCUSD_i,56587.0,56608.0,56381.0,56726.0,56553.5,56571.666666666664,56580.75,56575.5,14665,2021-03-22 03:00:00
3,BTCUSD_i,56608.0,56475.0,56344.0,56681.0,56512.5,56500.0,56493.75,56527.0,14245,2021-03-22 03:15:00
4,BTCUSD_i,56476.0,56575.0,56371.0,56631.0,56501.0,56525.666666666664,56538.0,56513.25,16375,2021-03-22 03:30:00
5,BTCUSD_i,56575.0,56638.0,56521.0,56718.0,56619.5,56625.666666666664,56628.75,56613.0,9215,2021-03-22 03:45:00
6,BTCUSD_i,56638.0,56594.0,56420.0,56646.0,56533.0,56553.333333333336,56563.5,56574.5,13565,2021-03-22 04:00:00
7,BTCUSD_i,56594.0,56883.0,56575.0,56959.0,56767.0,56805.666666666664,56825.0,56752.75,11315,2021-03-22 04:15:00
8,BTCUSD_i,56883.0,56929.0,56799.0,57019.0,56909.0,56915.666666666664,56919.0,56907.5,8835,2021-03-22 04:30:00
9,BTCUSD_i,56929.0,56964.0,56849.0,56964.0,56906.5,56925.666666666664,56935.25,56926.5,8865,2021-03-22 04:45:00
10,BTCUSD_i,56964.0,57239.0,56964.0,57260.0,57112.0,57154.333333333336,57175.5,57106.75,9985,2021-03-22 05:00:00
11,BTCUSD_i,57236.0,57341.0,57217.0,57488.0,57352.5,57348.666666666664,57346.75,57320.5,11265,2021-03-22 05:15:00
12,BTCUSD_i,57341.0,57384.0,57317.0,57466.0,57391.5,57389.0,57387.75,57377.0,7465,2021-03-22 05:30:00
13,BTCUSD_i,57384.0,57561.0,57310.0,57633.0,57471.5,57501.333333333336,57516.25,57472.0,11645,2021-03-22 05:45:00
14,BTCUSD_i,57561.0,57605.0,57466.0,57676.0,57571.0,57582.333333333336,57588.0,57577.0,10715,2021-03-22 06:00:00
15,BTCUSD_i,57605.0,57734.0,57605.0,57771.0,57688.0,57703.333333333336,57711.0,57678.75,8915,2021-03-22 06:15:00
16,BTCUSD_i,57734.0,57609.0,57560.0,57775.0,57667.5,57648.0,57638.25,57669.5,7375,2021-03-22 06:30:00
17,BTCUSD_i,57609.0,57548.0,57417.0,57619.0,57518.0,57528.0,57533.0,57548.25,7265,2021-03-22 06:45:00
18,BTCUSD_i,57555.0,57513.0,57393.0,57555.0,57474.0,57487.0,57493.5,57504.0,6815,2021-03-22 07:00:00
19,BTCUSD_i,57525.0,57310.0,57276.0,57553.0,57414.5,57379.666666666664,57362.25,57416.0,7445,2021-03-22 07:15:00
20,BTCUSD_i,57310.0,57408.0,57276.0,57462.0,57369.0,57382.0,57388.5,57364.0,7505,2021-03-22 07:30:00
21,BTCUSD_i,57408.0,57585.0,57405.0,57722.0,57563.5,57570.666666666664,57574.25,57530.0,6025,2021-03-22 07:45:00
22,BTCUSD_i,57585.0,57686.0,57585.0,57849.0,57717.0,57706.666666666664,57701.5,57676.25,9885,2021-03-22 08:00:00
23,BTCUSD_i,57686.0,57795.0,57585.0,57795.0,57690.0,57725.0,57742.5,57715.25,8575,2021-03-22 08:15:00
24,BTCUSD_i,57795.0,57746.0,57634.0,57795.0,57714.5,57725.0,57730.25,57742.5,6245,2021-03-22 08:30:00
25,BTCUSD_i,57764.0,57660.0,57660.0,57841.0,57750.5,57720.333333333336,57705.25,57731.25,6425,2021-03-22 08:45:00
26,BTCUSD_i,57659.0,57596.0,57531.0,57661.0,57596.0,57596.0,57596.0,57611.75,7535,2021-03-22 09:00:00
27,BTCUSD_i,57596.0,57787.0,57596.0,57797.0,57696.5,57726.666666666664,57741.75,57694.0,8245,2021-03-22 09:15:00
28,BTCUSD_i,57787.0,57628.0,57619.0,57796.0,57707.5,57681.0,57667.75,57707.5,7555,2021-03-22 09:30:00
29,BTCUSD_i,57628.0,57551.0,57532.0,57737.0,57634.5,57606.666666666664,57592.75,57612.0,11345,2021-03-22 09:45:00
30,BTCUSD_i,57551.0,57487.0,57393.0,57582.0,57487.5,57487.333333333336,57487.25,57503.25,7055,2021-03-22 10:00:00
31,BTCUSD_i,57487.0,57417.0,57415.0,57671.0,57543.0,57501.0,57480.0,57497.5,8475,2021-03-22 10:15:00
32,BTCUSD_i,57417.0,57217.0,57167.0,57487.0,57327.0,57290.333333333336,57272.0,57322.0,12705,2021-03-22 10:30:00
33,BTCUSD_i,57217.0,57206.0,57087.0,57378.0,57232.5,57223.666666666664,57219.25,57222.0,12555,2021-03-22 10:45:00
34,BTCUSD_i,57170.0,57174.0,57049.0,57198.0,57123.5,57140.333333333336,57148.75,57147.75,8335,2021-03-22 11:00:00
35,BTCUSD_i,57174.0,57281.0,57158.0,57308.0,57233.0,57249.0,57257.0,57230.25,12025,2021-03-22 11:15:00
36,BTCUSD_i,57281.0,57246.0,57171.0,57342.0,57256.5,57253.0,57251.25,57260.0,6785,2021-03-22 11:30:00
37,BTCUSD_i,57247.0,57372.0,57166.0,57401.0,57283.5,57313.0,57327.75,57296.5,8165,2021-03-22 11:45:00
38,BTCUSD_i,57373.0,58036.0,57332.0,58041.0,57686.5,57803.0,57861.25,57695.5,18165,2021-03-22 12:00:00
39,BTCUSD_i,58036.0,58137.0,58028.0,58455.0,58241.5,58206.666666666664,58189.25,58164.0,14565,2021-03-22 12:15:00
