,CHFJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,CHFJPY_i,116.872,116.845,116.817,116.872,116.8445,116.84466666666667,116.84475,116.8515,360,2020-12-18 22:45:00
1,CHFJPY_i,116.841,116.894,116.837,116.903,116.87,116.878,116.882,116.86875,230,2020-12-18 23:00:00
2,CHFJPY_i,116.895,116.978,116.892,116.981,116.9365,116.95033333333333,116.95725,116.9365,158,2020-12-18 23:15:00
3,CHFJPY_i,116.973,116.939,116.931,116.975,116.953,116.94833333333334,116.946,116.95450000000001,150,2020-12-18 23:30:00
4,CHFJPY_i,116.939,116.974,116.935,117.007,116.971,116.972,116.9725,116.96375,624,2020-12-18 23:45:00
5,CHFJPY_i,116.824,116.67,116.655,116.874,116.7645,116.733,116.71725,116.75575,220,2020-12-21 00:00:00
6,CHFJPY_i,116.653,116.709,116.606,116.771,116.6885,116.69533333333334,116.69875,116.68475000000001,103,2020-12-21 00:15:00
7,CHFJPY_i,116.682,116.742,116.636,116.746,116.691,116.70800000000001,116.71650000000001,116.70150000000001,106,2020-12-21 00:30:00
8,CHFJPY_i,116.742,116.74,116.656,116.766,116.71100000000001,116.72066666666667,116.72550000000001,116.72600000000001,93,2020-12-21 00:45:00
9,CHFJPY_i,116.74,116.866,116.703,116.868,116.7855,116.81233333333334,116.82575,116.79425,250,2020-12-21 01:00:00
10,CHFJPY_i,116.865,116.727,116.707,116.865,116.786,116.76633333333332,116.75649999999999,116.791,298,2020-12-21 01:15:00
11,CHFJPY_i,116.73,116.763,116.691,116.77,116.7305,116.74133333333334,116.74675000000002,116.73850000000002,368,2020-12-21 01:30:00
12,CHFJPY_i,116.763,116.795,116.749,116.815,116.782,116.78633333333333,116.7885,116.78049999999999,331,2020-12-21 01:45:00
13,CHFJPY_i,116.795,116.771,116.74,116.805,116.77250000000001,116.772,116.77175000000001,116.77775000000001,443,2020-12-21 02:00:00
14,CHFJPY_i,116.773,116.735,116.715,116.78,116.7475,116.74333333333334,116.74125000000001,116.75075000000001,392,2020-12-21 02:15:00
15,CHFJPY_i,116.735,116.731,116.728,116.79,116.759,116.74966666666667,116.745,116.74600000000001,339,2020-12-21 02:30:00
16,CHFJPY_i,116.731,116.78,116.7,116.788,116.744,116.75600000000001,116.762,116.74975,434,2020-12-21 02:45:00
