,ETHUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,ETHUSD_i,1760.29,1757.49,1755.39,1766.19,1760.79,1759.6899999999998,1759.1399999999999,1759.84,3947,2021-03-22 02:45:00
1,ETHUSD_i,1757.49,1760.29,1756.19,1763.49,1759.8400000000001,1759.99,1760.065,1759.365,3020,2021-03-22 03:00:00
2,ETHUSD_i,1760.29,1756.49,1756.19,1762.39,1759.29,1758.3566666666666,1757.8899999999999,1758.84,3118,2021-03-22 03:15:00
3,ETHUSD_i,1756.49,1759.88,1756.19,1761.18,1758.685,1759.0833333333333,1759.2825,1758.435,3143,2021-03-22 03:30:00
4,ETHUSD_i,1759.83,1763.89,1759.68,1766.49,1763.085,1763.3533333333335,1763.4875000000002,1762.4725,2573,2021-03-22 03:45:00
5,ETHUSD_i,1763.89,1764.49,1756.79,1764.59,1760.69,1761.9566666666667,1762.59,1762.44,3197,2021-03-22 04:00:00
6,ETHUSD_i,1764.49,1769.79,1764.49,1773.99,1769.24,1769.4233333333334,1769.515,1768.19,2599,2021-03-22 04:15:00
7,ETHUSD_i,1769.79,1768.29,1766.29,1771.49,1768.8899999999999,1768.6899999999998,1768.59,1768.965,2396,2021-03-22 04:30:00
8,ETHUSD_i,1768.29,1770.39,1766.59,1770.49,1768.54,1769.1566666666668,1769.4650000000001,1768.94,1789,2021-03-22 04:45:00
9,ETHUSD_i,1770.39,1775.49,1769.28,1775.49,1772.385,1773.42,1773.9375,1772.6625000000001,2189,2021-03-22 05:00:00
10,ETHUSD_i,1775.49,1778.79,1775.49,1781.99,1778.74,1778.756666666667,1778.765,1777.94,2465,2021-03-22 05:15:00
11,ETHUSD_i,1778.79,1783.09,1778.79,1783.39,1781.0900000000001,1781.756666666667,1782.0900000000001,1781.015,2172,2021-03-22 05:30:00
12,ETHUSD_i,1782.89,1782.09,1779.79,1785.39,1782.5900000000001,1782.4233333333334,1782.3400000000001,1782.5400000000002,1651,2021-03-22 05:45:00
13,ETHUSD_i,1782.09,1780.79,1779.19,1784.99,1782.0900000000001,1781.6566666666668,1781.44,1781.765,1919,2021-03-22 06:00:00
14,ETHUSD_i,1780.79,1786.49,1780.79,1786.59,1783.69,1784.6233333333332,1785.09,1783.665,1169,2021-03-22 06:15:00
15,ETHUSD_i,1786.49,1783.79,1783.79,1786.59,1785.19,1784.7233333333334,1784.49,1785.165,537,2021-03-22 06:30:00
16,ETHUSD_i,1783.79,1784.99,1781.79,1784.99,1783.3899999999999,1783.9233333333332,1784.1899999999998,1783.8899999999999,735,2021-03-22 06:45:00
17,ETHUSD_i,1784.99,1783.59,1783.29,1784.99,1784.1399999999999,1783.9566666666667,1783.865,1784.215,335,2021-03-22 07:00:00
18,ETHUSD_i,1783.59,1779.69,1779.29,1783.79,1781.54,1780.9233333333334,1780.6150000000002,1781.5900000000001,971,2021-03-22 07:15:00
19,ETHUSD_i,1779.69,1782.49,1779.59,1782.79,1781.19,1781.6233333333332,1781.84,1781.1399999999999,435,2021-03-22 07:30:00
20,ETHUSD_i,1782.49,1786.38,1782.49,1791.49,1786.99,1786.7866666666669,1786.6850000000002,1785.7125,2381,2021-03-22 07:45:00
21,ETHUSD_i,1786.28,1789.79,1786.28,1793.09,1789.685,1789.72,1789.7375,1788.86,2409,2021-03-22 08:00:00
22,ETHUSD_i,1789.79,1791.63,1788.29,1791.89,1790.0900000000001,1790.6033333333335,1790.8600000000001,1790.4,2717,2021-03-22 08:15:00
23,ETHUSD_i,1791.63,1789.89,1787.79,1791.73,1789.76,1789.8033333333333,1789.825,1790.26,2151,2021-03-22 08:30:00
24,ETHUSD_i,1789.89,1788.29,1788.29,1790.99,1789.6399999999999,1789.1899999999998,1788.965,1789.365,1220,2021-03-22 08:45:00
25,ETHUSD_i,1788.29,1785.83,1782.29,1788.29,1785.29,1785.47,1785.56,1786.175,1985,2021-03-22 09:00:00
26,ETHUSD_i,1785.88,1793.79,1785.79,1793.99,1789.8899999999999,1791.1899999999998,1791.84,1789.8625,1838,2021-03-22 09:15:00
27,ETHUSD_i,1793.79,1789.09,1787.99,1793.79,1790.8899999999999,1790.29,1789.99,1791.165,2575,2021-03-22 09:30:00
28,ETHUSD_i,1789.09,1787.19,1786.79,1792.39,1789.5900000000001,1788.7900000000002,1788.3900000000003,1788.8650000000002,2804,2021-03-22 09:45:00
29,ETHUSD_i,1787.19,1784.59,1782.49,1787.19,1784.8400000000001,1784.756666666667,1784.7150000000001,1785.3650000000002,2217,2021-03-22 10:00:00
30,ETHUSD_i,1784.69,1783.59,1783.39,1788.39,1785.89,1785.1233333333332,1784.74,1785.0149999999999,1915,2021-03-22 10:15:00
31,ETHUSD_i,1783.59,1779.48,1779.29,1784.49,1781.8899999999999,1781.0866666666668,1780.685,1781.7125,2426,2021-03-22 10:30:00
32,ETHUSD_i,1779.53,1778.83,1777.29,1782.99,1780.1399999999999,1779.7033333333331,1779.485,1779.6599999999999,2727,2021-03-22 10:45:00
33,ETHUSD_i,1778.83,1776.43,1772.89,1779.53,1776.21,1776.2833333333335,1776.3200000000002,1776.92,2783,2021-03-22 11:00:00
34,ETHUSD_i,1776.43,1776.99,1774.29,1778.99,1776.6399999999999,1776.7566666666664,1776.8149999999998,1776.675,1896,2021-03-22 11:15:00
35,ETHUSD_i,1776.99,1777.39,1774.79,1778.49,1776.6399999999999,1776.89,1777.015,1776.915,2254,2021-03-22 11:30:00
36,ETHUSD_i,1777.39,1780.99,1776.29,1780.99,1778.6399999999999,1779.4233333333332,1779.8149999999998,1778.915,2947,2021-03-22 11:45:00
37,ETHUSD_i,1780.99,1794.99,1778.79,1796.49,1787.6399999999999,1790.09,1791.3149999999998,1787.8149999999998,4185,2021-03-22 12:00:00
38,ETHUSD_i,1794.99,1797.39,1794.89,1807.09,1800.99,1799.79,1799.19,1798.59,3331,2021-03-22 12:15:00
39,ETHUSD_i,1797.39,1797.29,1797.29,1800.19,1798.74,1798.256666666667,1798.015,1798.0400000000002,2033,2021-03-22 12:30:00
40,ETHUSD_i,1797.29,1795.19,1795.19,1799.99,1797.5900000000001,1796.7900000000002,1796.3900000000003,1796.9150000000002,1978,2021-03-22 12:45:00
41,ETHUSD_i,1795.19,1800.69,1794.99,1804.09,1799.54,1799.9233333333334,1800.1150000000002,1798.7400000000002,2111,2021-03-22 13:00:00
