,EURCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURCHF_i,1.08194,1.08242,1.08194,1.0826500000000001,1.082295,1.0823366666666667,1.0823575,1.0822375,525,2020-12-18 22:45:00
1,EURCHF_i,1.08237,1.08217,1.08209,1.0824,1.082245,1.08222,1.0822075,1.0822574999999999,216,2020-12-18 23:00:00
2,EURCHF_i,1.08217,1.0817,1.08168,1.08224,1.08196,1.0818733333333335,1.08183,1.0819475,112,2020-12-18 23:15:00
3,EURCHF_i,1.08173,1.0820400000000001,1.08173,1.08229,1.08201,1.08202,1.082025,1.0819475,152,2020-12-18 23:30:00
4,EURCHF_i,1.0820400000000001,1.08206,1.0820400000000001,1.0824,1.08222,1.0821666666666667,1.08214,1.082135,117,2020-12-18 23:45:00
5,EURCHF_i,1.08209,1.08217,1.08161,1.08238,1.081995,1.0820533333333333,1.0820825,1.0820625000000001,83,2020-12-21 00:00:00
6,EURCHF_i,1.08218,1.08242,1.08158,1.08256,1.0820699999999999,1.0821866666666666,1.082245,1.082185,52,2020-12-21 00:15:00
7,EURCHF_i,1.08239,1.08243,1.08158,1.08252,1.08205,1.0821766666666666,1.08224,1.08223,89,2020-12-21 00:30:00
8,EURCHF_i,1.08245,1.08171,1.0814,1.0825,1.08195,1.08187,1.08183,1.082015,84,2020-12-21 00:45:00
9,EURCHF_i,1.08158,1.08186,1.08158,1.0821,1.0818400000000001,1.0818466666666666,1.08185,1.08178,202,2020-12-21 01:00:00
10,EURCHF_i,1.08186,1.0818,1.08178,1.08216,1.08197,1.0819133333333335,1.0818850000000002,1.0819,269,2020-12-21 01:15:00
11,EURCHF_i,1.08179,1.08158,1.08155,1.08186,1.081705,1.0816633333333332,1.0816424999999998,1.0816949999999999,122,2020-12-21 01:30:00
12,EURCHF_i,1.08158,1.08158,1.08157,1.08173,1.08165,1.0816266666666667,1.081615,1.081615,70,2020-12-21 01:45:00
13,EURCHF_i,1.08158,1.0812,1.08117,1.08158,1.081375,1.0813166666666667,1.0812875,1.0813825,299,2020-12-21 02:00:00
14,EURCHF_i,1.08123,1.08129,1.0809,1.08133,1.081115,1.0811733333333333,1.0812025,1.0811875,252,2020-12-21 02:15:00
