,GBPJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GBPJPY_i,139.379,139.389,139.307,139.425,139.36599999999999,139.37366666666665,139.3775,139.375,653,2020-12-18 22:45:00
1,GBPJPY_i,139.387,139.359,139.348,139.443,139.39550000000003,139.38333333333335,139.37725000000003,139.38425,472,2020-12-18 23:00:00
2,GBPJPY_i,139.358,139.334,139.297,139.37,139.33350000000002,139.3336666666667,139.33375,139.33975,381,2020-12-18 23:15:00
3,GBPJPY_i,139.334,139.37,139.334,139.424,139.37900000000002,139.376,139.3745,139.3655,229,2020-12-18 23:30:00
4,GBPJPY_i,139.368,139.446,139.368,139.459,139.4135,139.42433333333335,139.42975,139.41025000000002,177,2020-12-18 23:45:00
5,GBPJPY_i,138.794,138.82,138.787,139.011,138.899,138.87266666666667,138.8595,138.853,290,2020-12-21 00:00:00
6,GBPJPY_i,138.827,138.883,138.808,138.993,138.9005,138.89466666666667,138.89175,138.87775,286,2020-12-21 00:15:00
7,GBPJPY_i,138.883,138.886,138.808,138.96,138.88400000000001,138.88466666666667,138.885,138.88425,1263,2020-12-21 00:30:00
8,GBPJPY_i,138.885,138.807,138.619,138.969,138.79399999999998,138.79833333333332,138.8005,138.82,1294,2020-12-21 00:45:00
9,GBPJPY_i,138.807,138.871,138.778,138.919,138.8485,138.856,138.85975,138.84375,979,2020-12-21 01:00:00
10,GBPJPY_i,138.87,138.646,138.646,138.894,138.76999999999998,138.72866666666664,138.70799999999997,138.76399999999998,887,2020-12-21 01:15:00
11,GBPJPY_i,138.646,138.614,138.459,138.67,138.5645,138.58100000000002,138.58925000000002,138.59725,980,2020-12-21 01:30:00
12,GBPJPY_i,138.614,138.645,138.614,138.713,138.6635,138.65733333333333,138.65425,138.6465,561,2020-12-21 01:45:00
13,GBPJPY_i,138.645,138.652,138.604,138.741,138.6725,138.66566666666668,138.66225,138.6605,1023,2020-12-21 02:00:00
14,GBPJPY_i,138.652,138.581,138.532,138.668,138.60000000000002,138.59366666666668,138.59050000000002,138.60825,1316,2020-12-21 02:15:00
15,GBPJPY_i,138.58,138.539,138.539,138.631,138.58499999999998,138.56966666666665,138.56199999999998,138.57225,1084,2020-12-21 02:30:00
16,GBPJPY_i,138.539,138.561,138.467,138.603,138.53500000000003,138.5436666666667,138.54800000000003,138.54250000000002,1281,2020-12-21 02:45:00
17,GBPJPY_i,138.561,138.519,138.486,138.579,138.5325,138.528,138.52575000000002,138.53625,1044,2020-12-21 03:00:00
18,GBPJPY_i,138.519,138.471,138.453,138.52,138.4865,138.48133333333334,138.47875,138.49075,1149,2020-12-21 03:15:00
19,GBPJPY_i,138.471,138.252,138.251,138.49,138.3705,138.331,138.31125,138.36599999999999,1250,2020-12-21 03:30:00
20,GBPJPY_i,138.251,138.143,138.017,138.273,138.14499999999998,138.14433333333332,138.144,138.171,1360,2020-12-21 03:45:00
21,GBPJPY_i,138.137,138.058,138.036,138.165,138.1005,138.08633333333333,138.07925,138.099,749,2020-12-21 04:00:00
22,GBPJPY_i,138.058,138.027,137.996,138.117,138.0565,138.04666666666665,138.04174999999998,138.0495,1072,2020-12-21 04:15:00
23,GBPJPY_i,138.028,138.024,137.888,138.031,137.9595,137.981,137.99175,137.99275,1116,2020-12-21 04:30:00
24,GBPJPY_i,138.024,137.901,137.899,138.134,138.0165,137.978,137.95875,137.98950000000002,746,2020-12-21 04:45:00
25,GBPJPY_i,137.902,137.864,137.842,137.937,137.8895,137.881,137.87675000000002,137.88625000000002,885,2020-12-21 05:00:00
26,GBPJPY_i,137.867,137.906,137.867,137.932,137.8995,137.90166666666667,137.90275,137.893,748,2020-12-21 05:15:00
27,GBPJPY_i,137.905,138.075,137.903,138.081,137.992,138.01966666666667,138.0335,137.99099999999999,1151,2020-12-21 05:30:00
28,GBPJPY_i,138.074,138.016,138.014,138.086,138.05,138.03866666666667,138.033,138.0475,565,2020-12-21 05:45:00
29,GBPJPY_i,138.015,138.082,137.947,138.082,138.0145,138.037,138.04825,138.0315,394,2020-12-21 06:00:00
30,GBPJPY_i,138.082,138.211,138.049,138.225,138.137,138.16166666666666,138.174,138.14175,495,2020-12-21 06:15:00
31,GBPJPY_i,138.211,138.151,138.149,138.211,138.18,138.17033333333333,138.1655,138.1805,476,2020-12-21 06:30:00
32,GBPJPY_i,138.151,138.128,138.125,138.156,138.1405,138.13633333333334,138.13425,138.14,406,2020-12-21 06:45:00
33,GBPJPY_i,138.128,138.138,138.011,138.14,138.07549999999998,138.09633333333332,138.10675,138.10424999999998,527,2020-12-21 07:00:00
34,GBPJPY_i,138.138,138.137,138.09,138.162,138.126,138.12966666666668,138.13150000000002,138.13175,689,2020-12-21 07:15:00
35,GBPJPY_i,138.137,138.129,138.108,138.18,138.144,138.139,138.1365,138.13850000000002,605,2020-12-21 07:30:00
36,GBPJPY_i,138.129,138.269,138.126,138.269,138.1975,138.22133333333332,138.23325,138.19825,416,2020-12-21 07:45:00
37,GBPJPY_i,138.269,138.085,138.083,138.27,138.1765,138.146,138.13075,138.17675,565,2020-12-21 08:00:00
38,GBPJPY_i,138.085,138.079,138.006,138.089,138.0475,138.05800000000002,138.06325,138.06475,511,2020-12-21 08:15:00
39,GBPJPY_i,138.08,138.124,138.05,138.198,138.12400000000002,138.12400000000002,138.12400000000002,138.11300000000003,526,2020-12-21 08:30:00
