,GER40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GER40_i,12486.4,12485.3,12482.9,12487.9,12485.4,12485.366666666667,12485.349999999999,12485.625,368,2019-10-14 19:00:00
1,GER40_i,12485.3,12480.9,12471.8,12487.4,12479.599999999999,12480.033333333333,12480.25,12481.349999999999,624,2019-10-14 19:15:00
2,GER40_i,12480.4,12482.8,12479.9,12486.4,12483.15,12483.033333333333,12482.974999999999,12482.375,393,2019-10-14 19:30:00
3,GER40_i,12482.8,12480.4,12477.8,12484.9,12481.349999999999,12481.033333333333,12480.875,12481.474999999999,501,2019-10-14 19:45:00
4,GER40_i,12479.9,12483.4,12478.3,12484.8,12481.55,12482.166666666666,12482.475,12481.6,366,2019-10-14 20:00:00
5,GER40_i,12482.9,12481.9,12479.8,12486.9,12483.349999999999,12482.866666666667,12482.625,12482.875,302,2019-10-14 20:15:00
6,GER40_i,12481.9,12480.8,12478.4,12482.4,12480.4,12480.533333333333,12480.599999999999,12480.875,322,2019-10-14 20:30:00
7,GER40_i,12480.8,12483.3,12477.8,12483.8,12480.8,12481.633333333331,12482.05,12481.425,290,2019-10-14 20:45:00
8,GER40_i,12482.9,12485.4,12479.9,12485.9,12482.9,12483.733333333332,12484.15,12483.525,361,2019-10-14 21:00:00
9,GER40_i,12485.9,12481.4,12480.8,12486.4,12483.599999999999,12482.866666666667,12482.5,12483.625,312,2019-10-14 21:15:00
10,GER40_i,12481.8,12481.9,12479.3,12482.9,12481.099999999999,12481.366666666667,12481.5,12481.474999999999,297,2019-10-14 21:30:00
11,GER40_i,12482.3,12480.8,12479.8,12482.9,12481.349999999999,12481.166666666666,12481.075,12481.45,247,2019-10-14 21:45:00
12,GER40_i,12480.4,12478.8,12477.8,12481.9,12479.849999999999,12479.5,12479.325,12479.725,295,2019-10-14 22:00:00
13,GER40_i,12478.9,12481.9,12477.8,12483.9,12480.849999999999,12481.199999999999,12481.375,12480.625,243,2019-10-14 22:15:00
14,GER40_i,12554.1,12561.8,12551.2,12573.7,12562.45,12562.233333333332,12562.125,12560.199999999999,1216,2019-10-15 09:30:00
15,GER40_i,12561.8,12550.7,12544.7,12563.1,12553.900000000001,12552.833333333334,12552.3,12555.075,785,2019-10-15 09:45:00
16,GER40_i,12552.1,12559.2,12538.7,12569.6,12554.150000000001,12555.833333333334,12556.675,12554.9,1842,2019-10-15 10:00:00
17,GER40_i,12559.7,12580.8,12559.1,12586.7,12572.900000000001,12575.533333333335,12576.850000000002,12571.575,1667,2019-10-15 10:15:00
18,GER40_i,12581.8,12553.9,12548.9,12584.8,12566.849999999999,12562.533333333333,12560.375,12567.349999999999,1524,2019-10-15 10:30:00
19,GER40_i,12554.3,12534.8,12529.3,12564.3,12546.8,12542.799999999997,12540.8,12545.675,1432,2019-10-15 10:45:00
20,GER40_i,12534.8,12531.5,12519.8,12535.3,12527.55,12528.866666666667,12529.525,12530.349999999999,1224,2019-10-15 11:00:00
21,GER40_i,12531.0,12524.5,12515.5,12536.0,12525.75,12525.333333333334,12525.125,12526.75,1162,2019-10-15 11:15:00
22,GER40_i,12523.5,12528.0,12514.0,12546.6,12530.3,12529.533333333333,12529.15,12528.025,1608,2019-10-15 11:30:00
23,GER40_i,12528.6,12517.0,12507.1,12532.1,12519.6,12518.733333333332,12518.3,12521.199999999999,1145,2019-10-15 11:45:00
