,GER40_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GER40_m_i,11559.6,11574.6,11554.6,11588.6,11571.6,11572.6,11573.1,11569.35,531,2019-03-21 14:00:00
1,GER40_m_i,11575.0,11581.1,11555.6,11588.6,11572.1,11575.1,11576.6,11575.075,600,2019-03-21 15:00:00
2,GER40_m_i,11580.7,11506.2,11500.7,11586.6,11543.650000000001,11531.166666666666,11524.925,11543.55,974,2019-03-21 16:00:00
3,GER40_m_i,11505.4,11486.2,11469.7,11515.7,11492.7,11490.533333333335,11489.45,11494.250000000002,729,2019-03-21 17:00:00
4,GER40_m_i,11486.7,11530.7,11482.7,11538.6,11510.650000000001,11517.333333333334,11520.675,11509.675,679,2019-03-21 18:00:00
5,GER40_m_i,11530.2,11541.7,11511.1,11541.7,11526.400000000001,11531.5,11534.05,11531.175,498,2019-03-21 19:00:00
6,GER40_m_i,11541.6,11578.2,11540.2,11580.7,11560.45,11566.366666666669,11569.325,11560.175000000001,445,2019-03-21 20:00:00
7,GER40_m_i,11577.7,11562.0,11540.9,11582.1,11561.5,11561.666666666666,11561.75,11565.675,668,2019-03-21 21:00:00
8,GER40_m_i,11561.4,11578.5,11560.9,11580.0,11570.45,11573.133333333333,11574.475,11570.2,212,2019-03-21 22:00:00
9,GER40_m_i,11578.9,11589.4,11577.9,11601.0,11589.45,11589.433333333334,11589.425000000001,11586.800000000001,358,2019-03-21 23:00:00
10,GER40_m_i,11589.9,11595.5,11580.9,11598.5,11589.7,11591.633333333333,11592.6,11591.2,297,2019-03-22 00:00:00
11,GER40_m_i,11595.9,11600.0,11590.9,11600.5,11595.7,11597.133333333333,11597.85,11596.825,152,2019-03-22 01:00:00
12,GER40_m_i,11579.3,11595.8,11573.7,11602.9,11588.3,11590.799999999997,11592.05,11587.925,420,2019-03-22 12:00:00
13,GER40_m_i,11597.3,11468.0,11453.0,11625.9,11539.45,11515.633333333333,11503.725,11536.05,2166,2019-03-22 13:00:00
14,GER40_m_i,11468.5,11502.9,11461.5,11511.5,11486.5,11491.966666666667,11494.7,11486.1,657,2019-03-22 14:00:00
15,GER40_m_i,11502.5,11506.4,11474.5,11518.5,11496.5,11499.800000000001,11501.45,11500.475,842,2019-03-22 15:00:00
16,GER40_m_i,11506.5,11469.9,11460.5,11506.5,11483.5,11478.966666666667,11476.7,11485.85,555,2019-03-22 16:00:00
17,GER40_m_i,11470.5,11456.5,11440.5,11477.0,11458.75,11458.0,11457.625,11461.125,591,2019-03-22 17:00:00
18,GER40_m_i,11456.4,11437.5,11435.5,11487.9,11461.7,11453.633333333333,11449.6,11454.325,860,2019-03-22 18:00:00
19,GER40_m_i,11437.4,11416.5,11412.9,11473.9,11443.4,11434.433333333334,11429.95,11435.175000000001,1012,2019-03-22 19:00:00
20,GER40_m_i,11415.9,11365.4,11364.4,11431.9,11398.15,11387.233333333332,11381.775,11394.4,846,2019-03-22 20:00:00
21,GER40_m_i,11364.5,11353.7,11328.9,11392.4,11360.65,11358.333333333334,11357.175,11359.875,1163,2019-03-22 21:00:00
22,GER40_m_i,11353.1,11358.2,11349.6,11374.2,11361.900000000001,11360.666666666666,11360.05,11358.775,442,2019-03-22 22:00:00
23,GER40_m_i,11357.6,11382.1,11356.6,11389.7,11373.150000000001,11376.133333333333,11377.625,11371.5,418,2019-03-22 23:00:00
24,GER40_m_i,11293.9,11307.3,11292.4,11313.5,11302.95,11304.4,11305.125,11301.775,289,2019-03-25 12:00:00
25,GER40_m_i,11307.2,11332.0,11307.2,11361.0,11334.1,11333.4,11333.05,11326.849999999999,829,2019-03-25 13:00:00
26,GER40_m_i,11332.4,11381.5,11329.5,11395.5,11362.5,11368.833333333334,11372.0,11359.725,830,2019-03-25 14:00:00
27,GER40_m_i,11380.9,11351.1,11349.9,11393.4,11371.65,11364.800000000001,11361.375,11368.825,573,2019-03-25 15:00:00
28,GER40_m_i,11350.5,11333.5,11330.0,11354.5,11342.25,11339.333333333334,11337.875,11342.125,321,2019-03-25 16:00:00
29,GER40_m_i,11333.5,11370.5,11331.0,11370.5,11350.75,11357.333333333334,11360.625,11351.375,421,2019-03-25 17:00:00
30,GER40_m_i,11370.5,11324.4,11319.5,11373.9,11346.7,11339.266666666668,11335.550000000001,11347.075,628,2019-03-25 18:00:00
31,GER40_m_i,11324.5,11350.9,11314.5,11355.4,11334.95,11340.266666666668,11342.925000000001,11336.325,555,2019-03-25 19:00:00
32,GER40_m_i,11350.9,11332.4,11323.4,11361.4,11342.4,11339.066666666666,11337.4,11342.025,576,2019-03-25 20:00:00
