,HSI50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,HSI50_i,28473.5,28493.5,28465.5,28501.5,28483.5,28486.833333333332,28488.5,28483.5,2705,2019-05-16 18:15:00
1,HSI50_i,28493.5,28513.5,28485.5,28523.5,28504.5,28507.5,28509.0,28504.0,1965,2019-05-16 18:30:00
2,HSI50_i,28511.5,28485.5,28479.5,28514.5,28497.0,28493.166666666668,28491.25,28497.75,1615,2019-05-16 18:45:00
3,HSI50_i,28485.5,28482.5,28464.5,28489.5,28477.0,28478.833333333332,28479.75,28480.5,1825,2019-05-16 19:00:00
4,HSI50_i,28482.5,28477.5,28475.5,28495.5,28485.5,28482.833333333332,28481.5,28482.75,1335,2019-05-16 19:15:00
5,HSI50_i,28265.5,28259.0,28216.0,28302.0,28259.0,28259.0,28259.0,28260.625,6230,2019-05-17 04:45:00
6,HSI50_i,28259.0,28173.0,28142.0,28270.0,28206.0,28195.0,28189.5,28211.0,5265,2019-05-17 05:00:00
7,HSI50_i,28173.0,28187.0,28165.0,28227.0,28196.0,28193.0,28191.5,28188.0,4175,2019-05-17 05:15:00
8,HSI50_i,28188.0,28130.0,28079.0,28192.0,28135.5,28133.666666666668,28132.75,28147.25,5585,2019-05-17 05:30:00
9,HSI50_i,28131.0,28039.5,28033.5,28152.0,28092.75,28075.0,28066.125,28089.0,6405,2019-05-17 05:45:00
10,HSI50_i,28039.5,28027.0,27993.5,28060.0,28026.75,28026.833333333332,28026.875,28030.0,6085,2019-05-17 06:00:00
11,HSI50_i,28027.0,27981.5,27927.0,28027.0,27977.0,27978.5,27979.25,27990.625,7240,2019-05-17 06:15:00
12,HSI50_i,27981.0,28023.0,27953.0,28044.0,27998.5,28006.666666666668,28010.75,28000.25,4440,2019-05-17 06:30:00
13,HSI50_i,28021.5,28019.0,28016.0,28053.0,28034.5,28029.333333333332,28026.75,28027.375,2760,2019-05-17 06:45:00
14,HSI50_i,28018.0,28040.0,28003.0,28057.0,28030.0,28033.333333333332,28035.0,28029.5,2300,2019-05-17 07:00:00
15,HSI50_i,28040.0,28021.0,28020.0,28048.5,28034.25,28029.833333333332,28027.625,28032.375,1560,2019-05-17 07:15:00
16,HSI50_i,28023.0,28022.0,28017.0,28029.0,28023.0,28022.666666666668,28022.5,28022.75,850,2019-05-17 07:30:00
17,HSI50_i,28025.0,28030.0,28024.0,28036.0,28030.0,28030.0,28030.0,28028.75,635,2019-05-17 07:45:00
18,HSI50_i,28029.0,27997.0,27975.5,28044.0,28009.75,28005.5,28003.375,28011.375,4900,2019-05-17 08:00:00
19,HSI50_i,27995.5,27971.0,27938.0,28006.0,27972.0,27971.666666666668,27971.5,27977.625,3510,2019-05-17 08:15:00
20,HSI50_i,27971.0,27925.0,27921.5,27973.0,27947.25,27939.833333333332,27936.125,27947.625,3235,2019-05-17 08:30:00
21,HSI50_i,27925.0,27909.0,27872.0,27947.0,27909.5,27909.333333333332,27909.25,27913.25,4310,2019-05-17 08:45:00
22,HSI50_i,27909.0,27939.0,27901.5,27963.0,27932.25,27934.5,27935.625,27928.125,3555,2019-05-17 09:00:00
23,HSI50_i,27939.0,27889.0,27877.5,27946.0,27911.75,27904.166666666668,27900.375,27912.875,3380,2019-05-17 09:15:00
