,NG_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NG_i,2.836,2.834,2.831,2.8369999999999997,2.8339999999999996,2.8339999999999996,2.8339999999999996,2.8345,56,2020-11-16 21:45:00
1,NG_i,2.834,2.836,2.83,2.8369999999999997,2.8335,2.8343333333333334,2.83475,2.83425,40,2020-11-16 22:00:00
2,NG_i,2.8369999999999997,2.828,2.828,2.8369999999999997,2.8324999999999996,2.8309999999999995,2.8302499999999995,2.8324999999999996,39,2020-11-16 22:15:00
3,NG_i,2.8289999999999997,2.823,2.823,2.831,2.827,2.8256666666666668,2.825,2.8265000000000002,34,2020-11-16 22:30:00
4,NG_i,2.823,2.827,2.823,2.828,2.8255,2.826,2.82625,2.82525,26,2020-11-16 22:45:00
5,NG_i,2.825,2.827,2.824,2.83,2.827,2.827,2.827,2.8265000000000002,37,2020-11-16 23:00:00
6,NG_i,2.828,2.827,2.825,2.828,2.8265000000000002,2.8266666666666667,2.82675,2.827,28,2020-11-16 23:15:00
7,NG_i,2.827,2.824,2.824,2.827,2.8255,2.8249999999999997,2.82475,2.8255,27,2020-11-16 23:30:00
8,NG_i,2.823,2.8369999999999997,2.823,2.841,2.832,2.8336666666666663,2.8345,2.831,82,2020-11-17 01:00:00
9,NG_i,2.838,2.843,2.836,2.844,2.84,2.8409999999999997,2.8415,2.84025,28,2020-11-17 01:15:00
10,NG_i,2.843,2.839,2.839,2.843,2.841,2.8403333333333336,2.8400000000000003,2.841,16,2020-11-17 01:30:00
11,NG_i,2.839,2.838,2.835,2.839,2.8369999999999997,2.8373333333333335,2.8375000000000004,2.83775,15,2020-11-17 01:45:00
12,NG_i,2.838,2.847,2.838,2.847,2.8425000000000002,2.844,2.84475,2.8425000000000002,25,2020-11-17 02:00:00
13,NG_i,2.847,2.847,2.8449999999999998,2.85,2.8475,2.8473333333333333,2.84725,2.84725,35,2020-11-17 02:15:00
14,NG_i,2.847,2.848,2.844,2.848,2.846,2.8466666666666662,2.8469999999999995,2.8467499999999997,27,2020-11-17 02:30:00
15,NG_i,2.848,2.8449999999999998,2.841,2.848,2.8445,2.8446666666666665,2.8447499999999994,2.8454999999999995,34,2020-11-17 02:45:00
16,NG_i,2.846,2.844,2.843,2.846,2.8445,2.844333333333333,2.8442499999999997,2.84475,14,2020-11-17 03:00:00
17,NG_i,2.844,2.843,2.843,2.844,2.8434999999999997,2.8433333333333333,2.84325,2.8434999999999997,3,2020-11-17 03:15:00
18,NG_i,2.843,2.842,2.84,2.844,2.8419999999999996,2.842,2.842,2.84225,17,2020-11-17 03:30:00
19,NG_i,2.841,2.8369999999999997,2.836,2.842,2.839,2.8383333333333334,2.838,2.8390000000000004,19,2020-11-17 03:45:00
20,NG_i,2.8369999999999997,2.841,2.834,2.841,2.8375000000000004,2.838666666666667,2.8392500000000007,2.8382500000000004,25,2020-11-17 04:00:00
21,NG_i,2.841,2.841,2.839,2.843,2.841,2.8409999999999997,2.841,2.841,17,2020-11-17 04:15:00
22,NG_i,2.841,2.838,2.836,2.841,2.8385,2.8383333333333334,2.8382500000000004,2.8390000000000004,22,2020-11-17 04:30:00
23,NG_i,2.8369999999999997,2.8369999999999997,2.836,2.838,2.8369999999999997,2.8369999999999997,2.8369999999999997,2.8369999999999997,9,2020-11-17 04:45:00
24,NG_i,2.8369999999999997,2.838,2.8369999999999997,2.838,2.8375,2.837666666666667,2.8377499999999998,2.8375,8,2020-11-17 05:00:00
25,NG_i,2.838,2.8369999999999997,2.836,2.838,2.8369999999999997,2.8369999999999997,2.8369999999999997,2.83725,8,2020-11-17 05:15:00
26,NG_i,2.8369999999999997,2.838,2.8369999999999997,2.839,2.838,2.8379999999999996,2.838,2.8377499999999998,13,2020-11-17 05:30:00
27,NG_i,2.838,2.839,2.838,2.839,2.8385,2.8386666666666667,2.83875,2.8385,11,2020-11-17 05:45:00
28,NG_i,2.839,2.842,2.839,2.844,2.8415,2.841666666666667,2.84175,2.841,25,2020-11-17 06:00:00
29,NG_i,2.842,2.84,2.84,2.844,2.8419999999999996,2.841333333333333,2.8409999999999997,2.8415,23,2020-11-17 06:15:00
30,NG_i,2.841,2.84,2.839,2.841,2.84,2.84,2.84,2.84025,20,2020-11-17 06:30:00
31,NG_i,2.84,2.839,2.834,2.84,2.8369999999999997,2.837666666666667,2.838,2.83825,25,2020-11-17 06:45:00
32,NG_i,2.839,2.84,2.8369999999999997,2.841,2.839,2.8393333333333337,2.8395,2.8392500000000003,20,2020-11-17 07:00:00
33,NG_i,2.84,2.839,2.838,2.84,2.839,2.839,2.839,2.83925,13,2020-11-17 07:15:00
34,NG_i,2.84,2.843,2.839,2.843,2.841,2.841666666666667,2.842,2.84125,18,2020-11-17 07:30:00
35,NG_i,2.842,2.844,2.841,2.844,2.8425000000000002,2.843,2.84325,2.84275,20,2020-11-17 07:45:00
36,NG_i,2.8449999999999998,2.8529999999999998,2.843,2.854,2.8485,2.85,2.85075,2.84875,35,2020-11-17 08:00:00
37,NG_i,2.8529999999999998,2.852,2.851,2.858,2.8545,2.853666666666667,2.85325,2.8535,20,2020-11-17 08:15:00
38,NG_i,2.852,2.852,2.849,2.854,2.8515,2.8516666666666666,2.85175,2.85175,32,2020-11-17 08:30:00
39,NG_i,2.851,2.852,2.848,2.8529999999999998,2.8505,2.8509999999999995,2.85125,2.851,30,2020-11-17 08:45:00
40,NG_i,2.8529999999999998,2.864,2.851,2.865,2.858,2.86,2.8609999999999998,2.85825,50,2020-11-17 09:00:00
41,NG_i,2.865,2.862,2.8609999999999998,2.867,2.864,2.8633333333333333,2.863,2.86375,36,2020-11-17 09:15:00
42,NG_i,2.859,2.8609999999999998,2.859,2.865,2.862,2.861666666666667,2.8615000000000004,2.861,32,2020-11-17 09:30:00
43,NG_i,2.862,2.864,2.858,2.867,2.8625,2.8629999999999995,2.86325,2.8627499999999997,38,2020-11-17 09:45:00
44,NG_i,2.864,2.87,2.863,2.87,2.8665000000000003,2.867666666666667,2.8682500000000006,2.8667500000000006,40,2020-11-17 10:00:00
45,NG_i,2.87,2.868,2.867,2.871,2.8689999999999998,2.8686666666666665,2.8685,2.8689999999999998,42,2020-11-17 10:15:00
46,NG_i,2.868,2.867,2.867,2.87,2.8685,2.868,2.86775,2.868,20,2020-11-17 10:30:00
47,NG_i,2.867,2.867,2.867,2.8689999999999998,2.868,2.8676666666666666,2.8674999999999997,2.8674999999999997,21,2020-11-17 10:45:00
48,NG_i,2.867,2.868,2.867,2.871,2.8689999999999998,2.8686666666666665,2.8685,2.8682499999999997,27,2020-11-17 11:00:00
49,NG_i,2.868,2.87,2.867,2.87,2.8685,2.8689999999999998,2.86925,2.86875,23,2020-11-17 11:15:00
50,NG_i,2.87,2.871,2.8689999999999998,2.871,2.87,2.8703333333333334,2.8705000000000003,2.8702500000000004,17,2020-11-17 11:30:00
