,NQ100_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NQ100_i,11707.9,11703.4,11693.9,11708.6,11701.25,11701.966666666667,11702.325,11703.45,857,2020-10-20 05:30:00
1,NQ100_i,11703.1,11700.9,11688.9,11704.6,11696.75,11698.133333333333,11698.825,11699.375,917,2020-10-20 05:45:00
2,NQ100_i,11700.9,11713.4,11696.9,11718.6,11707.75,11709.633333333333,11710.575,11707.45,920,2020-10-20 06:00:00
3,NQ100_i,11713.9,11703.9,11696.9,11716.6,11706.75,11705.800000000001,11705.325,11707.825,881,2020-10-20 06:15:00
4,NQ100_i,11704.4,11735.6,11703.4,11745.4,11724.4,11728.133333333333,11730.0,11722.2,1319,2020-10-20 06:30:00
5,NQ100_i,11735.5,11729.1,11727.9,11741.4,11734.65,11732.800000000001,11731.875,11733.475,712,2020-10-20 06:45:00
6,NQ100_i,11728.9,11713.1,11706.7,11729.9,11718.3,11716.566666666666,11715.699999999999,11719.65,932,2020-10-20 07:00:00
7,NQ100_i,11713.4,11727.7,11710.6,11729.1,11719.85,11722.466666666667,11723.775000000001,11720.2,905,2020-10-20 07:15:00
8,NQ100_i,11727.9,11718.6,11707.4,11728.2,11717.8,11718.066666666666,11718.199999999999,11720.525,812,2020-10-20 07:30:00
9,NQ100_i,11718.6,11714.9,11710.4,11722.4,11716.4,11715.9,11715.65,11716.574999999999,477,2020-10-20 07:45:00
10,NQ100_i,11715.1,11726.4,11711.6,11728.9,11720.25,11722.300000000001,11723.325,11720.5,638,2020-10-20 08:00:00
11,NQ100_i,11726.1,11704.9,11695.9,11727.9,11711.9,11709.566666666666,11708.4,11713.699999999999,1219,2020-10-20 08:15:00
12,NQ100_i,11704.9,11719.4,11698.9,11731.9,11715.4,11716.733333333332,11717.4,11713.775,1085,2020-10-20 08:30:00
13,NQ100_i,11719.6,11734.4,11711.1,11742.6,11726.85,11729.366666666667,11730.625,11726.925,1256,2020-10-20 08:45:00
14,NQ100_i,11733.6,11720.5,11710.1,11734.4,11722.25,11721.666666666666,11721.375,11724.65,1144,2020-10-20 09:00:00
15,NQ100_i,11720.6,11726.9,11713.9,11732.1,11723.0,11724.300000000001,11724.95,11723.375,927,2020-10-20 09:15:00
16,NQ100_i,11726.9,11723.9,11715.4,11737.1,11726.25,11725.466666666667,11725.075,11725.825,1134,2020-10-20 09:30:00
17,NQ100_i,11723.9,11729.2,11713.9,11733.1,11723.5,11725.4,11726.349999999999,11725.025,1123,2020-10-20 09:45:00
18,NQ100_i,11728.9,11738.1,11724.4,11751.4,11737.9,11737.966666666667,11738.0,11735.7,1468,2020-10-20 10:00:00
19,NQ100_i,11737.9,11730.4,11724.6,11741.1,11732.85,11732.033333333333,11731.625,11733.5,1578,2020-10-20 10:15:00
20,NQ100_i,11732.1,11747.4,11727.9,11750.1,11739.0,11741.800000000001,11743.2,11739.375,1103,2020-10-20 10:30:00
21,NQ100_i,11747.4,11744.4,11741.9,11755.9,11748.9,11747.4,11746.65,11747.4,1024,2020-10-20 10:45:00
22,NQ100_i,11744.6,11738.1,11733.9,11756.4,11745.15,11742.800000000001,11741.625,11743.25,1161,2020-10-20 11:00:00
