,NQ100_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NQ100_m_i,11134.5,11131.7,11122.5,11135.2,11128.85,11129.800000000001,11130.275000000001,11130.975,836,2020-09-09 09:30:00
1,NQ100_m_i,11132.0,11140.5,11129.0,11142.2,11135.6,11137.233333333332,11138.05,11135.925,650,2020-09-09 09:45:00
2,NQ100_m_i,11140.5,11139.2,11134.0,11142.7,11138.35,11138.633333333333,11138.775000000001,11139.1,657,2020-09-09 10:00:00
3,NQ100_m_i,11139.2,11156.5,11138.0,11158.7,11148.35,11151.066666666666,11152.425,11148.099999999999,827,2020-09-09 10:15:00
4,NQ100_m_i,11156.2,11152.7,11146.5,11157.7,11152.1,11152.300000000001,11152.400000000001,11153.275000000001,1032,2020-09-09 10:30:00
5,NQ100_m_i,11153.0,11160.5,11146.5,11162.2,11154.35,11156.4,11157.425,11155.55,681,2020-09-09 10:45:00
6,NQ100_m_i,11160.7,11194.0,11157.5,11200.0,11178.75,11183.833333333334,11186.375,11178.05,1288,2020-09-09 11:00:00
7,NQ100_m_i,11194.0,11177.2,11175.2,11199.2,11187.2,11183.866666666669,11182.2,11186.400000000001,958,2020-09-09 11:15:00
8,NQ100_m_i,11177.2,11162.5,11162.5,11179.5,11171.0,11168.166666666666,11166.75,11170.425,696,2020-09-09 11:30:00
9,NQ100_m_i,11163.0,11166.0,11158.7,11175.2,11166.95,11166.633333333333,11166.475,11165.725,1155,2020-09-09 11:45:00
10,NQ100_m_i,11166.0,11139.2,11126.5,11179.5,11153.0,11148.4,11146.099999999999,11152.8,1787,2020-09-09 12:00:00
11,NQ100_m_i,11139.2,11097.3,11075.0,11141.2,11108.1,11104.5,11102.7,11113.175,3020,2020-09-09 12:15:00
12,NQ100_m_i,11097.0,11067.3,11059.5,11113.2,11086.35,11080.0,11076.825,11084.25,2238,2020-09-09 12:30:00
13,NQ100_m_i,11067.5,11109.0,11065.0,11110.2,11087.6,11094.733333333332,11098.3,11087.925,1886,2020-09-09 12:45:00
14,NQ100_m_i,11111.0,11140.0,11109.2,11144.0,11126.6,11131.066666666666,11133.3,11126.05,1873,2020-09-09 13:00:00
15,NQ100_m_i,11140.5,11140.0,11122.7,11147.2,11134.95,11136.633333333333,11137.475,11137.6,2092,2020-09-09 13:15:00
16,NQ100_m_i,11140.0,11226.2,11135.5,11227.5,11181.5,11196.4,11203.849999999999,11182.3,2726,2020-09-09 13:30:00
17,NQ100_m_i,11226.2,11200.7,11189.7,11237.5,11213.6,11209.300000000001,11207.150000000001,11213.525000000001,2280,2020-09-09 13:45:00
18,NQ100_m_i,11200.5,11238.1,11197.5,11258.1,11227.8,11231.233333333332,11232.949999999999,11223.55,2417,2020-09-09 14:00:00
19,NQ100_m_i,11238.1,11241.5,11227.5,11266.2,11246.85,11245.066666666666,11244.175,11243.324999999999,2008,2020-09-09 14:15:00
20,NQ100_m_i,11241.5,11220.0,11212.2,11251.0,11231.6,11227.733333333332,11225.8,11231.175,1654,2020-09-09 14:30:00
21,NQ100_m_i,11220.0,11245.0,11215.0,11258.2,11236.6,11239.4,11240.8,11234.55,1809,2020-09-09 14:45:00
22,NQ100_m_i,11244.2,11244.8,11212.2,11248.0,11230.1,11235.0,11237.45,11237.3,2121,2020-09-09 15:00:00
23,NQ100_m_i,11245.0,11258.1,11231.8,11263.0,11247.4,11250.966666666667,11252.75,11249.475,1516,2020-09-09 15:15:00
24,NQ100_m_i,11257.8,11268.5,11234.0,11271.2,11252.6,11257.9,11260.55,11257.875,1769,2020-09-09 15:30:00
25,NQ100_m_i,11269.0,11286.5,11262.6,11289.2,11275.900000000001,11279.433333333334,11281.2,11276.825,1368,2020-09-09 15:45:00
26,NQ100_m_i,11286.7,11268.8,11255.0,11295.5,11275.25,11273.1,11272.025000000001,11276.5,1969,2020-09-09 16:00:00
27,NQ100_m_i,11268.5,11257.1,11250.5,11273.8,11262.15,11260.466666666667,11259.625,11262.475,1322,2020-09-09 16:15:00
28,NQ100_m_i,11257.1,11270.2,11242.0,11272.6,11257.3,11261.6,11263.75,11260.475,1394,2020-09-09 16:30:00
29,NQ100_m_i,11270.7,11263.2,11243.6,11273.5,11258.55,11260.1,11260.875,11262.75,1572,2020-09-09 16:45:00
30,NQ100_m_i,11260.2,11199.8,11189.1,11261.7,11225.400000000001,11216.866666666669,11212.600000000002,11227.7,2804,2020-09-09 17:00:00
31,NQ100_m_i,11200.0,11236.3,11193.7,11238.3,11216.0,11222.766666666668,11226.150000000001,11217.075,2052,2020-09-09 17:15:00
32,NQ100_m_i,11236.3,11215.3,11193.0,11237.1,11215.05,11215.133333333331,11215.175,11220.425,2123,2020-09-09 17:30:00
33,NQ100_m_i,11215.3,11238.7,11201.8,11246.5,11224.15,11229.0,11231.425,11225.575,2074,2020-09-09 17:45:00
34,NQ100_m_i,11238.2,11248.1,11226.2,11260.3,11243.25,11244.866666666667,11245.675,11243.2,1948,2020-09-09 18:00:00
35,NQ100_m_i,11248.1,11212.7,11207.5,11252.5,11230.0,11224.233333333332,11221.349999999999,11230.199999999999,2294,2020-09-09 18:15:00
36,NQ100_m_i,11210.5,11218.1,11202.7,11223.2,11212.95,11214.666666666666,11215.525,11213.625,1775,2020-09-09 18:30:00
37,NQ100_m_i,11218.1,11200.0,11194.5,11234.2,11214.35,11209.566666666666,11207.175,11211.699999999999,1923,2020-09-09 18:45:00
38,NQ100_m_i,11200.1,11274.8,11197.5,11278.5,11238.0,11250.266666666668,11256.400000000001,11237.725,1889,2020-09-09 19:00:00
39,NQ100_m_i,11275.0,11292.5,11263.2,11295.5,11279.35,11283.733333333332,11285.925,11281.55,1458,2020-09-09 19:15:00
40,NQ100_m_i,11292.7,11260.4,11209.1,11306.2,11257.650000000001,11258.566666666668,11259.025000000001,11267.100000000002,6043,2020-09-09 19:30:00
41,NQ100_m_i,11261.2,11261.1,11189.9,11277.9,11233.9,11242.966666666667,11247.5,11247.525000000001,5029,2020-09-09 19:45:00
42,NQ100_m_i,11261.3,11260.5,11236.3,11301.0,11268.65,11265.933333333334,11264.575,11264.775000000001,4433,2020-09-09 20:00:00
43,NQ100_m_i,11261.0,11348.4,11237.0,11359.4,11298.2,11314.933333333334,11323.300000000001,11301.45,5094,2020-09-09 20:15:00
44,NQ100_m_i,11347.2,11351.2,11331.4,11378.4,11354.9,11353.666666666666,11353.05,11352.05,3485,2020-09-09 20:30:00
45,NQ100_m_i,11352.7,11370.7,11351.9,11383.9,11367.9,11368.833333333334,11369.3,11364.8,3398,2020-09-09 20:45:00
46,NQ100_m_i,11370.7,11347.2,11326.4,11409.4,11367.9,11361.0,11357.55,11363.425,3141,2020-09-09 21:00:00
47,NQ100_m_i,11347.4,11369.2,11313.7,11372.4,11343.05,11351.766666666668,11356.125,11350.675000000001,2622,2020-09-09 21:15:00
48,NQ100_m_i,11369.4,11366.0,11346.9,11378.9,11362.9,11363.933333333334,11364.45,11365.300000000001,2628,2020-09-09 21:30:00
49,NQ100_m_i,11366.4,11383.9,11362.7,11393.9,11378.3,11380.166666666666,11381.1,11376.725,1934,2020-09-09 21:45:00
50,NQ100_m_i,11384.2,11403.7,11375.5,11413.7,11394.6,11397.633333333333,11399.150000000001,11394.275000000001,2034,2020-09-09 22:00:00
51,NQ100_m_i,11403.9,11405.8,11399.9,11419.9,11409.9,11408.533333333333,11407.849999999999,11407.375,1894,2020-09-09 22:15:00
52,NQ100_m_i,11405.9,11440.9,11404.2,11443.2,11423.7,11429.433333333334,11432.300000000001,11423.550000000001,1721,2020-09-09 22:30:00
53,NQ100_m_i,11441.2,11446.8,11428.9,11448.8,11438.849999999999,11441.5,11442.825,11441.425,1265,2020-09-09 22:45:00
54,NQ100_m_i,11446.9,11464.7,11446.9,11479.7,11463.3,11463.766666666668,11464.0,11459.550000000001,1642,2020-09-09 23:00:00
55,NQ100_m_i,11464.9,11438.7,11418.9,11464.9,11441.9,11440.833333333334,11440.3,11446.85,2096,2020-09-09 23:15:00
56,NQ100_m_i,11438.2,11390.2,11389.2,11443.4,11416.3,11407.6,11403.25,11415.25,2263,2020-09-09 23:30:00
57,NQ100_m_i,11389.7,11387.2,11379.9,11423.8,11401.849999999999,11396.966666666665,11394.524999999998,11395.149999999998,2741,2020-09-09 23:45:00
58,NQ100_m_i,11387.0,11390.9,11369.7,11408.9,11389.3,11389.833333333334,11390.1,11389.125,2641,2020-09-10 00:00:00
59,NQ100_m_i,11391.0,11398.0,11383.0,11420.9,11401.95,11400.633333333333,11399.975,11398.225,2331,2020-09-10 00:15:00
60,NQ100_m_i,11398.4,11434.3,11398.4,11438.9,11418.65,11423.866666666667,11426.474999999999,11417.5,1727,2020-09-10 00:30:00
61,NQ100_m_i,11434.7,11424.9,11408.4,11442.7,11425.55,11425.333333333334,11425.225,11427.675,2054,2020-09-10 00:45:00
62,NQ100_m_i,11424.7,11432.9,11424.7,11456.7,11440.7,11438.1,11436.800000000001,11434.75,1907,2020-09-10 01:00:00
63,NQ100_m_i,11433.2,11463.5,11432.9,11468.4,11450.65,11454.933333333334,11457.075,11449.5,1970,2020-09-10 01:15:00
64,NQ100_m_i,11463.8,11421.4,11406.7,11476.4,11441.55,11434.833333333334,11431.475,11442.075,3052,2020-09-10 01:30:00
65,NQ100_m_i,11418.9,11386.9,11384.4,11456.4,11420.4,11409.233333333332,11403.65,11411.65,3642,2020-09-10 01:45:00
66,NQ100_m_i,11418.8,11433.0,11410.0,11435.4,11422.7,11426.133333333333,11427.85,11424.3,934,2020-09-10 04:30:00
67,NQ100_m_i,11433.0,11436.4,11427.0,11441.8,11434.4,11435.066666666666,11435.4,11434.55,744,2020-09-10 04:45:00
68,NQ100_m_i,11436.5,11444.8,11434.8,11448.3,11441.55,11442.633333333331,11443.175,11441.099999999999,803,2020-09-10 05:00:00
69,NQ100_m_i,11444.5,11433.5,11430.8,11447.3,11439.05,11437.199999999999,11436.275,11439.025,757,2020-09-10 05:15:00
70,NQ100_m_i,11435.0,11428.3,11427.5,11445.0,11436.25,11433.6,11432.275000000001,11433.95,757,2020-09-10 05:30:00
71,NQ100_m_i,11428.3,11444.8,11427.0,11445.6,11436.3,11439.133333333331,11440.55,11436.425,777,2020-09-10 05:45:00
72,NQ100_m_i,11444.8,11429.3,11418.4,11445.0,11431.7,11430.9,11430.5,11434.375,1255,2020-09-10 06:00:00
73,NQ100_m_i,11429.4,11437.8,11422.5,11441.8,11432.15,11434.033333333333,11434.974999999999,11432.875,826,2020-09-10 06:15:00
74,NQ100_m_i,11437.5,11385.0,11376.1,11437.8,11406.95,11399.633333333333,11395.975,11409.1,1852,2020-09-10 06:30:00
75,NQ100_m_i,11384.3,11392.1,11378.5,11401.8,11390.15,11390.800000000001,11391.125,11389.175,1319,2020-09-10 06:45:00
76,NQ100_m_i,11392.8,11384.8,11378.8,11392.8,11385.8,11385.466666666665,11385.3,11387.3,1267,2020-09-10 07:00:00
77,NQ100_m_i,11384.8,11374.9,11358.0,11391.0,11374.5,11374.633333333333,11374.7,11377.175,1615,2020-09-10 07:15:00
78,NQ100_m_i,11373.8,11354.4,11341.9,11374.8,11358.349999999999,11357.033333333333,11356.375,11361.224999999999,1583,2020-09-10 07:30:00
79,NQ100_m_i,11354.4,11362.4,11347.5,11370.5,11359.0,11360.133333333333,11360.7,11358.7,1252,2020-09-10 07:45:00
80,NQ100_m_i,11362.5,11338.8,11330.1,11366.0,11348.05,11344.966666666665,11343.425,11349.349999999999,1444,2020-09-10 08:00:00
81,NQ100_m_i,11338.5,11352.0,11331.3,11354.9,11343.099999999999,11346.066666666666,11347.55,11344.175,1204,2020-09-10 08:15:00
82,NQ100_m_i,11352.3,11388.3,11351.5,11392.3,11371.9,11377.366666666667,11380.099999999999,11371.099999999999,1278,2020-09-10 08:30:00
83,NQ100_m_i,11388.3,11388.3,11375.3,11397.8,11386.55,11387.133333333331,11387.425,11387.425,1326,2020-09-10 08:45:00
