,NZDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NZDCHF_i,0.63011,0.63042,0.63006,0.63068,0.63037,0.6303866666666667,0.630395,0.6303175,382,2020-12-18 22:45:00
1,NZDCHF_i,0.63041,0.6305,0.63016,0.6305,0.6303300000000001,0.6303866666666668,0.6304150000000001,0.6303925,230,2020-12-18 23:00:00
2,NZDCHF_i,0.6305,0.63004,0.62995,0.63062,0.630285,0.6302033333333333,0.6301625000000001,0.6302775,100,2020-12-18 23:15:00
3,NZDCHF_i,0.63005,0.63038,0.63003,0.63054,0.630285,0.6303166666666667,0.6303325000000001,0.63025,127,2020-12-18 23:30:00
4,NZDCHF_i,0.63038,0.63013,0.63009,0.63059,0.63034,0.63027,0.630235,0.6302975000000001,87,2020-12-18 23:45:00
5,NZDCHF_i,0.62921,0.62947,0.62895,0.62977,0.62936,0.6293966666666667,0.6294150000000001,0.6293500000000001,81,2020-12-21 00:00:00
6,NZDCHF_i,0.62954,0.62926,0.62921,0.62959,0.6294,0.6293533333333333,0.62933,0.6294,60,2020-12-21 00:15:00
7,NZDCHF_i,0.62926,0.62966,0.62926,0.62998,0.6296200000000001,0.6296333333333334,0.62964,0.62954,63,2020-12-21 00:30:00
8,NZDCHF_i,0.62966,0.62986,0.62931,0.62987,0.6295900000000001,0.62968,0.629725,0.629675,74,2020-12-21 00:45:00
9,NZDCHF_i,0.62987,0.62926,0.62899,0.62988,0.629435,0.6293766666666666,0.6293475,0.6295,162,2020-12-21 01:00:00
10,NZDCHF_i,0.62924,0.62946,0.62924,0.62972,0.62948,0.6294733333333333,0.62947,0.6294150000000001,215,2020-12-21 01:15:00
11,NZDCHF_i,0.62944,0.62883,0.62868,0.62944,0.62906,0.6289833333333333,0.628945,0.6290975,267,2020-12-21 01:30:00
12,NZDCHF_i,0.62883,0.62895,0.62873,0.629,0.628865,0.6288933333333334,0.6289075000000001,0.6288775,225,2020-12-21 01:45:00
13,NZDCHF_i,0.62894,0.62884,0.62884,0.62927,0.6290549999999999,0.6289833333333332,0.6289474999999999,0.6289724999999999,330,2020-12-21 02:00:00
14,NZDCHF_i,0.62885,0.62849,0.62804,0.62888,0.62846,0.62847,0.628475,0.628565,310,2020-12-21 02:15:00
15,NZDCHF_i,0.62849,0.6286,0.62841,0.6288,0.6286050000000001,0.6286033333333334,0.6286025000000001,0.6285750000000001,253,2020-12-21 02:30:00
16,NZDCHF_i,0.62861,0.62795,0.62789,0.62864,0.628265,0.6281599999999999,0.6281075,0.6282725,215,2020-12-21 02:45:00
17,NZDCHF_i,0.62795,0.62834,0.6279,0.6284,0.62815,0.6282133333333334,0.628245,0.6281475000000001,271,2020-12-21 03:00:00
18,NZDCHF_i,0.62826,0.62811,0.62795,0.62835,0.62815,0.6281366666666667,0.62813,0.6281675,222,2020-12-21 03:15:00
19,NZDCHF_i,0.62811,0.62804,0.62786,0.62811,0.627985,0.6280033333333334,0.6280125,0.62803,290,2020-12-21 03:30:00
20,NZDCHF_i,0.62803,0.62847,0.62761,0.62866,0.628135,0.6282466666666666,0.6283025,0.6281924999999999,478,2020-12-21 03:45:00
21,NZDCHF_i,0.62846,0.62827,0.62819,0.62847,0.62833,0.62831,0.6283000000000001,0.6283475000000001,222,2020-12-21 04:00:00
22,NZDCHF_i,0.62826,0.62831,0.62811,0.62835,0.62823,0.6282566666666667,0.62827,0.6282575,232,2020-12-21 04:15:00
23,NZDCHF_i,0.62831,0.628,0.62766,0.62849,0.6280749999999999,0.62805,0.6280375,0.628115,509,2020-12-21 04:30:00
24,NZDCHF_i,0.628,0.62785,0.62773,0.62826,0.6279950000000001,0.6279466666666668,0.6279225,0.6279600000000001,305,2020-12-21 04:45:00
25,NZDCHF_i,0.62783,0.62825,0.62782,0.62831,0.6280650000000001,0.6281266666666667,0.6281575,0.6280525,248,2020-12-21 05:00:00
26,NZDCHF_i,0.62825,0.62833,0.62803,0.6285,0.628265,0.6282866666666667,0.6282975,0.6282775,207,2020-12-21 05:15:00
27,NZDCHF_i,0.62831,0.62857,0.62818,0.6286,0.62839,0.62845,0.6284799999999999,0.628415,188,2020-12-21 05:30:00
28,NZDCHF_i,0.62857,0.62875,0.62856,0.62876,0.62866,0.6286900000000001,0.6287050000000001,0.62866,198,2020-12-21 05:45:00
29,NZDCHF_i,0.62874,0.62896,0.62863,0.62899,0.6288100000000001,0.6288600000000001,0.628885,0.62883,164,2020-12-21 06:00:00
30,NZDCHF_i,0.62896,0.62879,0.62877,0.62916,0.628965,0.6289066666666666,0.6288775,0.6289199999999999,223,2020-12-21 06:15:00
31,NZDCHF_i,0.6288,0.62867,0.62856,0.62891,0.628735,0.6287133333333333,0.6287025,0.628735,231,2020-12-21 06:30:00
32,NZDCHF_i,0.62867,0.62885,0.62859,0.62906,0.628825,0.6288333333333332,0.6288374999999999,0.6287925,205,2020-12-21 06:45:00
