,NZDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NZDJPY_i,73.675,73.699,73.643,73.715,73.679,73.68566666666668,73.68900000000001,73.683,374,2020-12-18 22:45:00
1,NZDJPY_i,73.691,73.738,73.679,73.738,73.7085,73.71833333333333,73.72325000000001,73.7115,266,2020-12-18 23:00:00
2,NZDJPY_i,73.738,73.737,73.728,73.761,73.74449999999999,73.74199999999999,73.74074999999999,73.74099999999999,136,2020-12-18 23:15:00
3,NZDJPY_i,73.737,73.76,73.73,73.769,73.74950000000001,73.753,73.75475,73.749,111,2020-12-18 23:30:00
4,NZDJPY_i,73.759,73.763,73.759,73.794,73.7765,73.772,73.76975,73.76875,274,2020-12-18 23:45:00
5,NZDJPY_i,73.602,73.557,73.52,73.665,73.5925,73.58066666666667,73.57475000000001,73.58600000000001,133,2020-12-21 00:00:00
6,NZDJPY_i,73.544,73.544,73.484,73.6,73.542,73.54266666666666,73.54299999999999,73.54299999999999,141,2020-12-21 00:15:00
7,NZDJPY_i,73.544,73.557,73.516,73.584,73.55000000000001,73.55233333333335,73.55350000000001,73.55025,194,2020-12-21 00:30:00
8,NZDJPY_i,73.557,73.587,73.544,73.615,73.5795,73.582,73.58324999999999,73.57575,102,2020-12-21 00:45:00
9,NZDJPY_i,73.587,73.574,73.547,73.632,73.5895,73.58433333333333,73.58175,73.585,317,2020-12-21 01:00:00
10,NZDJPY_i,73.569,73.513,73.507,73.576,73.5415,73.532,73.52725000000001,73.54125,246,2020-12-21 01:15:00
11,NZDJPY_i,73.513,73.459,73.416,73.513,73.4645,73.46266666666666,73.46175,73.47525,454,2020-12-21 01:30:00
12,NZDJPY_i,73.459,73.494,73.444,73.499,73.47149999999999,73.479,73.48275,73.47399999999999,419,2020-12-21 01:45:00
13,NZDJPY_i,73.494,73.466,73.459,73.518,73.4885,73.481,73.47725,73.48425,520,2020-12-21 02:00:00
14,NZDJPY_i,73.466,73.403,73.347,73.474,73.4105,73.408,73.40675,73.4225,539,2020-12-21 02:15:00
15,NZDJPY_i,73.403,73.41,73.403,73.46,73.4315,73.42433333333334,73.42075,73.419,420,2020-12-21 02:30:00
16,NZDJPY_i,73.411,73.356,73.352,73.413,73.3825,73.37366666666667,73.36925,73.383,440,2020-12-21 02:45:00
17,NZDJPY_i,73.356,73.416,73.356,73.424,73.39,73.39866666666667,73.40299999999999,73.388,468,2020-12-21 03:00:00
18,NZDJPY_i,73.416,73.389,73.378,73.423,73.4005,73.39666666666666,73.39475,73.4015,490,2020-12-21 03:15:00
19,NZDJPY_i,73.389,73.329,73.319,73.392,73.3555,73.34666666666668,73.34225,73.35725000000001,566,2020-12-21 03:30:00
20,NZDJPY_i,73.329,73.338,73.262,73.353,73.3075,73.31766666666667,73.32275,73.3205,690,2020-12-21 03:45:00
21,NZDJPY_i,73.334,73.307,73.293,73.343,73.31800000000001,73.31433333333335,73.31250000000001,73.31925000000001,373,2020-12-21 04:00:00
22,NZDJPY_i,73.307,73.336,73.297,73.337,73.31700000000001,73.32333333333334,73.32650000000001,73.31925000000001,340,2020-12-21 04:15:00
23,NZDJPY_i,73.335,73.271,73.217,73.337,73.277,73.27499999999999,73.274,73.28999999999999,646,2020-12-21 04:30:00
24,NZDJPY_i,73.271,73.241,73.236,73.311,73.27350000000001,73.26266666666668,73.25725,73.26475,454,2020-12-21 04:45:00
25,NZDJPY_i,73.239,73.3,73.237,73.309,73.273,73.282,73.2865,73.27125000000001,426,2020-12-21 05:00:00
26,NZDJPY_i,73.3,73.31,73.275,73.336,73.3055,73.307,73.30775,73.30525,417,2020-12-21 05:15:00
27,NZDJPY_i,73.31,73.346,73.293,73.353,73.32300000000001,73.33066666666667,73.3345,73.3255,356,2020-12-21 05:30:00
28,NZDJPY_i,73.346,73.324,73.308,73.353,73.3305,73.32833333333333,73.32725,73.33275,328,2020-12-21 05:45:00
29,NZDJPY_i,73.324,73.364,73.315,73.365,73.34,73.348,73.352,73.342,283,2020-12-21 06:00:00
30,NZDJPY_i,73.364,73.356,73.344,73.374,73.359,73.35799999999999,73.35749999999999,73.3595,357,2020-12-21 06:15:00
31,NZDJPY_i,73.356,73.332,73.332,73.375,73.3535,73.34633333333333,73.34275,73.34875,441,2020-12-21 06:30:00
32,NZDJPY_i,73.332,73.351,73.328,73.37,73.349,73.34966666666666,73.35,73.34525,317,2020-12-21 06:45:00
33,NZDJPY_i,73.351,73.356,73.285,73.356,73.3205,73.33233333333332,73.33824999999999,73.33699999999999,419,2020-12-21 07:00:00
34,NZDJPY_i,73.353,73.336,73.323,73.358,73.34049999999999,73.339,73.33825,73.3425,543,2020-12-21 07:15:00
35,NZDJPY_i,73.334,73.315,73.314,73.36,73.33699999999999,73.32966666666665,73.326,73.33075,353,2020-12-21 07:30:00
36,NZDJPY_i,73.314,73.344,73.305,73.345,73.325,73.33133333333333,73.33449999999999,73.327,451,2020-12-21 07:45:00
37,NZDJPY_i,73.346,73.301,73.291,73.346,73.3185,73.31266666666666,73.30975,73.321,485,2020-12-21 08:00:00
38,NZDJPY_i,73.301,73.329,73.297,73.335,73.316,73.32033333333334,73.3225,73.3155,389,2020-12-21 08:15:00
39,NZDJPY_i,73.329,73.277,73.272,73.337,73.3045,73.29533333333335,73.29075,73.30375000000001,332,2020-12-21 08:30:00
40,NZDJPY_i,73.276,73.31,73.26,73.329,73.2945,73.29966666666667,73.30225,73.29375,409,2020-12-21 08:45:00
41,NZDJPY_i,73.307,73.314,73.282,73.325,73.3035,73.307,73.30875,73.307,574,2020-12-21 09:00:00
42,NZDJPY_i,73.314,73.228,73.227,73.319,73.273,73.258,73.2505,73.27199999999999,520,2020-12-21 09:15:00
43,NZDJPY_i,73.23,73.126,73.102,73.247,73.1745,73.15833333333333,73.15025,73.17625,739,2020-12-21 09:30:00
44,NZDJPY_i,73.127,73.015,72.971,73.13,73.0505,73.03866666666666,73.03275,73.06075,684,2020-12-21 09:45:00
45,NZDJPY_i,73.015,73.022,72.95,73.032,72.991,73.00133333333333,73.0065,73.00475,920,2020-12-21 10:00:00
46,NZDJPY_i,73.021,72.996,72.958,73.022,72.99000000000001,72.992,72.993,72.99925,819,2020-12-21 10:15:00
47,NZDJPY_i,72.994,73.016,72.957,73.039,72.99799999999999,73.004,73.007,73.0015,819,2020-12-21 10:30:00
48,NZDJPY_i,73.016,72.987,72.974,73.078,73.02600000000001,73.013,73.0065,73.01375,698,2020-12-21 10:45:00
49,NZDJPY_i,72.987,72.917,72.909,72.99,72.9495,72.93866666666666,72.93325,72.95075,460,2020-12-21 11:00:00
50,NZDJPY_i,72.917,72.934,72.901,72.944,72.9225,72.92633333333333,72.92824999999999,72.924,447,2020-12-21 11:15:00
51,NZDJPY_i,72.934,72.866,72.865,72.939,72.90199999999999,72.88999999999999,72.88399999999999,72.90099999999998,549,2020-12-21 11:30:00
52,NZDJPY_i,72.861,72.828,72.796,72.876,72.83600000000001,72.83333333333334,72.83200000000001,72.84025000000001,652,2020-12-21 11:45:00
53,NZDJPY_i,72.834,72.807,72.783,72.842,72.8125,72.81066666666668,72.80975000000001,72.8165,867,2020-12-21 12:00:00
54,NZDJPY_i,72.805,72.717,72.716,72.828,72.77199999999999,72.75366666666666,72.74449999999999,72.7665,1078,2020-12-21 12:15:00
55,NZDJPY_i,72.716,72.823,72.703,72.875,72.789,72.80033333333334,72.806,72.77925,977,2020-12-21 12:30:00
56,NZDJPY_i,72.823,72.824,72.765,72.839,72.80199999999999,72.80933333333333,72.813,72.81275,873,2020-12-21 12:45:00
57,NZDJPY_i,72.828,72.834,72.809,72.857,72.833,72.83333333333333,72.8335,72.832,677,2020-12-21 13:00:00
58,NZDJPY_i,72.833,72.845,72.816,72.86,72.838,72.84033333333333,72.8415,72.8385,671,2020-12-21 13:15:00
59,NZDJPY_i,72.845,72.949,72.834,72.954,72.894,72.91233333333334,72.92150000000001,72.8955,859,2020-12-21 13:30:00
60,NZDJPY_i,72.949,72.924,72.91,72.993,72.9515,72.94233333333334,72.93775,72.944,734,2020-12-21 13:45:00
61,NZDJPY_i,72.924,72.889,72.888,72.968,72.928,72.915,72.9085,72.91725,712,2020-12-21 14:00:00
62,NZDJPY_i,72.889,72.91,72.865,72.915,72.89,72.89666666666666,72.9,72.89475,548,2020-12-21 14:15:00
63,NZDJPY_i,72.911,72.883,72.87,72.915,72.89250000000001,72.88933333333334,72.88775,72.89475,588,2020-12-21 14:30:00
64,NZDJPY_i,72.885,72.852,72.837,72.909,72.873,72.866,72.86250000000001,72.87075,711,2020-12-21 14:45:00
65,NZDJPY_i,72.853,72.813,72.795,72.884,72.8395,72.83066666666667,72.82625,72.83625,863,2020-12-21 15:00:00
66,NZDJPY_i,72.814,72.83,72.787,72.841,72.814,72.81933333333332,72.82199999999999,72.81799999999998,743,2020-12-21 15:15:00
67,NZDJPY_i,72.829,72.854,72.809,72.864,72.8365,72.84233333333333,72.84525,72.839,809,2020-12-21 15:30:00
68,NZDJPY_i,72.856,72.827,72.818,72.872,72.845,72.839,72.836,72.84325,803,2020-12-21 15:45:00
69,NZDJPY_i,72.828,72.926,72.809,72.934,72.8715,72.88966666666666,72.89874999999999,72.87424999999999,719,2020-12-21 16:00:00
70,NZDJPY_i,72.928,72.919,72.908,72.973,72.9405,72.93333333333334,72.92975,72.932,703,2020-12-21 16:15:00
71,NZDJPY_i,72.919,72.944,72.916,72.996,72.95599999999999,72.952,72.95,72.94375,990,2020-12-21 16:30:00
72,NZDJPY_i,72.944,73.025,72.935,73.05,72.9925,73.00333333333334,73.00875,72.9885,739,2020-12-21 16:45:00
73,NZDJPY_i,73.025,72.961,72.957,73.043,73.0,72.98700000000001,72.9805,72.9965,671,2020-12-21 17:00:00
74,NZDJPY_i,72.961,72.988,72.929,73.012,72.9705,72.97633333333333,72.97925000000001,72.9725,779,2020-12-21 17:15:00
75,NZDJPY_i,72.988,73.016,72.971,73.04,73.00550000000001,73.00900000000001,73.01075000000002,73.00375000000001,706,2020-12-21 17:30:00
