,RUBRUR,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2020-12-18 17:30:00
1,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2020-12-18 17:45:00
2,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2020-12-18 18:00:00
3,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2020-12-18 18:15:00
4,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2020-12-18 18:30:00
5,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2020-12-18 18:45:00
6,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2020-12-18 19:00:00
7,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2020-12-18 19:15:00
8,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2020-12-18 19:30:00
9,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2020-12-18 19:45:00
10,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2020-12-18 20:00:00
11,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2020-12-18 20:15:00
12,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2020-12-18 20:30:00
13,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2020-12-18 20:45:00
14,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2020-12-18 21:00:00
15,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2020-12-18 21:15:00
16,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2020-12-18 21:30:00
