,USDHKD,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDHKD,7.75242,7.75237,7.75236,7.75257,7.752465000000001,7.752433333333333,7.7524175,7.75243,33,2020-12-21 03:00:00
1,USDHKD,7.75237,7.75252,7.75237,7.75271,7.75254,7.752533333333333,7.75253,7.7524925,44,2020-12-21 03:15:00
2,USDHKD,7.75252,7.7528,7.75252,7.75295,7.7527349999999995,7.7527566666666665,7.7527675,7.7526975,48,2020-12-21 03:30:00
3,USDHKD,7.7528,7.75257,7.75244,7.7528,7.75262,7.752603333333333,7.7525949999999995,7.7526525,28,2020-12-21 03:45:00
4,USDHKD,7.75257,7.75275,7.75257,7.7528,7.752685,7.752706666666666,7.752717499999999,7.752672499999999,31,2020-12-21 04:00:00
5,USDHKD,7.75275,7.7527,7.7527,7.75275,7.752725,7.752716666666667,7.7527125,7.752725,20,2020-12-21 04:15:00
6,USDHKD,7.7527,7.75268,7.75265,7.7527,7.752675,7.752676666666666,7.752677499999999,7.7526825,34,2020-12-21 04:30:00
7,USDHKD,7.75265,7.75268,7.75265,7.75269,7.75267,7.752673333333334,7.752675,7.7526675,48,2020-12-21 04:45:00
8,USDHKD,7.75265,7.75265,7.75265,7.75269,7.75267,7.7526633333333335,7.75266,7.75266,40,2020-12-21 05:00:00
9,USDHKD,7.75265,7.7526,7.75252,7.75273,7.752625,7.752616666666667,7.752612500000001,7.752625,22,2020-12-21 05:15:00
10,USDHKD,7.7526,7.75265,7.75245,7.75271,7.75258,7.752603333333333,7.752615,7.7526025,56,2020-12-21 05:30:00
11,USDHKD,7.75265,7.75255,7.75252,7.75269,7.752605,7.752586666666667,7.7525775,7.7526025,46,2020-12-21 05:45:00
12,USDHKD,7.75255,7.75255,7.7524999999999995,7.75263,7.752565,7.75256,7.7525575,7.7525575,43,2020-12-21 06:00:00
13,USDHKD,7.75258,7.75255,7.75255,7.75262,7.752585,7.752573333333333,7.7525675,7.752575,49,2020-12-21 06:15:00
14,USDHKD,7.75255,7.75255,7.75255,7.7526,7.752575,7.752566666666667,7.7525625,7.7525625,43,2020-12-21 06:30:00
15,USDHKD,7.75255,7.75255,7.75247,7.75262,7.752545,7.7525466666666665,7.7525474999999995,7.7525474999999995,38,2020-12-21 06:45:00
16,USDHKD,7.75251,7.75265,7.75251,7.75267,7.75259,7.75261,7.752619999999999,7.752585,27,2020-12-21 07:00:00
17,USDHKD,7.75265,7.75265,7.75261,7.75267,7.7526399999999995,7.752643333333332,7.752644999999999,7.752644999999999,31,2020-12-21 07:15:00
18,USDHKD,7.75265,7.7526399999999995,7.7526399999999995,7.75268,7.75266,7.752653333333332,7.752649999999999,7.752652499999999,18,2020-12-21 07:30:00
19,USDHKD,7.7526399999999995,7.75265,7.7526,7.7527,7.75265,7.75265,7.75265,7.7526475,33,2020-12-21 07:45:00
20,USDHKD,7.75265,7.75265,7.75265,7.75272,7.752685,7.752673333333333,7.752667499999999,7.752667499999999,23,2020-12-21 08:00:00
21,USDHKD,7.75265,7.7527,7.75258,7.75274,7.7526600000000006,7.752673333333334,7.752680000000001,7.7526675,33,2020-12-21 08:15:00
22,USDHKD,7.75265,7.7532499999999995,7.7526399999999995,7.75329,7.752965,7.7530600000000005,7.7531075000000005,7.7529575,72,2020-12-21 08:30:00
23,USDHKD,7.7532499999999995,7.7534,7.7532499999999995,7.75349,7.75337,7.75338,7.753385,7.7533475,65,2020-12-21 08:45:00
24,USDHKD,7.7534,7.75356,7.7534,7.75371,7.753555,7.753556666666667,7.7535575,7.7535175,108,2020-12-21 09:00:00
25,USDHKD,7.75356,7.75333,7.75333,7.75356,7.753445,7.753406666666667,7.7533875000000005,7.753445,31,2020-12-21 09:15:00
26,USDHKD,7.75335,7.75339,7.75331,7.75344,7.753375,7.75338,7.7533825,7.7533725,59,2020-12-21 09:30:00
27,USDHKD,7.75339,7.75345,7.75338,7.75355,7.753465,7.7534600000000005,7.753457500000001,7.7534425,52,2020-12-21 09:45:00
28,USDHKD,7.75345,7.7534,7.75331,7.75349,7.7534,7.7534,7.7534,7.7534125000000005,38,2020-12-21 10:00:00
29,USDHKD,7.7534,7.7534,7.7534,7.7534600000000005,7.75343,7.753419999999999,7.7534149999999995,7.7534149999999995,37,2020-12-21 10:15:00
30,USDHKD,7.7534,7.75358,7.7534,7.75363,7.753515,7.753536666666666,7.7535475,7.7535025,56,2020-12-21 10:30:00
31,USDHKD,7.75358,7.7539,7.75358,7.75395,7.753765,7.753809999999999,7.7538325,7.753752499999999,62,2020-12-21 10:45:00
32,USDHKD,7.75391,7.75376,7.75371,7.75393,7.75382,7.753800000000001,7.75379,7.753827500000001,49,2020-12-21 11:00:00
33,USDHKD,7.75376,7.75387,7.75373,7.75387,7.7538,7.753823333333333,7.753835,7.7538075,51,2020-12-21 11:15:00
34,USDHKD,7.75387,7.75385,7.7538,7.75394,7.75387,7.753863333333332,7.7538599999999995,7.753864999999999,44,2020-12-21 11:30:00
