,USDRUB_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDRUB_i,63.819,63.863,63.79,63.941,63.8655,63.864666666666665,63.86425,63.85325,876,2019-04-19 10:00:00
1,USDRUB_i,63.863,63.843,63.834,63.863,63.8485,63.84666666666667,63.84575000000001,63.850750000000005,252,2019-04-19 10:15:00
2,USDRUB_i,63.843,63.845,63.832,63.85,63.841,63.84233333333333,63.842999999999996,63.8425,258,2019-04-19 10:30:00
3,USDRUB_i,63.845,63.847,63.747,63.856,63.801500000000004,63.81666666666667,63.824250000000006,63.823750000000004,236,2019-04-19 10:45:00
4,USDRUB_i,63.847,63.825,63.747,63.849,63.798,63.806999999999995,63.811499999999995,63.817,283,2019-04-19 11:00:00
5,USDRUB_i,63.825,63.824,63.82,63.849,63.8345,63.830999999999996,63.82925,63.829499999999996,246,2019-04-19 11:15:00
6,USDRUB_i,63.824,63.844,63.824,63.844,63.834,63.83733333333333,63.839,63.834,264,2019-04-19 11:30:00
7,USDRUB_i,63.844,63.844,63.84,63.862,63.851,63.84866666666667,63.8475,63.8475,171,2019-04-19 11:45:00
8,USDRUB_i,63.844,63.821,63.81,63.851,63.8305,63.827333333333335,63.82575,63.8315,183,2019-04-19 12:00:00
9,USDRUB_i,63.821,63.847,63.815,63.855,63.834999999999994,63.839,63.841,63.8345,199,2019-04-19 12:15:00
10,USDRUB_i,63.847,63.844,63.835,63.849,63.842,63.842666666666666,63.842999999999996,63.84375,167,2019-04-19 12:30:00
11,USDRUB_i,63.844,63.853,63.836,63.861,63.8485,63.85,63.850750000000005,63.8485,186,2019-04-19 12:45:00
12,USDRUB_i,63.853,63.849,63.832,63.855,63.8435,63.845333333333336,63.84625,63.84725,189,2019-04-19 13:00:00
13,USDRUB_i,63.849,63.857,63.839,63.861,63.849999999999994,63.85233333333333,63.8535,63.851499999999994,242,2019-04-19 13:15:00
14,USDRUB_i,63.857,63.84,63.839,63.857,63.848,63.845333333333336,63.844,63.84825,92,2019-04-19 13:30:00
15,USDRUB_i,63.84,63.839,63.795,63.841,63.818,63.824999999999996,63.8285,63.82875,141,2019-04-19 13:45:00
16,USDRUB_i,63.839,63.844,63.839,63.846,63.8425,63.842999999999996,63.84325,63.842,63,2019-04-19 14:00:00
17,USDRUB_i,63.844,63.842,63.84,63.849,63.8445,63.84366666666667,63.84325,63.84375,77,2019-04-19 14:15:00
18,USDRUB_i,63.844,63.844,63.841,63.847,63.844,63.844,63.844,63.844,93,2019-04-19 14:30:00
19,USDRUB_i,63.842,63.846,63.842,63.847,63.8445,63.845,63.84525,63.84425,83,2019-04-19 14:45:00
20,USDRUB_i,63.845,63.845,63.844,63.847,63.8455,63.845333333333336,63.84525,63.84525,75,2019-04-19 15:00:00
21,USDRUB_i,63.845,63.853,63.843,63.855,63.849000000000004,63.85033333333334,63.851000000000006,63.849000000000004,89,2019-04-19 15:15:00
22,USDRUB_i,63.853,63.857,63.847,63.859,63.853,63.85433333333333,63.855,63.854,103,2019-04-19 15:30:00
23,USDRUB_i,63.859,63.865,63.846,63.867,63.8565,63.85933333333333,63.86075,63.85925,358,2019-04-19 15:45:00
24,USDRUB_i,63.865,63.871,63.863,63.872,63.8675,63.86866666666666,63.86925,63.86775,212,2019-04-19 16:00:00
25,USDRUB_i,63.871,63.881,63.87,63.883,63.8765,63.87800000000001,63.878750000000004,63.876250000000006,207,2019-04-19 16:15:00
26,USDRUB_i,63.881,63.892,63.881,63.895,63.888000000000005,63.88933333333333,63.89,63.88725,174,2019-04-19 16:30:00
27,USDRUB_i,63.892,63.916,63.892,63.928,63.91,63.912,63.913,63.907,454,2019-04-19 16:45:00
28,USDRUB_i,63.916,63.924,63.889,63.927,63.908,63.913333333333334,63.916000000000004,63.914,266,2019-04-19 17:00:00
29,USDRUB_i,63.924,63.945,63.924,63.945,63.9345,63.937999999999995,63.93975,63.9345,158,2019-04-19 17:15:00
30,USDRUB_i,63.946,63.95,63.937,63.956,63.9465,63.94766666666667,63.94825,63.947250000000004,172,2019-04-19 17:30:00
31,USDRUB_i,63.95,63.956,63.95,63.958,63.954,63.95466666666667,63.955,63.953500000000005,126,2019-04-19 17:45:00
32,USDRUB_i,63.956,63.964,63.956,63.97,63.963,63.96333333333333,63.963499999999996,63.9615,274,2019-04-19 18:00:00
33,USDRUB_i,63.964,63.949,63.939,63.967,63.953,63.951666666666675,63.95100000000001,63.954750000000004,87,2019-04-19 18:15:00
34,USDRUB_i,63.949,63.958,63.944,63.961,63.9525,63.95433333333333,63.95525,63.953,194,2019-04-19 18:30:00
35,USDRUB_i,63.958,63.955,63.95,63.96,63.955,63.955000000000005,63.955,63.95575,92,2019-04-19 18:45:00
36,USDRUB_i,63.955,63.955,63.953,63.964,63.9585,63.95733333333334,63.95675,63.95675,135,2019-04-19 19:00:00
37,USDRUB_i,63.955,63.967,63.955,63.968,63.9615,63.96333333333333,63.96424999999999,63.96124999999999,66,2019-04-19 19:15:00
38,USDRUB_i,63.967,63.961,63.958,63.968,63.963,63.96233333333333,63.962,63.963499999999996,71,2019-04-19 19:30:00
39,USDRUB_i,63.961,63.951,63.939,63.963,63.951,63.951,63.951,63.953500000000005,83,2019-04-19 19:45:00
40,USDRUB_i,63.951,63.95,63.947,63.951,63.949,63.949333333333335,63.9495,63.94975,25,2019-04-19 20:00:00
41,USDRUB_i,63.95,63.954,63.948,63.954,63.951,63.952,63.9525,63.951499999999996,36,2019-04-19 20:15:00
42,USDRUB_i,63.954,63.955,63.951,63.96,63.9555,63.95533333333333,63.95524999999999,63.955,44,2019-04-19 20:30:00
43,USDRUB_i,63.955,63.953,63.951,63.956,63.953500000000005,63.95333333333334,63.953250000000004,63.95375,26,2019-04-19 20:45:00
44,USDRUB_i,63.69,63.656,63.645,63.741,63.693,63.68066666666667,63.6745,63.683,621,2019-04-22 10:00:00
45,USDRUB_i,63.656,63.7,63.649,63.703,63.676,63.684000000000005,63.688,63.67700000000001,369,2019-04-22 10:15:00
46,USDRUB_i,63.7,63.699,63.686,63.737,63.7115,63.70733333333334,63.70525000000001,63.7055,411,2019-04-22 10:30:00
47,USDRUB_i,63.699,63.679,63.679,63.712,63.6955,63.69,63.68725,63.69225,387,2019-04-22 10:45:00
48,USDRUB_i,63.679,63.713,63.671,63.716,63.6935,63.699999999999996,63.70325,63.69475,414,2019-04-22 11:00:00
49,USDRUB_i,63.719,63.674,63.666,63.736,63.70099999999999,63.692,63.6875,63.69875,268,2019-04-22 11:15:00
50,USDRUB_i,63.674,63.661,63.655,63.676,63.6655,63.66400000000001,63.663250000000005,63.666500000000006,143,2019-04-22 11:30:00
51,USDRUB_i,63.661,63.677,63.656,63.681,63.668499999999995,63.67133333333333,63.67274999999999,63.668749999999996,126,2019-04-22 11:45:00
52,USDRUB_i,63.677,63.693,63.67,63.696,63.683,63.68633333333333,63.688,63.684,188,2019-04-22 12:00:00
53,USDRUB_i,63.693,63.723,63.689,63.749,63.719,63.720333333333336,63.721000000000004,63.713499999999996,234,2019-04-22 12:15:00
54,USDRUB_i,63.723,63.7,63.692,63.723,63.707499999999996,63.705000000000005,63.70375,63.709500000000006,101,2019-04-22 12:30:00
55,USDRUB_i,63.7,63.684,63.681,63.7,63.6905,63.68833333333333,63.68725,63.69125,71,2019-04-22 12:45:00
56,USDRUB_i,63.684,63.692,63.68,63.711,63.695499999999996,63.69433333333333,63.69375,63.69175,148,2019-04-22 13:00:00
57,USDRUB_i,63.694,63.696,63.683,63.709,63.696,63.696,63.696,63.695499999999996,151,2019-04-22 13:15:00
58,USDRUB_i,63.696,63.705,63.692,63.714,63.703,63.70366666666666,63.70399999999999,63.70175,101,2019-04-22 13:30:00
59,USDRUB_i,63.705,63.706,63.702,63.716,63.709,63.708000000000006,63.70750000000001,63.70725,93,2019-04-22 13:45:00
60,USDRUB_i,63.706,63.719,63.706,63.726,63.716,63.717000000000006,63.7175,63.71425000000001,92,2019-04-22 14:00:00
