,XAUUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,XAUUSD_i,1871.21,1868.88,1868.44,1872.22,1870.33,1869.8466666666666,1869.605,1870.1875,695,2020-11-23 10:45:00
1,XAUUSD_i,1868.88,1869.82,1867.81,1870.65,1869.23,1869.4266666666665,1869.5249999999999,1869.29,1186,2020-11-23 11:00:00
2,XAUUSD_i,1869.82,1869.43,1869.38,1870.69,1870.035,1869.8333333333333,1869.7325,1869.83,782,2020-11-23 11:15:00
3,XAUUSD_i,1869.43,1868.3,1868.21,1870.22,1869.2150000000001,1868.91,1868.7575000000002,1869.0400000000002,602,2020-11-23 11:30:00
4,XAUUSD_i,1868.25,1868.8,1866.48,1869.32,1867.9,1868.2,1868.3500000000001,1868.2125,704,2020-11-23 11:45:00
5,XAUUSD_i,1868.8,1867.73,1867.54,1869.62,1868.58,1868.2966666666664,1868.1549999999997,1868.4225,627,2020-11-23 12:00:00
6,XAUUSD_i,1867.68,1867.36,1866.69,1868.79,1867.74,1867.6133333333335,1867.55,1867.63,588,2020-11-23 12:15:00
7,XAUUSD_i,1867.37,1866.36,1864.12,1867.37,1865.745,1865.9499999999998,1866.0524999999998,1866.3049999999998,1146,2020-11-23 12:30:00
8,XAUUSD_i,1866.26,1865.4,1865.07,1866.92,1865.995,1865.7966666666664,1865.6974999999998,1865.9125,637,2020-11-23 12:45:00
9,XAUUSD_i,1865.35,1866.33,1864.14,1867.23,1865.685,1865.8999999999999,1866.0075,1865.7624999999998,798,2020-11-23 13:00:00
10,XAUUSD_i,1866.28,1864.15,1863.29,1866.77,1865.03,1864.7366666666667,1864.5900000000001,1865.1225,856,2020-11-23 13:15:00
11,XAUUSD_i,1864.15,1865.29,1863.36,1865.87,1864.6149999999998,1864.84,1864.9524999999999,1864.6675,883,2020-11-23 13:30:00
12,XAUUSD_i,1865.3,1866.13,1864.56,1866.38,1865.47,1865.6899999999998,1865.8,1865.5925,719,2020-11-23 13:45:00
13,XAUUSD_i,1866.12,1867.14,1865.57,1868.67,1867.12,1867.1266666666668,1867.13,1866.875,1176,2020-11-23 14:00:00
14,XAUUSD_i,1867.05,1867.98,1866.78,1868.74,1867.76,1867.8333333333333,1867.87,1867.6375,633,2020-11-23 14:15:00
15,XAUUSD_i,1867.96,1865.98,1865.48,1868.58,1867.03,1866.68,1866.505,1867.0,974,2020-11-23 14:30:00
