,XBNUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,XBNUSD_i,289.59,288.91,288.41,290.01,289.21000000000004,289.11000000000007,289.06000000000006,289.23,7825,2020-11-30 14:15:00
1,XBNUSD_i,288.92,287.01,286.77,289.23,288.0,287.67,287.505,287.9825,7995,2020-11-30 14:30:00
2,XBNUSD_i,287.01,289.11,287.01,289.82,288.41499999999996,288.64666666666665,288.7625,288.23749999999995,6798,2020-11-30 14:45:00
3,XBNUSD_i,289.11,289.62,288.22,289.84,289.03,289.22666666666663,289.325,289.1975,8597,2020-11-30 15:00:00
4,XBNUSD_i,289.56,287.59,287.25,289.72,288.485,288.18666666666667,288.03749999999997,288.53,4034,2020-11-30 15:15:00
5,XBNUSD_i,287.72,286.36,286.32,287.87,287.095,286.85,286.7275,287.0675,7791,2020-11-30 15:30:00
6,XBNUSD_i,286.36,292.69,286.36,293.57,289.96500000000003,290.8733333333334,291.32750000000004,289.745,17870,2020-11-30 15:45:00
7,XBNUSD_i,292.69,292.55,291.42,294.81,293.115,292.9266666666667,292.8325,292.8675,18410,2020-11-30 16:00:00
8,XBNUSD_i,292.55,299.7,290.59,299.7,295.145,296.66333333333336,297.4225,295.635,18853,2020-11-30 16:15:00
9,XBNUSD_i,299.7,299.51,296.8,300.26,298.53,298.8566666666666,299.02,299.0675,19191,2020-11-30 16:30:00
10,XBNUSD_i,299.51,297.96,296.18,302.99,299.58500000000004,299.04333333333335,298.77250000000004,299.16,35483,2020-11-30 16:45:00
11,XBNUSD_i,298.06,302.83,297.74,303.62,300.68,301.3966666666667,301.755,300.5625,25666,2020-11-30 17:00:00
12,XBNUSD_i,302.83,300.15,298.57,303.12,300.845,300.61333333333334,300.4975,301.1675,19413,2020-11-30 17:15:00
13,XBNUSD_i,300.15,297.45,293.51,300.52,297.015,297.16,297.2325,297.9075,32648,2020-11-30 17:30:00
14,XBNUSD_i,297.45,296.26,295.09,298.55,296.82,296.6333333333333,296.53999999999996,296.8375,17115,2020-11-30 17:45:00
15,XBNUSD_i,296.26,310.39,296.26,310.42,303.34000000000003,305.69,306.865,303.3325,32410,2020-11-30 18:00:00
16,XBNUSD_i,310.41,314.68,309.53,316.49,313.01,313.56666666666666,313.845,312.77750000000003,44440,2020-11-30 18:15:00
17,XBNUSD_i,314.68,311.11,310.15,315.23,312.69,312.16333333333336,311.9,312.7925,32485,2020-11-30 18:30:00
18,XBNUSD_i,311.12,308.38,306.26,311.53,308.895,308.7233333333333,308.6375,309.3225,28960,2020-11-30 18:45:00
19,XBNUSD_i,308.38,309.2,303.9,309.36,306.63,307.4866666666667,307.915,307.71000000000004,26285,2020-11-30 19:00:00
20,XBNUSD_i,309.2,311.36,308.71,311.53,310.12,310.53333333333336,310.74,310.2,13716,2020-11-30 19:15:00
21,XBNUSD_i,311.36,312.03,310.2,312.51,311.355,311.58,311.6925,311.525,10993,2020-11-30 19:30:00
22,XBNUSD_i,312.03,312.14,311.08,313.11,312.095,312.11,312.1175,312.09000000000003,11112,2020-11-30 19:45:00
23,XBNUSD_i,312.14,308.47,308.27,313.31,310.78999999999996,310.01666666666665,309.63,310.5475,14798,2020-11-30 20:00:00
24,XBNUSD_i,308.47,308.84,306.86,309.47,308.165,308.39000000000004,308.5025,308.41,12027,2020-11-30 20:15:00
25,XBNUSD_i,308.84,311.66,307.79,311.67,309.73,310.3733333333334,310.69500000000005,309.99,13589,2020-11-30 20:30:00
26,XBNUSD_i,311.66,308.99,308.6,312.23,310.415,309.94,309.7025,310.37,20685,2020-11-30 20:45:00
27,XBNUSD_i,308.99,310.76,308.21,311.44,309.825,310.13666666666666,310.2925,309.85,13486,2020-11-30 21:00:00
28,XBNUSD_i,310.76,312.8,310.76,312.9,311.83,312.15333333333336,312.315,311.805,7596,2020-11-30 21:15:00
29,XBNUSD_i,312.8,311.01,309.91,312.8,311.355,311.24,311.1825,311.63,13210,2020-11-30 21:30:00
30,XBNUSD_i,311.02,309.33,308.11,311.44,309.775,309.6266666666666,309.55249999999995,309.97499999999997,10586,2020-11-30 21:45:00
31,XBNUSD_i,309.33,311.28,307.51,311.28,309.395,310.0233333333333,310.3375,309.84999999999997,13835,2020-11-30 22:00:00
32,XBNUSD_i,311.28,311.97,310.83,311.97,311.4,311.59,311.685,311.5125,8403,2020-11-30 22:15:00
33,XBNUSD_i,311.97,312.81,311.68,313.68,312.68,312.72333333333336,312.745,312.535,6941,2020-11-30 22:30:00
34,XBNUSD_i,312.81,311.74,310.62,312.98,311.8,311.78000000000003,311.77,312.0375,9501,2020-11-30 22:45:00
35,XBNUSD_i,311.74,313.9,311.61,313.95,312.78,313.1533333333333,313.34,312.79999999999995,6298,2020-11-30 23:00:00
36,XBNUSD_i,313.9,311.37,311.23,314.25,312.74,312.28333333333336,312.055,312.6875,7539,2020-11-30 23:15:00
37,XBNUSD_i,311.37,311.63,311.37,312.67,312.02,311.89,311.825,311.76,7318,2020-11-30 23:30:00
38,XBNUSD_i,311.63,311.63,311.63,311.63,311.63,311.63,311.63,311.63,5,2020-11-30 23:45:00
39,XBNUSD_i,319.51,317.67,315.82,319.56,317.69,317.68333333333334,317.68,318.14,20825,2020-12-01 01:00:00
40,XBNUSD_i,317.67,316.5,314.45,318.09,316.27,316.34666666666664,316.385,316.6775,16697,2020-12-01 01:15:00
41,XBNUSD_i,316.52,317.0,314.91,317.75,316.33000000000004,316.55333333333334,316.665,316.545,15130,2020-12-01 01:30:00
42,XBNUSD_i,317.0,316.15,315.15,317.38,316.265,316.22666666666663,316.2075,316.41999999999996,9439,2020-12-01 01:45:00
43,XBNUSD_i,316.19,313.04,312.42,316.63,314.525,314.03,313.78249999999997,314.57,17585,2020-12-01 02:00:00
44,XBNUSD_i,313.02,314.55,312.47,315.04,313.755,314.02,314.1525,313.77,12078,2020-12-01 02:15:00
45,XBNUSD_i,314.65,310.15,309.39,314.78,312.085,311.44,311.11749999999995,312.24249999999995,21147,2020-12-01 02:30:00
46,XBNUSD_i,310.18,311.81,309.74,312.15,310.945,311.23333333333335,311.3775,310.97,9245,2020-12-01 02:45:00
47,XBNUSD_i,311.83,311.37,311.15,312.8,311.975,311.77333333333337,311.6725,311.7875,8602,2020-12-01 03:00:00
48,XBNUSD_i,311.38,313.04,310.28,313.71,311.995,312.3433333333333,312.5175,312.10249999999996,9796,2020-12-01 03:15:00
49,XBNUSD_i,313.01,315.4,311.54,315.48,313.51,314.14,314.455,313.85749999999996,12677,2020-12-01 03:30:00
50,XBNUSD_i,315.46,313.42,313.34,316.83,315.085,314.53,314.2525,314.7625,16731,2020-12-01 03:45:00
51,XBNUSD_i,313.42,313.63,312.66,315.57,314.115,313.9533333333333,313.8725,313.82,10621,2020-12-01 04:00:00
52,XBNUSD_i,313.63,313.46,312.56,313.63,313.095,313.2166666666667,313.27750000000003,313.32000000000005,5231,2020-12-01 04:15:00
53,XBNUSD_i,313.46,312.77,311.62,313.46,312.53999999999996,312.6166666666666,312.655,312.8275,3549,2020-12-01 04:30:00
54,XBNUSD_i,312.77,313.98,312.0,314.34,313.16999999999996,313.44,313.575,313.2725,3963,2020-12-01 04:45:00
55,XBNUSD_i,313.98,312.96,311.69,314.02,312.855,312.89000000000004,312.9075,313.1625,5108,2020-12-01 05:00:00
56,XBNUSD_i,312.38,311.34,310.91,313.01,311.96000000000004,311.75333333333333,311.65,311.90999999999997,7195,2020-12-01 05:15:00
57,XBNUSD_i,311.28,311.65,310.52,311.67,311.095,311.28000000000003,311.3725,311.28,4405,2020-12-01 05:30:00
58,XBNUSD_i,311.65,310.31,309.52,312.56,311.03999999999996,310.7966666666666,310.67499999999995,311.01,7103,2020-12-01 05:45:00
59,XBNUSD_i,309.98,312.79,308.78,313.48,311.13,311.68333333333334,311.96,311.2575,12621,2020-12-01 06:00:00
60,XBNUSD_i,312.79,313.51,312.74,314.16,313.45000000000005,313.47,313.48,313.3,9517,2020-12-01 06:15:00
61,XBNUSD_i,313.51,312.39,311.22,313.51,312.365,312.37333333333333,312.3775,312.6575,9433,2020-12-01 06:30:00
62,XBNUSD_i,312.4,311.24,310.88,313.31,312.095,311.81,311.6675,311.9575,6885,2020-12-01 06:45:00
63,XBNUSD_i,311.25,310.93,309.91,311.58,310.745,310.8066666666667,310.83750000000003,310.9175,8410,2020-12-01 07:00:00
64,XBNUSD_i,310.93,312.44,310.44,312.44,311.44,311.7733333333333,311.94,311.5625,7315,2020-12-01 07:15:00
65,XBNUSD_i,312.44,310.86,310.77,313.39,312.08,311.67333333333335,311.47,311.865,7185,2020-12-01 07:30:00
66,XBNUSD_i,310.87,311.04,310.27,312.92,311.595,311.41,311.3175,311.275,8445,2020-12-01 07:45:00
67,XBNUSD_i,311.04,313.15,310.94,313.23,312.08500000000004,312.44,312.6175,312.09000000000003,5768,2020-12-01 08:00:00
68,XBNUSD_i,313.15,312.27,312.17,313.63,312.9,312.69,312.585,312.80499999999995,5635,2020-12-01 08:15:00
69,XBNUSD_i,312.27,310.89,310.66,312.27,311.46500000000003,311.27333333333337,311.1775,311.52250000000004,4397,2020-12-01 08:30:00
70,XBNUSD_i,310.89,309.31,308.24,311.34,309.78999999999996,309.62999999999994,309.54999999999995,309.94499999999994,11445,2020-12-01 08:45:00
71,XBNUSD_i,309.31,312.51,309.31,313.06,311.185,311.62666666666667,311.84749999999997,311.0475,9797,2020-12-01 09:00:00
72,XBNUSD_i,312.51,311.11,310.7,312.78,311.74,311.53000000000003,311.425,311.775,6415,2020-12-01 09:15:00
73,XBNUSD_i,311.11,313.39,311.11,315.03,313.07,313.1766666666667,313.23,312.65999999999997,10350,2020-12-01 09:30:00
74,XBNUSD_i,313.39,313.84,312.0,314.04,313.02,313.2933333333333,313.42999999999995,313.3175,8078,2020-12-01 09:45:00
75,XBNUSD_i,313.84,315.28,313.54,316.46,315.0,315.0933333333333,315.14,314.78,13291,2020-12-01 10:00:00
76,XBNUSD_i,315.28,314.1,313.83,315.72,314.775,314.55,314.4375,314.73249999999996,7689,2020-12-01 10:15:00
77,XBNUSD_i,314.23,312.58,311.85,314.68,313.265,313.03666666666663,312.92249999999996,313.335,10493,2020-12-01 10:30:00
78,XBNUSD_i,312.37,311.99,311.76,313.03,312.395,312.26,312.1925,312.2875,5102,2020-12-01 10:45:00
79,XBNUSD_i,312.0,311.83,311.12,312.83,311.975,311.9266666666667,311.9025,311.945,6257,2020-12-01 11:00:00
80,XBNUSD_i,311.83,311.43,310.91,313.03,311.97,311.79,311.70000000000005,311.8,6723,2020-12-01 11:15:00
81,XBNUSD_i,311.43,311.04,310.53,312.45,311.49,311.34,311.265,311.3625,6866,2020-12-01 11:30:00
82,XBNUSD_i,311.03,312.83,309.22,312.83,311.025,311.6266666666666,311.92749999999995,311.47749999999996,11131,2020-12-01 11:45:00
83,XBNUSD_i,312.83,314.12,312.83,315.64,314.235,314.19666666666666,314.1775,313.855,12197,2020-12-01 12:00:00
84,XBNUSD_i,314.12,314.07,312.74,314.55,313.645,313.78666666666663,313.85749999999996,313.87,8187,2020-12-01 12:15:00
85,XBNUSD_i,314.07,314.04,312.47,314.15,313.31,313.55333333333334,313.675,313.6825,11202,2020-12-01 12:30:00
86,XBNUSD_i,314.04,313.73,313.62,314.8,314.21000000000004,314.05,313.97,314.0475,11884,2020-12-01 12:45:00
87,XBNUSD_i,313.73,319.23,313.73,319.52,316.625,317.49333333333334,317.9275,316.5525,12959,2020-12-01 13:00:00
88,XBNUSD_i,319.2,304.77,301.07,319.2,310.135,308.34666666666664,307.4525,311.06,53785,2020-12-01 13:15:00
89,XBNUSD_i,304.78,306.52,301.21,307.37,304.28999999999996,305.0333333333333,305.405,304.96999999999997,34648,2020-12-01 13:30:00
90,XBNUSD_i,306.52,305.58,304.69,308.08,306.385,306.1166666666666,305.98249999999996,306.2175,20384,2020-12-01 13:45:00
91,XBNUSD_i,305.58,303.77,302.95,306.71,304.83,304.47666666666663,304.29999999999995,304.7525,21618,2020-12-01 14:00:00
92,XBNUSD_i,303.77,278.48,273.24,304.14,288.69,285.2866666666667,283.58500000000004,289.9075,88494,2020-12-01 14:15:00
93,XBNUSD_i,278.5,285.55,269.6,286.65,278.125,280.59999999999997,281.8375,280.075,61519,2020-12-01 14:30:00
94,XBNUSD_i,285.65,282.0,280.46,287.12,283.78999999999996,283.1933333333333,282.895,283.8075,44010,2020-12-01 14:45:00
95,XBNUSD_i,282.0,280.22,277.37,287.85,282.61,281.81333333333333,281.415,281.86,67370,2020-12-01 15:00:00
96,XBNUSD_i,280.22,285.83,278.19,286.58,282.385,283.5333333333333,284.10749999999996,282.705,37478,2020-12-01 15:15:00
97,XBNUSD_i,285.83,290.71,283.33,290.94,287.135,288.32666666666665,288.9225,287.7025,24616,2020-12-01 15:30:00
98,XBNUSD_i,290.71,289.87,288.29,291.39,289.84000000000003,289.85,289.855,290.065,24204,2020-12-01 15:45:00
99,XBNUSD_i,289.87,290.18,286.0,290.18,288.09000000000003,288.7866666666667,289.13500000000005,289.0575,18281,2020-12-01 16:00:00
100,XBNUSD_i,290.18,290.75,288.88,291.8,290.34000000000003,290.4766666666667,290.545,290.40250000000003,17181,2020-12-01 16:15:00
101,XBNUSD_i,290.75,301.42,290.17,302.22,296.19500000000005,297.9366666666667,298.80750000000006,296.14000000000004,27978,2020-12-01 16:30:00
102,XBNUSD_i,301.43,301.96,297.98,304.66,301.32000000000005,301.53333333333336,301.64000000000004,301.50750000000005,35605,2020-12-01 16:45:00
103,XBNUSD_i,301.96,304.47,300.31,307.59,303.95,304.12333333333333,304.21000000000004,303.5825,23916,2020-12-01 17:00:00
104,XBNUSD_i,304.47,306.03,301.44,306.03,303.735,304.5,304.8825,304.4925,23730,2020-12-01 17:15:00
105,XBNUSD_i,306.03,300.57,300.47,306.03,303.25,302.3566666666666,301.90999999999997,303.275,16824,2020-12-01 17:30:00
106,XBNUSD_i,300.57,300.81,298.01,302.24,300.125,300.3533333333333,300.4675,300.40749999999997,21269,2020-12-01 17:45:00
107,XBNUSD_i,300.81,296.44,295.21,303.76,299.485,298.47,297.96250000000003,299.055,27160,2020-12-01 18:00:00
108,XBNUSD_i,296.44,292.52,290.89,296.82,293.855,293.41,293.1875,294.1675,42837,2020-12-01 18:15:00
109,XBNUSD_i,292.52,295.58,291.89,296.94,294.41499999999996,294.8033333333333,294.99749999999995,294.23249999999996,19607,2020-12-01 18:30:00
110,XBNUSD_i,295.58,293.97,292.86,296.59,294.725,294.47333333333336,294.3475,294.75,17555,2020-12-01 18:45:00
111,XBNUSD_i,293.97,289.91,285.85,295.62,290.735,290.46000000000004,290.32250000000005,291.33750000000003,31762,2020-12-01 19:00:00
112,XBNUSD_i,289.91,291.49,288.09,292.02,290.05499999999995,290.5333333333333,290.7725,290.3775,20315,2020-12-01 19:15:00
