,AUDUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,AUDUSD_i,0.76183,0.76216,0.76168,0.76248,0.7620800000000001,0.7621066666666666,0.7621199999999999,0.7620374999999999,619,2020-12-18 23:00:00
1,AUDUSD_i,0.75862,0.75995,0.75862,0.76035,0.759485,0.75964,0.7597174999999999,0.759385,606,2020-12-21 00:00:00
2,AUDUSD_i,0.75995,0.75865,0.75841,0.76058,0.759495,0.7592133333333333,0.7590725,0.7593975,1155,2020-12-21 01:00:00
3,AUDUSD_i,0.75864,0.7591,0.75818,0.75979,0.758985,0.7590233333333334,0.7590425000000001,0.7589275,1667,2020-12-21 02:00:00
4,AUDUSD_i,0.7591,0.75864,0.75798,0.76012,0.75905,0.7589133333333334,0.758845,0.7589600000000001,2308,2020-12-21 03:00:00
5,AUDUSD_i,0.75864,0.75678,0.75642,0.75932,0.75787,0.7575066666666667,0.757325,0.75779,2392,2020-12-21 04:00:00
6,AUDUSD_i,0.75678,0.75706,0.75667,0.75735,0.75701,0.7570266666666666,0.757035,0.756965,1391,2020-12-21 05:00:00
7,AUDUSD_i,0.75706,0.75682,0.75661,0.75744,0.7570250000000001,0.7569566666666668,0.7569225000000002,0.7569825000000001,1016,2020-12-21 06:00:00
8,AUDUSD_i,0.75684,0.75628,0.75563,0.75697,0.7563,0.7562933333333333,0.7562899999999999,0.7564299999999999,1617,2020-12-21 07:00:00
9,AUDUSD_i,0.75628,0.75608,0.75558,0.7565,0.75604,0.7560533333333334,0.75606,0.75611,1761,2020-12-21 08:00:00
10,AUDUSD_i,0.75603,0.75264,0.75215,0.7562,0.754175,0.7536633333333334,0.7534075,0.754255,2722,2020-12-21 09:00:00
11,AUDUSD_i,0.75263,0.75404,0.7521,0.75445,0.7532749999999999,0.7535299999999999,0.7536574999999999,0.7533049999999999,3556,2020-12-21 10:00:00
12,AUDUSD_i,0.75404,0.74964,0.74928,0.75407,0.751675,0.7509966666666666,0.7506575,0.7517575000000001,2359,2020-12-21 11:00:00
13,AUDUSD_i,0.74967,0.74845,0.74611,0.7497,0.747905,0.7480866666666667,0.7481775,0.7484825,4774,2020-12-21 12:00:00
14,AUDUSD_i,0.74845,0.75055,0.74837,0.75207,0.75022,0.7503299999999999,0.750385,0.74986,3385,2020-12-21 13:00:00
15,AUDUSD_i,0.75056,0.75143,0.75047,0.75242,0.7514449999999999,0.75144,0.7514375,0.75122,2668,2020-12-21 14:00:00
16,AUDUSD_i,0.75146,0.7521,0.751,0.75283,0.751915,0.7519766666666667,0.7520075,0.7518475,3718,2020-12-21 15:00:00
17,AUDUSD_i,0.75213,0.75336,0.75212,0.75418,0.75315,0.7532200000000001,0.753255,0.7529475000000001,4240,2020-12-21 16:00:00
18,AUDUSD_i,0.75336,0.75564,0.75308,0.75588,0.75448,0.7548666666666667,0.7550600000000001,0.7544900000000001,4081,2020-12-21 17:00:00
