,BRN_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,BRN_i,41.55,41.67,41.47,41.71,41.59,41.61666666666667,41.63,41.6,228,2020-10-06 09:00:00
1,BRN_i,41.65,41.53,41.4,41.81,41.605000000000004,41.580000000000005,41.5675,41.597500000000004,397,2020-10-06 10:00:00
2,BRN_i,41.52,41.77,41.36,41.77,41.565,41.63333333333333,41.667500000000004,41.605000000000004,401,2020-10-06 11:00:00
3,BRN_i,41.77,41.78,41.73,41.98,41.855,41.83,41.817499999999995,41.815,309,2020-10-06 12:00:00
4,BRN_i,41.77,41.8,41.66,41.92,41.79,41.79333333333333,41.795,41.7875,262,2020-10-06 13:00:00
5,BRN_i,41.83,42.1,41.8,42.21,42.004999999999995,42.03666666666666,42.052499999999995,41.985,265,2020-10-06 14:00:00
6,BRN_i,42.11,42.37,42.11,42.53,42.32,42.336666666666666,42.345,42.28,380,2020-10-06 15:00:00
7,BRN_i,42.37,42.69,42.37,42.88,42.625,42.64666666666667,42.6575,42.5775,521,2020-10-06 16:00:00
8,BRN_i,42.69,42.83,42.58,42.94,42.76,42.78333333333333,42.795,42.76,557,2020-10-06 17:00:00
9,BRN_i,42.83,42.46,42.33,42.89,42.61,42.56,42.535000000000004,42.6275,565,2020-10-06 18:00:00
10,BRN_i,42.47,42.4,42.23,42.53,42.379999999999995,42.38666666666666,42.39,42.4075,399,2020-10-06 19:00:00
11,BRN_i,42.4,42.48,42.35,42.56,42.455,42.46333333333333,42.467499999999994,42.4475,337,2020-10-06 20:00:00
12,BRN_i,42.49,42.36,42.27,42.92,42.595,42.516666666666666,42.4775,42.51,457,2020-10-06 21:00:00
13,BRN_i,42.36,42.23,42.12,42.44,42.28,42.26333333333333,42.254999999999995,42.287499999999994,437,2020-10-06 22:00:00
14,BRN_i,42.24,42.06,42.0,42.36,42.18,42.14,42.120000000000005,42.165,224,2020-10-06 23:00:00
15,BRN_i,42.07,42.02,41.8,42.13,41.965,41.98333333333334,41.99250000000001,42.005,298,2020-10-07 03:00:00
16,BRN_i,42.02,42.13,41.96,42.13,42.045,42.07333333333333,42.0875,42.06,198,2020-10-07 04:00:00
17,BRN_i,42.13,42.03,41.95,42.15,42.05,42.04333333333333,42.04,42.065,209,2020-10-07 05:00:00
18,BRN_i,42.03,42.06,42.0,42.08,42.04,42.04666666666667,42.05,42.042500000000004,144,2020-10-07 06:00:00
19,BRN_i,42.06,42.12,42.05,42.17,42.11,42.11333333333334,42.115,42.1,138,2020-10-07 07:00:00
20,BRN_i,42.11,42.24,42.09,42.32,42.205,42.21666666666667,42.222500000000004,42.19,164,2020-10-07 08:00:00
21,BRN_i,42.23,42.44,42.18,42.49,42.335,42.37,42.3875,42.335,236,2020-10-07 09:00:00
22,BRN_i,42.43,42.33,42.23,42.53,42.379999999999995,42.36333333333333,42.355,42.379999999999995,343,2020-10-07 10:00:00
23,BRN_i,42.34,42.21,42.1,42.41,42.254999999999995,42.24,42.2325,42.265,337,2020-10-07 11:00:00
24,BRN_i,42.22,42.09,41.88,42.23,42.055,42.06666666666667,42.072500000000005,42.105000000000004,294,2020-10-07 12:00:00
25,BRN_i,42.08,41.84,41.66,42.09,41.875,41.86333333333334,41.8575,41.917500000000004,305,2020-10-07 13:00:00
26,BRN_i,41.84,41.93,41.66,41.94,41.8,41.843333333333334,41.865,41.8425,291,2020-10-07 14:00:00
27,BRN_i,41.93,42.19,41.82,42.28,42.05,42.096666666666664,42.12,42.055,380,2020-10-07 15:00:00
28,BRN_i,42.2,41.82,41.81,42.28,42.045,41.97,41.9325,42.0275,517,2020-10-07 16:00:00
29,BRN_i,41.82,41.54,41.49,41.96,41.725,41.663333333333334,41.6325,41.7025,623,2020-10-07 17:00:00
30,BRN_i,41.54,41.76,41.48,41.95,41.715,41.73,41.7375,41.6825,558,2020-10-07 18:00:00
31,BRN_i,41.76,41.67,41.5,41.81,41.655,41.660000000000004,41.6625,41.685,415,2020-10-07 19:00:00
32,BRN_i,41.68,41.95,41.66,42.08,41.87,41.89666666666667,41.91,41.8425,377,2020-10-07 20:00:00
33,BRN_i,41.95,42.11,41.92,42.22,42.07,42.083333333333336,42.09,42.05,363,2020-10-07 21:00:00
34,BRN_i,42.11,42.24,42.06,42.28,42.17,42.193333333333335,42.205000000000005,42.1725,185,2020-10-07 22:00:00
35,BRN_i,42.23,42.22,42.16,42.23,42.19499999999999,42.203333333333326,42.207499999999996,42.209999999999994,72,2020-10-07 23:00:00
36,BRN_i,42.21,42.18,42.13,42.32,42.225,42.21,42.2025,42.21,219,2020-10-08 03:00:00
37,BRN_i,42.18,42.28,42.0,42.29,42.144999999999996,42.19,42.2125,42.1875,225,2020-10-08 04:00:00
38,BRN_i,42.28,42.3,42.2,42.33,42.265,42.276666666666664,42.2825,42.2775,153,2020-10-08 05:00:00
39,BRN_i,42.29,42.19,42.17,42.3,42.235,42.22,42.2125,42.2375,113,2020-10-08 06:00:00
40,BRN_i,42.18,42.22,42.17,42.25,42.21,42.21333333333333,42.215,42.205,93,2020-10-08 07:00:00
41,BRN_i,42.22,42.26,42.21,42.3,42.254999999999995,42.25666666666666,42.25749999999999,42.247499999999995,115,2020-10-08 08:00:00
42,BRN_i,42.27,42.47,42.21,42.49,42.35,42.39,42.41,42.36,198,2020-10-08 09:00:00
43,BRN_i,42.47,42.68,42.43,42.69,42.56,42.6,42.620000000000005,42.5675,306,2020-10-08 10:00:00
44,BRN_i,42.7,42.68,42.45,42.78,42.615,42.63666666666666,42.6475,42.6525,326,2020-10-08 11:00:00
45,BRN_i,42.68,42.72,42.67,42.88,42.775000000000006,42.75666666666667,42.7475,42.737500000000004,284,2020-10-08 12:00:00
46,BRN_i,42.7,42.85,42.69,42.87,42.78,42.803333333333335,42.815,42.7775,234,2020-10-08 13:00:00
47,BRN_i,42.85,42.85,42.83,43.03,42.93,42.903333333333336,42.89,42.89,237,2020-10-08 14:00:00
48,BRN_i,42.84,43.1,42.83,43.16,42.995,43.03,43.0475,42.9825,311,2020-10-08 15:00:00
49,BRN_i,43.08,43.29,42.92,43.34,43.13,43.18333333333334,43.21,43.1575,486,2020-10-08 16:00:00
50,BRN_i,43.3,42.93,42.89,43.4,43.144999999999996,43.07333333333333,43.0375,43.129999999999995,467,2020-10-08 17:00:00
51,BRN_i,42.92,43.18,42.86,43.38,43.120000000000005,43.14000000000001,43.150000000000006,43.08500000000001,483,2020-10-08 18:00:00
52,BRN_i,43.18,43.48,43.08,43.49,43.285,43.349999999999994,43.38249999999999,43.3075,373,2020-10-08 19:00:00
53,BRN_i,43.48,43.4,43.38,43.55,43.465,43.443333333333335,43.432500000000005,43.4525,321,2020-10-08 20:00:00
54,BRN_i,43.4,43.52,43.36,43.53,43.445,43.47,43.4825,43.4525,296,2020-10-08 21:00:00
55,BRN_i,43.53,43.52,43.48,43.57,43.525,43.52333333333333,43.5225,43.525,128,2020-10-08 22:00:00
56,BRN_i,43.52,43.55,43.5,43.56,43.53,43.53666666666667,43.540000000000006,43.532500000000006,92,2020-10-08 23:00:00
57,BRN_i,43.55,43.46,43.34,43.55,43.445,43.449999999999996,43.4525,43.474999999999994,221,2020-10-09 03:00:00
58,BRN_i,43.47,43.45,43.36,43.55,43.455,43.45333333333334,43.4525,43.4575,243,2020-10-09 04:00:00
59,BRN_i,43.44,43.37,43.25,43.45,43.35,43.35666666666666,43.36,43.3775,158,2020-10-09 05:00:00
60,BRN_i,43.36,43.32,43.29,43.4,43.345,43.336666666666666,43.332499999999996,43.3425,121,2020-10-09 06:00:00
61,BRN_i,43.32,43.4,43.25,43.45,43.35,43.36666666666667,43.375,43.355,114,2020-10-09 07:00:00
62,BRN_i,43.39,43.3,43.28,43.41,43.345,43.330000000000005,43.322500000000005,43.345,166,2020-10-09 08:00:00
63,BRN_i,43.29,43.38,43.24,43.51,43.375,43.376666666666665,43.3775,43.355,220,2020-10-09 09:00:00
64,BRN_i,43.38,43.58,43.38,43.66,43.519999999999996,43.54,43.55,43.5,261,2020-10-09 10:00:00
65,BRN_i,43.6,43.16,43.08,43.65,43.364999999999995,43.29666666666666,43.262499999999996,43.372499999999995,394,2020-10-09 11:00:00
66,BRN_i,43.16,43.16,43.0,43.24,43.120000000000005,43.13333333333333,43.14,43.14,271,2020-10-09 12:00:00
67,BRN_i,43.16,43.13,43.01,43.2,43.105000000000004,43.11333333333334,43.1175,43.125,253,2020-10-09 13:00:00
68,BRN_i,43.13,43.16,43.06,43.2,43.13,43.14000000000001,43.145,43.1375,286,2020-10-09 14:00:00
69,BRN_i,43.16,43.26,43.12,43.4,43.26,43.26,43.26,43.235,271,2020-10-09 15:00:00
70,BRN_i,43.25,43.32,43.11,43.41,43.26,43.28,43.29,43.2725,411,2020-10-09 16:00:00
