,CAC40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,CAC40_i,4665.2,4662.4,4662.4,4665.7,4664.049999999999,4663.499999999999,4663.224999999999,4663.924999999999,40,2020-10-28 05:00:00
1,CAC40_i,4662.4,4662.4,4662.4,4662.4,4662.4,4662.4,4662.4,4662.4,47,2020-10-28 06:00:00
2,CAC40_i,4662.4,4669.3,4662.4,4670.8,4666.6,4667.5,4667.95,4666.225,416,2020-10-28 07:00:00
3,CAC40_i,4669.8,4651.9,4646.4,4672.8,4659.6,4657.033333333334,4655.75,4660.225,974,2020-10-28 08:00:00
4,CAC40_i,4652.0,4630.7,4624.0,4664.4,4644.2,4639.7,4637.45,4642.775,3964,2020-10-28 09:00:00
5,CAC40_i,4630.2,4595.5,4551.0,4639.5,4595.25,4595.333333333333,4595.375,4604.05,6925,2020-10-28 10:00:00
6,CAC40_i,4595.5,4601.0,4581.1,4609.0,4595.05,4597.033333333334,4598.025,4596.65,4553,2020-10-28 11:00:00
7,CAC40_i,4601.1,4596.0,4595.5,4627.0,4611.25,4606.166666666667,4603.625,4604.9,3429,2020-10-28 12:00:00
8,CAC40_i,4596.0,4584.5,4572.0,4601.0,4586.5,4585.833333333333,4585.5,4588.375,3255,2020-10-28 13:00:00
9,CAC40_i,4584.5,4562.1,4551.0,4584.8,4567.9,4565.966666666666,4565.0,4570.6,3103,2020-10-28 14:00:00
10,CAC40_i,4562.1,4574.0,4555.1,4587.1,4571.1,4572.066666666667,4572.55,4569.575000000001,3701,2020-10-28 15:00:00
11,CAC40_i,4573.6,4541.6,4526.1,4582.5,4554.3,4550.066666666667,4547.950000000001,4555.950000000001,4657,2020-10-28 16:00:00
12,CAC40_i,4541.0,4566.1,4516.5,4574.5,4545.5,4552.366666666667,4555.8,4549.525,4570,2020-10-28 17:00:00
13,CAC40_i,4565.6,4550.1,4549.0,4581.1,4565.05,4560.066666666667,4557.575000000001,4561.450000000001,3649,2020-10-28 18:00:00
14,CAC40_i,4550.1,4563.1,4533.8,4564.1,4548.950000000001,4553.666666666667,4556.025000000001,4552.775000000001,2695,2020-10-28 19:00:00
15,CAC40_i,4563.1,4566.5,4541.5,4568.6,4555.05,4558.866666666667,4560.775,4559.925,2677,2020-10-28 20:00:00
16,CAC40_i,4566.6,4532.6,4529.1,4567.6,4548.35,4543.1,4540.475,4548.975,3429,2020-10-28 21:00:00
17,CAC40_i,4554.5,4556.5,4552.0,4557.5,4554.75,4555.333333333333,4555.625,4555.125,262,2020-10-29 00:00:00
18,CAC40_i,4555.5,4556.8,4544.0,4558.0,4551.0,4552.933333333333,4553.9,4553.575,1005,2020-10-29 01:00:00
19,CAC40_i,4556.3,4579.9,4552.8,4582.6,4567.700000000001,4571.766666666667,4573.8,4567.900000000001,1518,2020-10-29 02:00:00
20,CAC40_i,4579.4,4570.9,4570.9,4583.9,4577.4,4575.233333333333,4574.15,4576.275,1358,2020-10-29 03:00:00
21,CAC40_i,4570.4,4565.9,4562.4,4572.4,4567.4,4566.9,4566.65,4567.775,819,2020-10-29 04:00:00
22,CAC40_i,4565.9,4570.9,4562.4,4571.9,4567.15,4568.4,4569.025,4567.775,733,2020-10-29 05:00:00
