,CHFJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,CHFJPY_i,116.841,116.974,116.837,117.007,116.922,116.93933333333332,116.948,116.91475,1162,2020-12-18 23:00:00
1,CHFJPY_i,116.824,116.74,116.606,116.874,116.74,116.74,116.74,116.761,522,2020-12-21 00:00:00
2,CHFJPY_i,116.74,116.795,116.691,116.868,116.7795,116.78466666666667,116.78725,116.7735,1247,2020-12-21 01:00:00
3,CHFJPY_i,116.795,116.78,116.7,116.805,116.7525,116.76166666666666,116.76624999999999,116.77,1608,2020-12-21 02:00:00
4,CHFJPY_i,116.781,116.624,116.57,116.821,116.6955,116.67166666666667,116.65975,116.699,1752,2020-12-21 03:00:00
5,CHFJPY_i,116.624,116.599,116.571,116.679,116.625,116.61633333333333,116.612,116.61824999999999,1541,2020-12-21 04:00:00
6,CHFJPY_i,116.599,116.565,116.565,116.659,116.612,116.59633333333333,116.5885,116.597,1157,2020-12-21 05:00:00
7,CHFJPY_i,116.565,116.591,116.551,116.636,116.5935,116.59266666666667,116.59225,116.58575,1056,2020-12-21 06:00:00
8,CHFJPY_i,116.591,116.704,116.541,116.719,116.63,116.65466666666667,116.667,116.63875,1188,2020-12-21 07:00:00
9,CHFJPY_i,116.704,116.666,116.608,116.704,116.656,116.65933333333334,116.661,116.6705,1229,2020-12-21 08:00:00
10,CHFJPY_i,116.667,116.576,116.513,116.693,116.60300000000001,116.59400000000001,116.58950000000002,116.61225000000002,2355,2020-12-21 09:00:00
11,CHFJPY_i,116.577,116.951,116.559,117.047,116.803,116.85233333333333,116.87700000000001,116.7835,3405,2020-12-21 10:00:00
12,CHFJPY_i,116.952,116.731,116.671,116.981,116.826,116.79433333333333,116.7785,116.83375,2571,2020-12-21 11:00:00
13,CHFJPY_i,116.731,116.557,116.409,116.745,116.577,116.57033333333334,116.56700000000001,116.6105,4048,2020-12-21 12:00:00
14,CHFJPY_i,116.558,116.688,116.55,116.782,116.666,116.67333333333333,116.67699999999999,116.6445,3196,2020-12-21 13:00:00
15,CHFJPY_i,116.688,116.622,116.611,116.74,116.6755,116.65766666666667,116.64875,116.66525,2899,2020-12-21 14:00:00
16,CHFJPY_i,116.619,116.671,116.55,116.77,116.66,116.66366666666666,116.6655,116.6525,3449,2020-12-21 15:00:00
17,CHFJPY_i,116.663,116.628,116.61,116.805,116.70750000000001,116.681,116.66775,116.6765,3045,2020-12-21 16:00:00
18,CHFJPY_i,116.628,116.569,116.55,116.724,116.637,116.61433333333333,116.60300000000001,116.61775,2805,2020-12-21 17:00:00
19,CHFJPY_i,116.571,116.737,116.567,116.762,116.6645,116.68866666666668,116.70075,116.65925000000001,2272,2020-12-21 18:00:00
20,CHFJPY_i,116.736,116.739,116.69,116.807,116.7485,116.74533333333333,116.74375,116.743,1570,2020-12-21 19:00:00
21,CHFJPY_i,116.739,116.773,116.72,116.797,116.7585,116.76333333333332,116.76575,116.75725,1550,2020-12-21 20:00:00
22,CHFJPY_i,116.772,116.788,116.717,116.796,116.7565,116.767,116.77225,116.76825,1910,2020-12-21 21:00:00
23,CHFJPY_i,116.785,116.675,116.646,116.8,116.723,116.707,116.699,116.72649999999999,1757,2020-12-21 22:00:00
24,CHFJPY_i,116.679,116.554,116.554,116.682,116.618,116.59666666666665,116.58599999999998,116.61724999999998,1309,2020-12-21 23:00:00
25,CHFJPY_i,116.603,116.54,116.519,116.603,116.561,116.55400000000002,116.55050000000001,116.56625000000001,507,2020-12-22 00:00:00
26,CHFJPY_i,116.54,116.653,116.54,116.708,116.624,116.63366666666667,116.63850000000001,116.61025000000001,900,2020-12-22 01:00:00
27,CHFJPY_i,116.654,116.604,116.563,116.673,116.618,116.61333333333333,116.61099999999999,116.62349999999999,1233,2020-12-22 02:00:00
28,CHFJPY_i,116.604,116.651,116.575,116.7,116.6375,116.642,116.64425,116.6325,1376,2020-12-22 03:00:00
29,CHFJPY_i,116.65,116.615,116.609,116.685,116.64699999999999,116.63633333333333,116.631,116.63974999999999,959,2020-12-22 04:00:00
30,CHFJPY_i,116.615,116.662,116.603,116.687,116.645,116.65066666666667,116.65350000000001,116.64175,974,2020-12-22 05:00:00
31,CHFJPY_i,116.662,116.661,116.602,116.671,116.63650000000001,116.64466666666668,116.64875,116.649,977,2020-12-22 06:00:00
32,CHFJPY_i,116.659,116.624,116.583,116.675,116.62899999999999,116.62733333333331,116.6265,116.63524999999998,934,2020-12-22 07:00:00
33,CHFJPY_i,116.624,116.568,116.527,116.627,116.577,116.574,116.57249999999999,116.5865,1116,2020-12-22 08:00:00
34,CHFJPY_i,116.556,116.601,116.536,116.682,116.60900000000001,116.60633333333334,116.605,116.59375,2166,2020-12-22 09:00:00
35,CHFJPY_i,116.601,116.549,116.38,116.61,116.495,116.51299999999999,116.52199999999999,116.535,2032,2020-12-22 10:00:00
36,CHFJPY_i,116.549,116.554,116.508,116.603,116.5555,116.55499999999999,116.55474999999998,116.55349999999999,1850,2020-12-22 11:00:00
37,CHFJPY_i,116.554,116.757,116.522,116.768,116.64500000000001,116.68233333333335,116.70100000000001,116.65025,2236,2020-12-22 12:00:00
38,CHFJPY_i,116.759,116.758,116.717,116.813,116.765,116.76266666666668,116.7615,116.76175,1962,2020-12-22 13:00:00
39,CHFJPY_i,116.759,116.747,116.689,116.801,116.745,116.74566666666668,116.74600000000001,116.74900000000001,2141,2020-12-22 14:00:00
40,CHFJPY_i,116.752,116.829,116.689,116.865,116.77699999999999,116.79433333333333,116.803,116.78375,2287,2020-12-22 15:00:00
41,CHFJPY_i,116.829,116.694,116.681,116.89,116.7855,116.755,116.73975,116.7735,2611,2020-12-22 16:00:00
42,CHFJPY_i,116.698,116.584,116.548,116.773,116.6605,116.63499999999999,116.62225,116.65074999999999,3288,2020-12-22 17:00:00
43,CHFJPY_i,116.583,116.545,116.534,116.639,116.5865,116.57266666666668,116.56575000000001,116.57525000000001,2891,2020-12-22 18:00:00
44,CHFJPY_i,116.545,116.548,116.518,116.604,116.561,116.55666666666667,116.5545,116.55375000000001,1786,2020-12-22 19:00:00
45,CHFJPY_i,116.548,116.505,116.461,116.548,116.50450000000001,116.50466666666667,116.50475,116.5155,1229,2020-12-22 20:00:00
46,CHFJPY_i,116.505,116.436,116.435,116.542,116.4885,116.471,116.46225000000001,116.4795,874,2020-12-22 21:00:00
47,CHFJPY_i,116.437,116.47,116.424,116.484,116.45400000000001,116.45933333333335,116.46200000000002,116.45375000000001,932,2020-12-22 22:00:00
48,CHFJPY_i,116.462,116.45,116.404,116.524,116.464,116.45933333333333,116.457,116.46,1642,2020-12-22 23:00:00
49,CHFJPY_i,116.446,116.453,116.408,116.555,116.48150000000001,116.47200000000002,116.46725,116.46550000000002,888,2020-12-23 00:00:00
50,CHFJPY_i,116.455,116.563,116.435,116.568,116.5015,116.52199999999999,116.53224999999999,116.50524999999999,989,2020-12-23 01:00:00
51,CHFJPY_i,116.564,116.488,116.46,116.569,116.5145,116.50566666666667,116.50125,116.52025,1559,2020-12-23 02:00:00
52,CHFJPY_i,116.491,116.561,116.433,116.572,116.5025,116.522,116.53175000000002,116.51425,1616,2020-12-23 03:00:00
53,CHFJPY_i,116.561,116.522,116.486,116.596,116.541,116.53466666666667,116.5315,116.54124999999999,1107,2020-12-23 04:00:00
54,CHFJPY_i,116.522,116.576,116.517,116.576,116.5465,116.55633333333333,116.56125,116.54775,920,2020-12-23 05:00:00
55,CHFJPY_i,116.576,116.49,116.488,116.577,116.5325,116.51833333333333,116.51125,116.53275,828,2020-12-23 06:00:00
56,CHFJPY_i,116.49,116.476,116.457,116.501,116.479,116.478,116.47749999999999,116.481,641,2020-12-23 07:00:00
57,CHFJPY_i,116.476,116.436,116.424,116.502,116.463,116.454,116.4495,116.45949999999999,758,2020-12-23 08:00:00
58,CHFJPY_i,116.436,116.378,116.355,116.488,116.42150000000001,116.407,116.39975,116.41425000000001,1523,2020-12-23 09:00:00
59,CHFJPY_i,116.378,116.329,116.284,116.389,116.3365,116.334,116.33275,116.345,1983,2020-12-23 10:00:00
60,CHFJPY_i,116.325,116.304,116.26,116.367,116.3135,116.31033333333335,116.30875,116.31400000000001,1681,2020-12-23 11:00:00
61,CHFJPY_i,116.306,116.216,116.189,116.35,116.2695,116.25166666666667,116.24275,116.26525,1485,2020-12-23 12:00:00
62,CHFJPY_i,116.214,116.202,116.19,116.274,116.232,116.222,116.217,116.22,1559,2020-12-23 13:00:00
63,CHFJPY_i,116.202,116.203,116.168,116.274,116.221,116.21499999999999,116.21199999999999,116.21175,1241,2020-12-23 14:00:00
64,CHFJPY_i,116.203,116.22,116.19,116.295,116.2425,116.23500000000001,116.23125000000002,116.227,2491,2020-12-23 15:00:00
65,CHFJPY_i,116.22,116.474,116.138,116.586,116.362,116.39933333333333,116.41799999999999,116.3545,3475,2020-12-23 16:00:00
66,CHFJPY_i,116.471,116.437,116.36,116.564,116.46199999999999,116.45366666666666,116.4495,116.458,3612,2020-12-23 17:00:00
