,ETHUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,ETHUSD_i,1782.09,1784.99,1779.19,1786.59,1782.8899999999999,1783.59,1783.9399999999998,1783.215,4360,2021-03-22 06:00:00
1,ETHUSD_i,1784.99,1786.38,1779.29,1791.49,1785.3899999999999,1785.72,1785.885,1785.5375,4122,2021-03-22 07:00:00
2,ETHUSD_i,1786.28,1788.29,1786.28,1793.09,1789.685,1789.22,1788.9875,1788.485,8497,2021-03-22 08:00:00
3,ETHUSD_i,1788.29,1787.19,1782.29,1793.99,1788.1399999999999,1787.823333333333,1787.665,1787.9399999999998,9202,2021-03-22 09:00:00
4,ETHUSD_i,1787.19,1778.83,1777.29,1788.39,1782.8400000000001,1781.5033333333333,1780.835,1782.9250000000002,9285,2021-03-22 10:00:00
5,ETHUSD_i,1778.83,1780.99,1772.89,1780.99,1776.94,1778.29,1778.965,1778.425,9880,2021-03-22 11:00:00
6,ETHUSD_i,1780.99,1795.19,1778.79,1807.09,1792.94,1793.6899999999998,1794.065,1790.5149999999999,11527,2021-03-22 12:00:00
7,ETHUSD_i,1795.19,1795.89,1791.23,1804.09,1797.6599999999999,1797.07,1796.775,1796.6,8634,2021-03-22 13:00:00
8,ETHUSD_i,1795.99,1783.29,1776.29,1797.79,1787.04,1785.79,1785.165,1788.34,13258,2021-03-22 14:00:00
9,ETHUSD_i,1783.29,1776.89,1768.79,1790.18,1779.4850000000001,1778.6200000000001,1778.1875000000002,1779.7875000000001,14487,2021-03-22 15:00:00
10,ETHUSD_i,1776.89,1779.29,1773.29,1783.99,1778.6399999999999,1778.8566666666666,1778.965,1778.365,13421,2021-03-22 16:00:00
11,ETHUSD_i,1779.29,1778.39,1776.79,1785.49,1781.1399999999999,1780.2233333333334,1779.765,1779.99,10586,2021-03-22 17:00:00
12,ETHUSD_i,1778.39,1772.49,1757.19,1781.99,1769.5900000000001,1770.5566666666666,1771.04,1772.515,15842,2021-03-22 18:00:00
13,ETHUSD_i,1772.49,1779.63,1766.69,1780.69,1773.69,1775.67,1776.66,1774.875,8118,2021-03-22 19:00:00
14,ETHUSD_i,1779.63,1771.79,1767.99,1781.79,1774.8899999999999,1773.8566666666666,1773.34,1775.3,11412,2021-03-22 20:00:00
15,ETHUSD_i,1771.79,1738.79,1738.39,1771.89,1755.14,1749.6899999999998,1746.965,1755.215,20702,2021-03-22 21:00:00
16,ETHUSD_i,1738.58,1675.58,1675.48,1744.49,1709.9850000000001,1698.5166666666667,1692.7825,1708.5325,36256,2021-03-22 22:00:00
17,ETHUSD_i,1678.59,1694.69,1655.19,1694.79,1674.99,1681.5566666666666,1684.8400000000001,1680.815,27022,2021-03-23 00:00:00
18,ETHUSD_i,1694.69,1681.19,1681.19,1703.28,1692.2350000000001,1688.5533333333333,1686.7125,1690.0875,21434,2021-03-23 01:00:00
19,ETHUSD_i,1681.19,1690.89,1667.59,1692.59,1680.09,1683.6899999999998,1685.49,1683.065,23165,2021-03-23 02:00:00
20,ETHUSD_i,1690.69,1707.29,1686.29,1712.29,1699.29,1701.9566666666667,1703.29,1699.1399999999999,14869,2021-03-23 03:00:00
21,ETHUSD_i,1707.29,1691.89,1688.49,1708.99,1698.74,1696.4566666666667,1695.315,1699.165,16813,2021-03-23 04:00:00
22,ETHUSD_i,1691.89,1700.69,1687.49,1700.69,1694.0900000000001,1696.2900000000002,1697.3900000000003,1695.1900000000003,14838,2021-03-23 05:00:00
23,ETHUSD_i,1700.69,1691.99,1685.69,1703.19,1694.44,1693.6233333333332,1693.215,1695.3899999999999,12052,2021-03-23 06:00:00
24,ETHUSD_i,1691.99,1675.99,1663.48,1693.99,1678.7350000000001,1677.82,1677.3625,1681.3625,23685,2021-03-23 07:00:00
25,ETHUSD_i,1675.99,1654.19,1649.68,1676.99,1663.335,1660.2866666666669,1658.7625000000003,1664.2125,27719,2021-03-23 08:00:00
26,ETHUSD_i,1654.19,1677.83,1654.19,1680.83,1667.51,1670.95,1672.67,1666.7600000000002,16842,2021-03-23 09:00:00
27,ETHUSD_i,1677.78,1679.89,1665.19,1681.89,1673.54,1675.6566666666668,1676.7150000000001,1676.1875,14260,2021-03-23 10:00:00
28,ETHUSD_i,1679.89,1685.29,1676.53,1688.69,1682.6100000000001,1683.5033333333333,1683.95,1682.6000000000001,10791,2021-03-23 11:00:00
29,ETHUSD_i,1685.29,1688.09,1682.69,1690.59,1686.6399999999999,1687.1233333333332,1687.365,1686.665,10777,2021-03-23 12:00:00
30,ETHUSD_i,1688.09,1685.59,1679.28,1694.99,1687.135,1686.62,1686.3625,1686.9875,11600,2021-03-23 13:00:00
31,ETHUSD_i,1685.79,1703.59,1685.79,1708.09,1696.94,1699.1566666666668,1700.265,1695.815,17075,2021-03-23 14:00:00
32,ETHUSD_i,1703.59,1707.63,1702.19,1715.79,1708.99,1708.5366666666669,1708.3100000000002,1707.3000000000002,13623,2021-03-23 15:00:00
33,ETHUSD_i,1707.59,1706.38,1689.13,1711.89,1700.5100000000002,1702.466666666667,1703.4450000000002,1703.7475000000002,16645,2021-03-23 16:00:00
34,ETHUSD_i,1706.43,1702.28,1701.33,1712.63,1706.98,1705.4133333333332,1704.6299999999999,1705.6675,9781,2021-03-23 17:00:00
35,ETHUSD_i,1702.33,1709.99,1692.88,1718.99,1705.935,1707.2866666666666,1707.9624999999999,1706.0475,18322,2021-03-23 18:00:00
36,ETHUSD_i,1709.99,1714.89,1707.33,1718.29,1712.81,1713.5033333333333,1713.8500000000001,1712.625,10572,2021-03-23 19:00:00
37,ETHUSD_i,1714.89,1707.29,1706.59,1719.49,1713.04,1711.1233333333332,1710.165,1712.065,9575,2021-03-23 20:00:00
38,ETHUSD_i,1706.98,1704.93,1692.78,1711.99,1702.385,1703.2333333333333,1703.6575,1704.17,17311,2021-03-23 21:00:00
39,ETHUSD_i,1704.89,1671.33,1668.99,1706.19,1687.5900000000001,1682.17,1679.46,1687.8500000000001,16109,2021-03-23 22:00:00
40,ETHUSD_i,1667.09,1664.59,1662.63,1681.23,1671.93,1669.4833333333333,1668.26,1668.885,17837,2021-03-24 00:00:00
41,ETHUSD_i,1664.43,1667.63,1663.33,1677.69,1670.51,1669.55,1669.07,1668.27,15418,2021-03-24 01:00:00
42,ETHUSD_i,1667.59,1656.29,1654.19,1678.33,1666.26,1662.9366666666665,1661.2749999999999,1664.1,21290,2021-03-24 02:00:00
43,ETHUSD_i,1656.29,1674.78,1653.19,1677.99,1665.5900000000001,1668.6533333333334,1670.185,1665.5625,16452,2021-03-24 03:00:00
44,ETHUSD_i,1674.78,1679.49,1671.29,1682.73,1677.01,1677.8366666666668,1678.25,1677.0725,12450,2021-03-24 04:00:00
45,ETHUSD_i,1679.49,1680.79,1674.29,1686.73,1680.51,1680.6033333333332,1680.6499999999999,1680.3249999999998,9741,2021-03-24 05:00:00
46,ETHUSD_i,1680.08,1678.88,1675.88,1689.59,1682.7350000000001,1681.45,1680.8075000000001,1681.1075,13723,2021-03-24 06:00:00
47,ETHUSD_i,1678.88,1673.89,1670.19,1683.99,1677.0900000000001,1676.0233333333335,1675.4900000000002,1676.7375000000002,13249,2021-03-24 07:00:00
48,ETHUSD_i,1673.73,1683.83,1661.19,1688.08,1674.635,1677.7,1679.2325,1676.7075,19728,2021-03-24 08:00:00
49,ETHUSD_i,1683.83,1697.29,1683.19,1703.29,1693.24,1694.5900000000001,1695.265,1691.9,20212,2021-03-24 09:00:00
50,ETHUSD_i,1697.29,1713.79,1696.79,1719.09,1707.94,1709.89,1710.865,1706.74,11673,2021-03-24 10:00:00
51,ETHUSD_i,1713.79,1711.99,1708.68,1719.09,1713.885,1713.2533333333333,1712.9375,1713.3875,4521,2021-03-24 11:00:00
52,ETHUSD_i,1711.99,1714.59,1708.68,1716.29,1712.4850000000001,1713.1866666666667,1713.5375000000001,1712.8875,5969,2021-03-24 12:00:00
53,ETHUSD_i,1714.59,1714.59,1707.29,1714.59,1710.94,1712.1566666666668,1712.765,1712.765,6324,2021-03-24 13:00:00
54,ETHUSD_i,1714.59,1730.89,1714.59,1739.99,1727.29,1728.49,1729.0900000000001,1725.015,8248,2021-03-24 14:00:00
55,ETHUSD_i,1730.89,1722.83,1715.79,1732.49,1724.1399999999999,1723.7033333333331,1723.485,1725.5,7592,2021-03-24 15:00:00
56,ETHUSD_i,1722.83,1721.49,1719.29,1726.39,1722.8400000000001,1722.39,1722.165,1722.5,9241,2021-03-24 16:00:00
57,ETHUSD_i,1721.49,1720.09,1712.79,1726.49,1719.6399999999999,1719.79,1719.865,1720.215,13098,2021-03-24 17:00:00
58,ETHUSD_i,1720.09,1701.79,1701.43,1724.79,1713.1100000000001,1709.3366666666668,1707.45,1712.025,15151,2021-03-24 18:00:00
59,ETHUSD_i,1701.79,1696.29,1695.79,1708.49,1702.1399999999999,1700.1899999999998,1699.215,1700.59,14700,2021-03-24 19:00:00
60,ETHUSD_i,1696.29,1666.39,1666.29,1700.49,1683.3899999999999,1677.7233333333334,1674.89,1682.365,16876,2021-03-24 20:00:00
61,ETHUSD_i,1666.29,1635.89,1624.38,1672.99,1648.685,1644.42,1642.2875000000001,1649.8875,29993,2021-03-24 21:00:00
62,ETHUSD_i,1635.68,1611.53,1581.69,1636.79,1609.24,1610.0033333333333,1610.385,1616.4225000000001,47436,2021-03-24 22:00:00
63,ETHUSD_i,1612.88,1585.19,1545.19,1612.93,1579.06,1581.1033333333332,1582.125,1589.0475,50074,2021-03-25 00:00:00
64,ETHUSD_i,1585.19,1584.99,1573.09,1596.69,1584.8899999999999,1584.9233333333332,1584.9399999999998,1584.9899999999998,25329,2021-03-25 01:00:00
65,ETHUSD_i,1584.99,1590.29,1577.29,1597.39,1587.3400000000001,1588.3233333333335,1588.815,1587.49,23302,2021-03-25 02:00:00
66,ETHUSD_i,1590.29,1552.19,1551.19,1590.99,1571.0900000000001,1564.7900000000002,1561.6400000000003,1571.1650000000002,22127,2021-03-25 03:00:00
67,ETHUSD_i,1552.19,1568.99,1547.49,1577.53,1562.51,1564.67,1565.75,1561.5500000000002,26884,2021-03-25 04:00:00
68,ETHUSD_i,1568.99,1569.09,1558.59,1579.89,1569.24,1569.1899999999998,1569.165,1569.1399999999999,17567,2021-03-25 05:00:00
69,ETHUSD_i,1569.09,1570.39,1561.29,1579.29,1570.29,1570.3233333333335,1570.3400000000001,1570.015,14090,2021-03-25 06:00:00
70,ETHUSD_i,1570.39,1584.29,1567.79,1590.19,1578.99,1580.756666666667,1581.64,1578.1650000000002,12760,2021-03-25 07:00:00
71,ETHUSD_i,1584.29,1592.69,1583.29,1595.09,1589.19,1590.3566666666666,1590.94,1588.84,11933,2021-03-25 08:00:00
72,ETHUSD_i,1592.69,1572.03,1571.29,1594.39,1582.8400000000001,1579.2366666666667,1577.435,1582.6,15377,2021-03-25 09:00:00
73,ETHUSD_i,1572.09,1595.43,1571.29,1602.89,1587.0900000000001,1589.8700000000001,1591.2600000000002,1585.4250000000002,22991,2021-03-25 10:00:00
74,ETHUSD_i,1595.48,1608.69,1589.39,1610.69,1600.04,1602.9233333333334,1604.3650000000002,1601.0625,16665,2021-03-25 11:00:00
75,ETHUSD_i,1608.69,1616.39,1596.49,1616.39,1606.44,1609.756666666667,1611.4150000000002,1609.4900000000002,16726,2021-03-25 12:00:00
76,ETHUSD_i,1616.39,1590.89,1590.89,1619.59,1605.24,1600.4566666666667,1598.065,1604.44,19893,2021-03-25 13:00:00
77,ETHUSD_i,1590.89,1575.49,1554.19,1598.49,1576.3400000000001,1576.0566666666666,1575.915,1579.765,38129,2021-03-25 14:00:00
78,ETHUSD_i,1575.49,1594.99,1560.79,1599.99,1580.3899999999999,1585.2566666666664,1587.6899999999998,1582.8149999999998,28769,2021-03-25 15:00:00
79,ETHUSD_i,1594.99,1598.58,1592.79,1611.09,1601.94,1600.82,1600.26,1599.3625,21628,2021-03-25 16:00:00
80,ETHUSD_i,1598.58,1593.88,1578.33,1601.63,1589.98,1591.28,1591.93,1593.105,26283,2021-03-25 17:00:00
81,ETHUSD_i,1593.99,1591.58,1571.19,1604.49,1587.8400000000001,1589.0866666666668,1589.71,1590.3125,35293,2021-03-25 18:00:00
82,ETHUSD_i,1591.63,1604.09,1586.18,1607.99,1597.085,1599.42,1600.5875,1597.4725,20174,2021-03-25 19:00:00
