,EURGBP_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURGBP_i,0.90712,0.9073,0.90675,0.90812,0.907435,0.90739,0.9073675000000001,0.9073225,995,2020-12-18 23:00:00
1,EURGBP_i,0.91108,0.91013,0.90925,0.91153,0.91039,0.9103033333333334,0.9102600000000001,0.9104975000000001,715,2020-12-21 00:00:00
2,EURGBP_i,0.91013,0.91089,0.90968,0.91158,0.91063,0.9107166666666666,0.91076,0.91057,1459,2020-12-21 01:00:00
3,EURGBP_i,0.91088,0.91088,0.91008,0.91129,0.910685,0.9107500000000001,0.9107825,0.9107825,1747,2020-12-21 02:00:00
4,EURGBP_i,0.91088,0.9124,0.91087,0.91313,0.9119999999999999,0.9121333333333332,0.9121999999999999,0.91182,1850,2020-12-21 03:00:00
5,EURGBP_i,0.91242,0.91295,0.91174,0.91353,0.912635,0.91274,0.9127925,0.91266,2426,2020-12-21 04:00:00
6,EURGBP_i,0.91295,0.91215,0.91185,0.91356,0.9127050000000001,0.9125200000000001,0.9124275000000001,0.9126275,1282,2020-12-21 05:00:00
7,EURGBP_i,0.91215,0.91197,0.91132,0.91263,0.911975,0.9119733333333334,0.9119725000000001,0.9120175,875,2020-12-21 06:00:00
8,EURGBP_i,0.91196,0.91174,0.91144,0.91242,0.91193,0.9118666666666666,0.911835,0.91189,1237,2020-12-21 07:00:00
9,EURGBP_i,0.91174,0.91254,0.91148,0.91284,0.91216,0.9122866666666667,0.91235,0.91215,1516,2020-12-21 08:00:00
10,EURGBP_i,0.91251,0.91622,0.91244,0.91699,0.914715,0.9152166666666667,0.9154675,0.91454,3598,2020-12-21 09:00:00
11,EURGBP_i,0.91621,0.92043,0.91621,0.92052,0.918365,0.9190533333333333,0.9193975,0.9183425,5140,2020-12-21 10:00:00
12,EURGBP_i,0.92043,0.92066,0.91947,0.92123,0.92035,0.9204533333333332,0.9205049999999999,0.9204475,4304,2020-12-21 11:00:00
13,EURGBP_i,0.92062,0.91744,0.91715,0.92138,0.919265,0.9186566666666667,0.9183525,0.9191475,6261,2020-12-21 12:00:00
14,EURGBP_i,0.91744,0.91592,0.91592,0.91901,0.917465,0.9169499999999999,0.9166924999999999,0.9170725,4584,2020-12-21 13:00:00
15,EURGBP_i,0.91593,0.91546,0.9153,0.91736,0.91633,0.9160400000000001,0.915895,0.9160125,3731,2020-12-21 14:00:00
16,EURGBP_i,0.91546,0.91516,0.91497,0.91701,0.91599,0.9157133333333333,0.915575,0.91565,4073,2020-12-21 15:00:00
17,EURGBP_i,0.91522,0.91758,0.91508,0.91792,0.9165,0.9168599999999999,0.91704,0.91645,3241,2020-12-21 16:00:00
18,EURGBP_i,0.91758,0.91688,0.91636,0.91843,0.917395,0.9172233333333333,0.9171374999999999,0.9173125,3925,2020-12-21 17:00:00
19,EURGBP_i,0.91686,0.91567,0.91452,0.91701,0.9157649999999999,0.9157333333333333,0.9157175,0.916015,2896,2020-12-21 18:00:00
20,EURGBP_i,0.91567,0.91572,0.9149,0.91704,0.91597,0.9158866666666666,0.9158449999999999,0.9158324999999999,2325,2020-12-21 19:00:00
21,EURGBP_i,0.91578,0.91543,0.91475,0.9158,0.915275,0.9153266666666666,0.9153525,0.91544,1899,2020-12-21 20:00:00
22,EURGBP_i,0.91543,0.90963,0.90657,0.91552,0.911045,0.9105733333333333,0.9103375,0.9117875,4042,2020-12-21 21:00:00
23,EURGBP_i,0.90963,0.90885,0.90777,0.91,0.9088849999999999,0.9088733333333333,0.9088675,0.9090625,2620,2020-12-21 22:00:00
24,EURGBP_i,0.90885,0.90891,0.90843,0.91018,0.909305,0.9091733333333334,0.9091075000000001,0.9090925000000001,1628,2020-12-21 23:00:00
25,EURGBP_i,0.90873,0.90949,0.90844,0.9102,0.90932,0.9093766666666667,0.909405,0.9092150000000001,1147,2020-12-22 00:00:00
26,EURGBP_i,0.90949,0.90945,0.90889,0.90995,0.90942,0.90943,0.909435,0.909445,1162,2020-12-22 01:00:00
27,EURGBP_i,0.90945,0.91088,0.90934,0.91132,0.9103300000000001,0.9105133333333334,0.9106050000000001,0.9102475000000001,1447,2020-12-22 02:00:00
28,EURGBP_i,0.91087,0.9118,0.91057,0.912,0.911285,0.9114566666666667,0.9115425,0.9113100000000001,1613,2020-12-22 03:00:00
29,EURGBP_i,0.91179,0.91108,0.91094,0.9118,0.91137,0.9112733333333334,0.9112250000000001,0.9114025,1446,2020-12-22 04:00:00
30,EURGBP_i,0.91108,0.91154,0.91092,0.91163,0.9112750000000001,0.9113633333333334,0.9114075,0.9112925000000001,974,2020-12-22 05:00:00
31,EURGBP_i,0.91153,0.9126,0.91145,0.91293,0.9121900000000001,0.9123266666666666,0.912395,0.9121275,1022,2020-12-22 06:00:00
32,EURGBP_i,0.9126,0.91225,0.91178,0.91263,0.912205,0.91222,0.9122275,0.912315,908,2020-12-22 07:00:00
33,EURGBP_i,0.91225,0.91168,0.9107,0.9124,0.91155,0.9115933333333333,0.911615,0.9117575,1363,2020-12-22 08:00:00
34,EURGBP_i,0.9116,0.90908,0.90848,0.91173,0.9101049999999999,0.9097633333333333,0.9095924999999999,0.9102224999999999,2535,2020-12-22 09:00:00
35,EURGBP_i,0.90908,0.90954,0.90811,0.9099,0.9090050000000001,0.9091833333333333,0.9092724999999999,0.9091575,3299,2020-12-22 10:00:00
