,EURJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURJPY_i,126.497,126.58,126.491,126.634,126.5625,126.56833333333333,126.57124999999999,126.5505,864,2020-12-18 23:00:00
1,EURJPY_i,126.527,126.443,126.319,126.556,126.4375,126.43933333333332,126.44024999999999,126.46124999999999,555,2020-12-21 00:00:00
2,EURJPY_i,126.44,126.356,126.249,126.477,126.363,126.36066666666666,126.3595,126.3805,1980,2020-12-21 01:00:00
3,EURJPY_i,126.355,126.274,126.198,126.357,126.2775,126.27633333333334,126.27575,126.296,2756,2020-12-21 02:00:00
4,EURJPY_i,126.274,126.101,126.029,126.319,126.174,126.14966666666668,126.1375,126.18075,2890,2020-12-21 03:00:00
5,EURJPY_i,126.101,125.96,125.9,126.139,126.0195,125.99966666666666,125.98974999999999,126.02499999999999,2929,2020-12-21 04:00:00
6,EURJPY_i,125.96,125.948,125.944,126.047,125.99549999999999,125.97966666666666,125.97174999999999,125.97474999999999,1756,2020-12-21 05:00:00
7,EURJPY_i,125.947,126.031,125.944,126.06,126.00200000000001,126.01166666666667,126.01650000000001,125.9955,1284,2020-12-21 06:00:00
8,EURJPY_i,126.031,126.125,125.96,126.125,126.04249999999999,126.07,126.08375,126.06025,1879,2020-12-21 07:00:00
9,EURJPY_i,126.125,126.15,126.008,126.151,126.0795,126.103,126.11474999999999,126.10849999999999,1920,2020-12-21 08:00:00
10,EURJPY_i,126.15,126.133,126.006,126.181,126.0935,126.10666666666667,126.11325,126.1175,3712,2020-12-21 09:00:00
11,EURJPY_i,126.13,126.485,126.112,126.543,126.3275,126.38,126.40625,126.3175,5668,2020-12-21 10:00:00
12,EURJPY_i,126.485,126.289,126.219,126.494,126.3565,126.334,126.32275,126.37175,4615,2020-12-21 11:00:00
13,EURJPY_i,126.289,126.116,125.951,126.301,126.126,126.12266666666666,126.121,126.16425,6982,2020-12-21 12:00:00
14,EURJPY_i,126.116,126.106,126.105,126.345,126.225,126.18533333333333,126.1655,126.16799999999999,4863,2020-12-21 13:00:00
15,EURJPY_i,126.108,125.983,125.976,126.235,126.1055,126.06466666666667,126.04425,126.0755,5122,2020-12-21 14:00:00
16,EURJPY_i,125.986,126.205,125.958,126.355,126.1565,126.17266666666666,126.18074999999999,126.12599999999999,5212,2020-12-21 15:00:00
17,EURJPY_i,126.208,126.447,126.19,126.502,126.346,126.37966666666667,126.3965,126.33675,4511,2020-12-21 16:00:00
18,EURJPY_i,126.447,126.372,126.341,126.519,126.43,126.41066666666667,126.40100000000001,126.41975000000001,4500,2020-12-21 17:00:00
19,EURJPY_i,126.373,126.502,126.319,126.541,126.43,126.45400000000001,126.46600000000001,126.43375,3507,2020-12-21 18:00:00
20,EURJPY_i,126.502,126.497,126.454,126.548,126.501,126.49966666666667,126.49900000000001,126.50025000000001,2226,2020-12-21 19:00:00
21,EURJPY_i,126.497,126.542,126.448,126.581,126.5145,126.52366666666667,126.52825000000001,126.51700000000001,1965,2020-12-21 20:00:00
22,EURJPY_i,126.54,126.563,126.481,126.593,126.537,126.54566666666666,126.55,126.54425,2981,2020-12-21 21:00:00
