,GER40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GER40_i,13290.8,13307.8,13287.8,13310.3,13299.05,13301.966666666665,13303.425,13299.175,2871,2019-12-17 18:00:00
1,GER40_i,13307.3,13305.3,13303.8,13309.3,13306.55,13306.133333333331,13305.925,13306.425,1006,2019-12-17 19:00:00
2,GER40_i,13305.3,13294.8,13284.3,13305.8,13295.05,13294.966666666665,13294.925,13297.55,1358,2019-12-17 20:00:00
3,GER40_i,13294.8,13293.3,13287.8,13298.3,13293.05,13293.133333333331,13293.175,13293.55,1210,2019-12-17 21:00:00
4,GER40_i,13293.3,13295.3,13289.3,13295.8,13292.55,13293.466666666665,13293.925,13293.425,475,2019-12-17 22:00:00
5,GER40_i,13263.1,13255.6,13254.6,13271.1,13262.85,13260.433333333334,13259.225,13261.1,1140,2019-12-18 09:00:00
6,GER40_i,13256.1,13280.5,13241.1,13282.5,13261.8,13268.033333333333,13271.15,13265.05,5904,2019-12-18 10:00:00
7,GER40_i,13280.0,13283.1,13261.6,13290.6,13276.1,13278.433333333334,13279.6,13278.825,4086,2019-12-18 11:00:00
8,GER40_i,13283.5,13270.4,13257.9,13287.5,13272.7,13271.933333333334,13271.550000000001,13274.825,2239,2019-12-18 12:00:00
9,GER40_i,13269.9,13260.0,13250.4,13274.5,13262.45,13261.633333333333,13261.225,13263.7,2413,2019-12-18 13:00:00
10,GER40_i,13260.0,13255.4,13239.4,13264.0,13251.7,13252.933333333334,13253.550000000001,13254.7,2156,2019-12-18 14:00:00
11,GER40_i,13255.0,13240.5,13237.0,13265.9,13251.45,13247.800000000001,13245.975,13249.6,2131,2019-12-18 15:00:00
12,GER40_i,13240.5,13252.4,13239.9,13277.5,13258.7,13256.6,13255.550000000001,13252.575,2911,2019-12-18 16:00:00
13,GER40_i,13252.4,13231.5,13218.4,13253.0,13235.7,13234.300000000001,13233.6,13238.825,3212,2019-12-18 17:00:00
14,GER40_i,13231.5,13219.4,13209.9,13239.9,13224.9,13223.066666666666,13222.15,13225.175,2923,2019-12-18 18:00:00
15,GER40_i,13218.9,13222.9,13215.9,13224.9,13220.4,13221.233333333332,13221.65,13220.65,1268,2019-12-18 19:00:00
16,GER40_i,13222.9,13224.9,13222.4,13228.9,13225.65,13225.4,13225.275,13224.775,840,2019-12-18 20:00:00
17,GER40_i,13225.4,13229.4,13222.4,13229.9,13226.15,13227.233333333332,13227.775,13226.775,710,2019-12-18 21:00:00
18,GER40_i,13229.4,13227.4,13226.4,13231.9,13229.15,13228.566666666666,13228.275,13228.775,475,2019-12-18 22:00:00
19,GER40_i,13233.6,13242.9,13230.5,13243.4,13236.95,13238.933333333334,13239.925000000001,13237.6,1050,2019-12-19 09:00:00
20,GER40_i,13242.4,13210.1,13166.5,13257.5,13212.0,13211.366666666667,13211.05,13219.125,6478,2019-12-19 10:00:00
21,GER40_i,13210.1,13208.5,13189.1,13229.6,13209.35,13209.066666666666,13208.925,13209.324999999999,4671,2019-12-19 11:00:00
22,GER40_i,13210.1,13189.7,13174.7,13211.1,13192.900000000001,13191.833333333334,13191.3,13196.4,3968,2019-12-19 12:00:00
23,GER40_i,13189.8,13188.1,13172.5,13192.8,13182.65,13184.466666666667,13185.375,13185.8,2675,2019-12-19 13:00:00
24,GER40_i,13188.1,13157.3,13155.8,13190.8,13173.3,13167.966666666665,13165.3,13172.999999999998,3412,2019-12-19 14:00:00
25,GER40_i,13156.8,13173.8,13147.3,13176.8,13162.05,13165.966666666665,13167.925,13163.675,3009,2019-12-19 15:00:00
26,GER40_i,13174.3,13171.3,13170.8,13187.8,13179.3,13176.633333333331,13175.3,13176.05,2842,2019-12-19 16:00:00
27,GER40_i,13171.8,13197.8,13162.8,13200.3,13181.55,13186.966666666665,13189.675,13183.175,2924,2019-12-19 17:00:00
28,GER40_i,13198.3,13215.3,13192.8,13227.3,13210.05,13211.799999999997,13212.675,13208.425,2690,2019-12-19 18:00:00
29,GER40_i,13215.3,13208.8,13205.3,13218.8,13212.05,13210.966666666665,13210.425,13212.05,1076,2019-12-19 19:00:00
30,GER40_i,13208.3,13215.0,13203.3,13220.1,13211.7,13212.800000000001,13213.35,13211.675,1014,2019-12-19 20:00:00
