,GER40_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GER40_m_i,12914.7,12923.8,12907.6,12932.6,12920.1,12921.333333333334,12921.95,12919.675,2044,2019-10-29 17:00:00
1,GER40_m_i,12924.1,12927.8,12910.1,12935.1,12922.6,12924.333333333334,12925.2,12924.275,2458,2019-10-29 18:00:00
2,GER40_m_i,12927.6,12941.6,12914.6,12945.7,12930.150000000001,12933.966666666667,12935.875,12932.375,2917,2019-10-29 19:00:00
3,GER40_m_i,12941.2,12914.6,12904.7,12943.6,12924.150000000001,12920.966666666667,12919.375,12926.025000000001,2652,2019-10-29 20:00:00
4,GER40_m_i,12915.2,12934.8,12905.1,12939.8,12922.45,12926.566666666666,12928.625,12923.724999999999,2861,2019-10-29 21:00:00
5,GER40_m_i,12935.3,12934.2,12932.2,12945.8,12939.0,12937.4,12936.599999999999,12936.875,1485,2019-10-29 22:00:00
6,GER40_m_i,12933.8,12920.8,12920.8,12934.3,12927.55,12925.299999999997,12924.175,12927.425,1285,2019-10-29 23:00:00
7,GER40_m_i,12920.3,12922.2,12915.4,12927.8,12921.599999999999,12921.799999999997,12921.899999999998,12921.425,1291,2019-10-30 00:00:00
8,GER40_m_i,12921.7,12921.8,12919.8,12923.4,12921.599999999999,12921.666666666666,12921.7,12921.675,262,2019-10-30 01:00:00
9,GER40_m_i,12909.5,12924.5,12905.5,12924.5,12915.0,12918.166666666666,12919.75,12916.0,1245,2019-10-30 12:00:00
10,GER40_m_i,12924.0,12899.4,12888.9,12936.4,12912.65,12908.233333333332,12906.025,12912.175,4129,2019-10-30 13:00:00
11,GER40_m_i,12899.3,12892.9,12888.8,12909.6,12899.2,12897.1,12896.050000000001,12897.650000000001,2587,2019-10-30 14:00:00
12,GER40_m_i,12893.4,12913.6,12891.3,12919.8,12905.55,12908.233333333332,12909.574999999999,12904.525,2170,2019-10-30 15:00:00
