,IBEX35_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,IBEX35_i,8992.1,9002.1,8978.9,9007.1,8993.0,8996.033333333333,8997.55,8995.05,3146,2019-08-01 14:00:00
1,IBEX35_i,9002.1,9000.1,8986.9,9005.1,8996.0,8997.366666666667,8998.05,8998.55,2579,2019-08-01 15:00:00
2,IBEX35_i,9000.1,8979.1,8966.9,9000.1,8983.5,8982.033333333333,8981.3,8986.55,3801,2019-08-01 16:00:00
3,IBEX35_i,8979.1,9027.1,8966.1,9030.1,8998.1,9007.766666666668,9012.6,9000.6,3322,2019-08-01 17:00:00
4,IBEX35_i,9026.1,9033.1,9011.9,9047.1,9029.5,9030.699999999999,9031.3,9029.55,3190,2019-08-01 18:00:00
5,IBEX35_i,9034.1,9030.1,9029.9,9037.1,9033.5,9032.366666666667,9031.8,9032.8,887,2019-08-01 19:00:00
6,IBEX35_i,9030.1,8975.1,8969.9,9030.1,9000.0,8991.699999999999,8987.55,9001.3,1115,2019-08-01 20:00:00
7,IBEX35_i,8886.0,8898.0,8873.9,8902.0,8887.95,8891.300000000001,8892.975,8889.975,1889,2019-08-02 09:00:00
8,IBEX35_i,8898.0,8914.0,8885.9,8965.0,8925.45,8921.633333333333,8919.725,8915.725,9808,2019-08-02 10:00:00
9,IBEX35_i,8912.9,8903.0,8864.0,8935.0,8899.5,8900.666666666666,8901.25,8903.725,5523,2019-08-02 11:00:00
10,IBEX35_i,8901.9,8919.0,8898.0,8942.0,8920.0,8919.666666666666,8919.5,8915.225,5329,2019-08-02 12:00:00
11,IBEX35_i,8917.9,8951.0,8917.0,8963.0,8940.0,8943.666666666666,8945.5,8937.225,4959,2019-08-02 13:00:00
12,IBEX35_i,8951.0,8937.0,8933.0,8952.0,8942.5,8940.666666666666,8939.75,8943.25,3022,2019-08-02 14:00:00
13,IBEX35_i,8938.0,8966.0,8923.9,8968.0,8945.95,8952.633333333333,8955.975,8948.975,3825,2019-08-02 15:00:00
14,IBEX35_i,8965.0,8925.0,8917.9,8995.0,8956.45,8945.966666666667,8940.725,8950.725,5919,2019-08-02 16:00:00
15,IBEX35_i,8926.0,8884.0,8870.0,8933.0,8901.5,8895.666666666666,8892.75,8903.25,5975,2019-08-02 17:00:00
16,IBEX35_i,8885.0,8872.0,8860.9,8908.0,8884.45,8880.300000000001,8878.225,8881.475,4877,2019-08-02 18:00:00
17,IBEX35_i,8872.0,8875.0,8868.0,8902.9,8885.45,8881.966666666667,8880.225,8879.475,3146,2019-08-02 19:00:00
18,IBEX35_i,8875.0,8873.0,8868.0,8879.0,8873.5,8873.333333333334,8873.25,8873.75,966,2019-08-02 20:00:00
19,IBEX35_i,8802.6,8816.6,8800.9,8816.6,8808.75,8811.366666666667,8812.675,8809.175,1433,2019-08-05 09:00:00
20,IBEX35_i,8811.6,8803.6,8800.9,8859.6,8830.25,8821.366666666667,8816.925,8818.925,6982,2019-08-05 10:00:00
21,IBEX35_i,8801.9,8770.6,8760.6,8811.6,8786.1,8780.933333333334,8778.35,8786.175000000001,5335,2019-08-05 11:00:00
