,LTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,LTCUSD_i,194.21,194.41,193.94,195.09,194.515,194.48,194.46249999999998,194.4125,18510,2021-03-22 06:00:00
1,LTCUSD_i,194.41,194.14,193.14,194.6,193.87,193.96,194.005,194.0725,17430,2021-03-22 07:00:00
2,LTCUSD_i,194.13,194.46,194.12,195.87,194.995,194.8166666666667,194.72750000000002,194.645,16340,2021-03-22 08:00:00
3,LTCUSD_i,194.46,194.42,193.94,195.41,194.675,194.59,194.54749999999999,194.5575,18870,2021-03-22 09:00:00
4,LTCUSD_i,194.42,192.89,192.73,194.81,193.76999999999998,193.47666666666666,193.32999999999998,193.71249999999998,17720,2021-03-22 10:00:00
5,LTCUSD_i,192.89,194.05,191.98,194.06,193.01999999999998,193.36333333333332,193.53499999999997,193.24499999999998,15880,2021-03-22 11:00:00
6,LTCUSD_i,194.05,195.49,193.79,196.85,195.32,195.37666666666667,195.405,195.04500000000002,21520,2021-03-22 12:00:00
7,LTCUSD_i,195.49,196.11,194.74,196.54,195.64,195.79666666666665,195.875,195.72,20100,2021-03-22 13:00:00
8,LTCUSD_i,196.07,195.14,193.9,196.26,195.07999999999998,195.1,195.10999999999999,195.34249999999997,19290,2021-03-22 14:00:00
9,LTCUSD_i,195.13,196.35,194.13,198.53,196.32999999999998,196.33666666666667,196.34,196.035,33060,2021-03-22 15:00:00
10,LTCUSD_i,196.35,197.07,194.69,198.21,196.45,196.65666666666667,196.76,196.58,30410,2021-03-22 16:00:00
11,LTCUSD_i,197.07,196.15,195.96,197.62,196.79000000000002,196.57666666666668,196.47,196.7,18520,2021-03-22 17:00:00
12,LTCUSD_i,196.15,194.83,193.01,196.82,194.915,194.88666666666666,194.8725,195.2025,31410,2021-03-22 18:00:00
13,LTCUSD_i,194.83,195.69,194.19,196.39,195.29,195.42333333333332,195.49,195.275,22410,2021-03-22 19:00:00
14,LTCUSD_i,195.69,195.36,194.69,195.99,195.34,195.34666666666666,195.35,195.4325,18060,2021-03-22 20:00:00
15,LTCUSD_i,195.36,192.5,192.02,195.54,193.78,193.35333333333332,193.14,193.855,27470,2021-03-22 21:00:00
16,LTCUSD_i,192.5,185.7,185.36,193.35,189.35500000000002,188.13666666666668,187.52750000000003,189.22750000000002,50200,2021-03-22 22:00:00
17,LTCUSD_i,187.02,187.13,184.19,187.47,185.82999999999998,186.26333333333332,186.48,186.4525,43340,2021-03-23 00:00:00
18,LTCUSD_i,187.13,185.33,185.28,187.93,186.60500000000002,186.18000000000004,185.96750000000003,186.41750000000002,27420,2021-03-23 01:00:00
