,NQ100_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NQ100_i,11077.8,11054.7,11054.4,11084.4,11069.4,11064.5,11062.05,11067.825,2893,2020-11-02 05:00:00
1,NQ100_i,11054.7,11066.4,11051.7,11076.9,11064.3,11065.0,11065.35,11062.425,3144,2020-11-02 06:00:00
2,NQ100_i,11066.4,11093.7,11061.7,11099.9,11080.8,11085.1,11087.25,11080.425000000001,3448,2020-11-02 07:00:00
3,NQ100_i,11092.2,11069.8,11057.7,11106.2,11081.95,11077.9,11075.875,11081.474999999999,3962,2020-11-02 08:00:00
4,NQ100_i,11069.5,11106.7,11059.4,11115.9,11087.65,11094.0,11097.175,11087.875,5913,2020-11-02 09:00:00
5,NQ100_i,11105.9,11143.3,11077.4,11145.9,11111.65,11122.199999999999,11127.474999999999,11118.125,7242,2020-11-02 10:00:00
6,NQ100_i,11141.4,11170.4,11133.7,11195.4,11164.55,11166.5,11167.475,11160.225,5656,2020-11-02 11:00:00
7,NQ100_i,11170.7,11209.4,11170.7,11224.5,11197.6,11201.533333333333,11203.5,11193.825,5282,2020-11-02 12:00:00
8,NQ100_i,11209.8,11187.5,11181.9,11213.8,11197.849999999999,11194.4,11192.675,11198.25,4299,2020-11-02 13:00:00
9,NQ100_i,11187.2,11141.8,11134.8,11189.2,11162.0,11155.266666666668,11151.900000000001,11163.25,4568,2020-11-02 14:00:00
10,NQ100_i,11142.0,11148.8,11135.7,11161.0,11148.35,11148.5,11148.575,11146.875,4470,2020-11-02 15:00:00
11,NQ100_i,11149.0,11191.0,11123.1,11225.8,11174.45,11179.966666666667,11182.725,11172.225,10899,2020-11-02 16:00:00
12,NQ100_i,11199.8,11135.6,11122.0,11222.8,11172.4,11160.133333333333,11154.0,11170.05,12678,2020-11-02 17:00:00
13,NQ100_i,11133.8,11090.1,11065.6,11149.5,11107.55,11101.733333333332,11098.824999999999,11109.75,10275,2020-11-02 18:00:00
14,NQ100_i,11090.6,11039.0,11019.2,11104.4,11061.8,11054.199999999999,11050.4,11063.3,9436,2020-11-02 19:00:00
15,NQ100_i,11039.2,10962.2,10956.3,11044.6,11000.45,10987.700000000003,10981.325,11000.575,9210,2020-11-02 20:00:00
16,NQ100_i,10962.1,11023.7,10956.4,11042.1,10999.25,11007.4,11011.474999999999,10996.074999999999,9410,2020-11-02 21:00:00
17,NQ100_i,11023.2,11081.2,11010.7,11084.0,11047.35,11058.633333333333,11064.275000000001,11049.775000000001,10359,2020-11-02 22:00:00
18,NQ100_i,11104.2,11100.9,11096.8,11109.9,11103.349999999999,11102.533333333333,11102.125,11102.95,1252,2020-11-03 01:00:00
19,NQ100_i,11101.3,11128.2,11084.9,11130.2,11107.55,11114.433333333334,11117.875,11111.150000000001,3323,2020-11-03 02:00:00
20,NQ100_i,11128.3,11126.4,11087.8,11131.9,11109.849999999999,11115.366666666667,11118.125,11118.599999999999,4324,2020-11-03 03:00:00
21,NQ100_i,11126.4,11137.7,11111.4,11138.2,11124.8,11129.1,11131.25,11128.425000000001,3329,2020-11-03 04:00:00
22,NQ100_i,11137.7,11109.9,11101.6,11138.7,11120.150000000001,11116.733333333335,11115.025000000001,11121.975000000002,2823,2020-11-03 05:00:00
23,NQ100_i,11109.7,11082.6,11079.9,11110.1,11095.0,11090.866666666667,11088.8,11095.575,3019,2020-11-03 06:00:00
24,NQ100_i,11082.9,11096.3,11082.9,11107.7,11095.3,11095.633333333331,11095.8,11092.449999999999,2905,2020-11-03 07:00:00
25,NQ100_i,11096.4,11109.8,11085.1,11120.9,11103.0,11105.266666666668,11106.400000000001,11103.050000000001,3257,2020-11-03 08:00:00
26,NQ100_i,11109.3,11114.1,11099.3,11130.2,11114.75,11114.533333333333,11114.425,11113.224999999999,4288,2020-11-03 09:00:00
27,NQ100_i,11113.6,11170.2,11099.8,11179.6,11139.7,11149.866666666669,11154.95,11140.800000000001,5321,2020-11-03 10:00:00
28,NQ100_i,11170.2,11177.1,11155.1,11188.3,11171.7,11173.5,11174.4,11172.675,3955,2020-11-03 11:00:00
29,NQ100_i,11179.1,11155.8,11153.8,11194.3,11174.05,11167.966666666665,11164.925,11170.749999999998,3359,2020-11-03 12:00:00
30,NQ100_i,11155.8,11143.8,11120.6,11169.6,11145.1,11144.666666666666,11144.45,11147.45,4067,2020-11-03 13:00:00
31,NQ100_i,11143.8,11139.8,11133.8,11160.4,11147.099999999999,11144.666666666666,11143.45,11144.45,3525,2020-11-03 14:00:00
32,NQ100_i,11140.6,11145.9,11125.6,11172.2,11148.900000000001,11147.900000000001,11147.400000000001,11146.075,4478,2020-11-03 15:00:00
33,NQ100_i,11145.3,11212.2,11115.7,11213.5,11164.6,11180.466666666667,11188.400000000001,11171.675,7760,2020-11-03 16:00:00
34,NQ100_i,11213.3,11346.7,11209.7,11348.7,11279.2,11301.700000000003,11312.95,11279.600000000002,9999,2020-11-03 17:00:00
35,NQ100_i,11346.2,11308.8,11299.7,11360.4,11330.05,11322.966666666665,11319.425,11328.774999999998,9622,2020-11-03 18:00:00
36,NQ100_i,11309.7,11309.5,11288.2,11339.9,11314.05,11312.533333333333,11311.775,11311.825,6703,2020-11-03 19:00:00
37,NQ100_i,11309.7,11238.2,11230.2,11329.2,11279.7,11265.866666666669,11258.95,11276.825,8035,2020-11-03 20:00:00
38,NQ100_i,11238.5,11287.3,11234.4,11297.7,11266.05,11273.133333333331,11276.675,11264.474999999999,7797,2020-11-03 21:00:00
39,NQ100_i,11286.7,11271.4,11249.4,11348.4,11298.9,11289.733333333332,11285.15,11288.974999999999,10409,2020-11-03 22:00:00
40,NQ100_i,11331.4,11331.0,11326.3,11358.5,11342.4,11338.6,11336.7,11336.800000000001,3765,2020-11-04 01:00:00
41,NQ100_i,11331.3,11250.8,11243.8,11356.5,11300.15,11283.699999999999,11275.474999999999,11295.599999999999,12744,2020-11-04 02:00:00
