,NQ100_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NQ100_m_i,10972.1,11017.1,10968.4,11032.9,11000.65,11006.133333333333,11008.875,10997.625,7060,2020-09-22 14:00:00
1,NQ100_m_i,11017.5,11062.9,11010.1,11082.4,11046.25,11051.800000000001,11054.575,11043.225,5065,2020-09-22 15:00:00
2,NQ100_m_i,11062.4,11064.4,11046.9,11098.4,11072.65,11069.9,11068.525,11068.025,4902,2020-09-22 16:00:00
3,NQ100_m_i,11063.9,11016.0,11007.4,11082.1,11044.75,11035.166666666666,11030.375,11042.35,6089,2020-09-22 17:00:00
4,NQ100_m_i,11015.9,11061.7,11009.6,11074.7,11042.150000000001,11048.666666666666,11051.925,11040.475,6191,2020-09-22 18:00:00
5,NQ100_m_i,11060.4,11022.0,10966.7,11089.5,11028.1,11026.066666666666,11025.05,11034.65,10309,2020-09-22 19:00:00
6,NQ100_m_i,11022.0,10960.7,10960.2,11068.2,11014.2,10996.366666666669,10987.45,11002.775000000001,12976,2020-09-22 20:00:00
7,NQ100_m_i,10961.5,11032.5,10937.7,11035.8,10986.75,11002.0,11009.625,10991.875,10291,2020-09-22 21:00:00
8,NQ100_m_i,11032.2,11035.7,11018.5,11076.2,11047.35,11043.466666666667,11041.525000000001,11040.650000000001,7565,2020-09-22 22:00:00
9,NQ100_m_i,11035.5,11119.5,11029.2,11119.7,11074.45,11089.466666666667,11096.975,11075.975,6258,2020-09-22 23:00:00
10,NQ100_m_i,11119.7,11122.8,11109.0,11156.7,11132.85,11129.5,11127.825,11127.05,7297,2020-09-23 00:00:00
11,NQ100_m_i,11123.0,11181.0,11110.0,11206.5,11158.25,11165.833333333334,11169.625,11155.125,8478,2020-09-23 01:00:00
12,NQ100_m_i,11154.7,11130.7,11126.9,11171.0,11148.95,11142.866666666669,11139.825,11145.825,2444,2020-09-23 04:00:00
13,NQ100_m_i,11128.4,11136.0,11110.4,11137.6,11124.0,11128.0,11130.0,11128.1,3992,2020-09-23 05:00:00
14,NQ100_m_i,11136.0,11097.9,11097.1,11141.7,11119.400000000001,11112.233333333335,11108.650000000001,11118.175000000001,4948,2020-09-23 06:00:00
15,NQ100_m_i,11098.5,11129.9,11091.5,11133.9,11112.7,11118.433333333334,11121.300000000001,11113.45,5130,2020-09-23 07:00:00
16,NQ100_m_i,11130.1,11112.9,11104.6,11136.0,11120.3,11117.833333333334,11116.6,11120.9,4396,2020-09-23 08:00:00
17,NQ100_m_i,11113.0,11122.5,11098.4,11135.2,11116.8,11118.699999999999,11119.65,11117.275,3410,2020-09-23 09:00:00
18,NQ100_m_i,11122.5,11129.5,11101.2,11134.2,11117.7,11121.633333333333,11123.6,11121.85,3566,2020-09-23 10:00:00
19,NQ100_m_i,11129.5,11158.7,11129.5,11167.4,11148.45,11151.866666666669,11153.575,11146.275000000001,3415,2020-09-23 11:00:00
20,NQ100_m_i,11158.7,11143.1,11128.1,11169.2,11148.650000000001,11146.800000000001,11145.875,11149.775000000001,3929,2020-09-23 12:00:00
