,SPX500_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,SPX500_m_i,3277.2,3279.9,3275.2,3286.2,3280.7,3280.433333333333,3280.2999999999997,3279.625,1505,2020-09-22 14:00:00
1,SPX500_m_i,3279.7,3287.4,3278.2,3290.9,3284.55,3285.5,3285.975,3284.05,1045,2020-09-22 15:00:00
2,SPX500_m_i,3287.5,3289.2,3284.9,3292.9,3288.9,3289.0,3289.05,3288.625,803,2020-09-22 16:00:00
3,SPX500_m_i,3289.4,3281.0,3277.4,3296.5,3286.95,3284.9666666666667,3283.975,3286.075,1093,2020-09-22 17:00:00
4,SPX500_m_i,3281.2,3287.9,3279.2,3291.8,3285.5,3286.2999999999997,3286.7,3285.0249999999996,1209,2020-09-22 18:00:00
5,SPX500_m_i,3287.7,3284.9,3280.4,3301.8,3291.1000000000004,3289.0333333333333,3288.0,3288.7,1848,2020-09-22 19:00:00
6,SPX500_m_i,3284.9,3273.7,3273.2,3299.9,3286.55,3282.2666666666664,3280.125,3282.9249999999997,2430,2020-09-22 20:00:00
7,SPX500_m_i,3274.2,3286.4,3268.9,3287.4,3278.15,3280.9,3282.275,3279.2250000000004,2046,2020-09-22 21:00:00
8,SPX500_m_i,3286.4,3283.3,3279.4,3293.2,3286.3,3285.3000000000006,3284.8,3285.5750000000003,1528,2020-09-22 22:00:00
9,SPX500_m_i,3283.4,3301.2,3281.9,3301.4,3291.65,3294.8333333333335,3296.425,3291.975,1259,2020-09-22 23:00:00
10,SPX500_m_i,3301.2,3302.4,3300.9,3308.9,3304.9,3304.066666666667,3303.65,3303.3500000000004,1512,2020-09-23 00:00:00
11,SPX500_m_i,3302.4,3313.4,3299.7,3319.4,3309.55,3310.8333333333335,3311.475,3308.725,1937,2020-09-23 01:00:00
12,SPX500_m_i,3309.0,3304.7,3304.2,3313.7,3308.95,3307.533333333333,3306.825,3307.8999999999996,533,2020-09-23 04:00:00
13,SPX500_m_i,3304.5,3312.2,3303.7,3312.5,3308.1,3309.4666666666667,3310.1499999999996,3308.225,805,2020-09-23 05:00:00
14,SPX500_m_i,3312.5,3304.2,3304.0,3315.5,3309.75,3307.9,3306.9750000000004,3309.05,1088,2020-09-23 06:00:00
15,SPX500_m_i,3304.2,3310.7,3301.7,3311.5,3306.6,3307.9666666666667,3308.6499999999996,3307.0249999999996,1168,2020-09-23 07:00:00
16,SPX500_m_i,3310.7,3305.5,3304.0,3312.5,3308.25,3307.3333333333335,3306.875,3308.175,1119,2020-09-23 08:00:00
17,SPX500_m_i,3305.5,3308.5,3303.0,3311.5,3307.25,3307.6666666666665,3307.875,3307.125,811,2020-09-23 09:00:00
18,SPX500_m_i,3308.5,3309.7,3305.5,3311.8,3308.65,3309.0,3309.175,3308.875,867,2020-09-23 10:00:00
19,SPX500_m_i,3309.7,3318.0,3309.7,3318.7,3314.2,3315.4666666666667,3316.1,3314.0249999999996,706,2020-09-23 11:00:00
20,SPX500_m_i,3318.0,3313.7,3310.5,3319.0,3314.75,3314.4,3314.2250000000004,3315.3,900,2020-09-23 12:00:00
21,SPX500_m_i,3314.0,3317.3,3304.7,3319.7,3312.2,3313.9,3314.75,3313.925,1458,2020-09-23 13:00:00
22,SPX500_m_i,3317.2,3325.5,3316.2,3326.0,3321.1,3322.566666666667,3323.3,3321.2250000000004,870,2020-09-23 14:00:00
23,SPX500_m_i,3325.5,3328.7,3324.2,3329.3,3326.75,3327.4,3327.7250000000004,3326.925,636,2020-09-23 15:00:00
24,SPX500_m_i,3328.8,3327.5,3323.3,3329.5,3326.4,3326.7666666666664,3326.95,3327.2749999999996,701,2020-09-23 16:00:00
25,SPX500_m_i,3327.5,3319.0,3318.2,3327.8,3323.0,3321.6666666666665,3321.0,3323.125,770,2020-09-23 17:00:00
26,SPX500_m_i,3318.8,3316.5,3314.2,3322.2,3318.2,3317.633333333333,3317.35,3317.925,912,2020-09-23 18:00:00
27,SPX500_m_i,3316.5,3308.5,3307.6,3322.2,3314.8999999999996,3312.7666666666664,3311.7,3313.7,1731,2020-09-23 19:00:00
28,SPX500_m_i,3308.5,3301.0,3295.6,3312.5,3304.05,3303.0333333333333,3302.525,3304.4,2316,2020-09-23 20:00:00
29,SPX500_m_i,3301.0,3285.1,3284.3,3306.7,3295.5,3292.0333333333333,3290.3,3294.275,2221,2020-09-23 21:00:00
30,SPX500_m_i,3285.0,3296.5,3281.3,3296.7,3289.0,3291.5,3292.75,3289.875,1803,2020-09-23 22:00:00
31,SPX500_m_i,3296.5,3279.8,3276.4,3297.2,3286.8,3284.466666666667,3283.3,3287.4750000000004,1644,2020-09-23 23:00:00
32,SPX500_m_i,3279.8,3246.0,3244.0,3280.0,3262.0,3256.6666666666665,3254.0,3262.45,2883,2020-09-24 00:00:00
33,SPX500_m_i,3246.2,3236.5,3230.8,3249.7,3240.25,3239.0,3238.375,3240.8,3509,2020-09-24 01:00:00
34,SPX500_m_i,3243.6,3237.5,3235.6,3244.1,3239.85,3239.066666666667,3238.675,3240.2000000000003,466,2020-09-24 04:00:00
35,SPX500_m_i,3237.6,3226.4,3219.9,3240.2,3230.05,3228.8333333333335,3228.225,3231.025,1307,2020-09-24 05:00:00
36,SPX500_m_i,3226.4,3243.9,3223.4,3244.1,3233.75,3237.133333333333,3238.825,3234.45,1582,2020-09-24 06:00:00
37,SPX500_m_i,3243.9,3236.2,3234.9,3249.0,3241.95,3240.033333333333,3239.075,3240.9999999999995,1413,2020-09-24 07:00:00
38,SPX500_m_i,3235.9,3240.4,3235.4,3247.1,3241.25,3240.9666666666667,3240.825,3239.7,1355,2020-09-24 08:00:00
39,SPX500_m_i,3240.1,3239.1,3236.1,3242.4,3239.25,3239.2000000000003,3239.175,3239.425,1124,2020-09-24 09:00:00
40,SPX500_m_i,3239.1,3222.9,3221.6,3243.2,3232.3999999999996,3229.233333333333,3227.6499999999996,3231.7,1200,2020-09-24 10:00:00
41,SPX500_m_i,3223.1,3235.1,3219.9,3235.1,3227.5,3230.0333333333333,3231.3,3228.3,1509,2020-09-24 11:00:00
42,SPX500_m_i,3234.9,3222.6,3220.4,3238.9,3229.65,3227.2999999999997,3226.125,3229.2,1766,2020-09-24 12:00:00
43,SPX500_m_i,3222.4,3239.9,3222.4,3242.6,3232.5,3234.9666666666667,3236.2,3231.825,2060,2020-09-24 13:00:00
44,SPX500_m_i,3239.6,3233.9,3228.4,3241.9,3235.15,3234.7333333333336,3234.525,3235.9500000000003,1459,2020-09-24 14:00:00
45,SPX500_m_i,3233.9,3235.1,3227.4,3237.6,3232.5,3233.366666666667,3233.8,3233.5,1324,2020-09-24 15:00:00
46,SPX500_m_i,3235.4,3242.7,3234.9,3245.9,3240.4,3241.1666666666665,3241.55,3239.725,1097,2020-09-24 16:00:00
47,SPX500_m_i,3242.4,3229.7,3228.2,3243.6,3235.8999999999996,3233.8333333333335,3232.8,3235.975,1167,2020-09-24 17:00:00
48,SPX500_m_i,3229.9,3216.7,3211.4,3232.5,3221.95,3220.1999999999994,3219.325,3222.6249999999995,1742,2020-09-24 18:00:00
49,SPX500_m_i,3216.5,3231.6,3208.0,3238.0,3223.0,3225.866666666667,3227.3,3223.525,2736,2020-09-24 19:00:00
50,SPX500_m_i,3231.4,3241.5,3222.2,3256.1,3239.1499999999996,3239.933333333333,3240.325,3237.7999999999997,3898,2020-09-24 20:00:00
51,SPX500_m_i,3241.2,3255.0,3228.4,3255.2,3241.8,3246.2000000000003,3248.4,3244.95,2758,2020-09-24 21:00:00
52,SPX500_m_i,3255.1,3260.9,3245.1,3262.9,3254.0,3256.2999999999997,3257.45,3256.0,2208,2020-09-24 22:00:00
