,USDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDCHF_i,0.88389,0.88314,0.88275,0.88394,0.883345,0.8832766666666667,0.8832425,0.88343,512,2020-12-18 23:00:00
1,USDCHF_i,0.8849,0.88472,0.88418,0.88495,0.884565,0.8846166666666667,0.8846425,0.8846875000000001,518,2020-12-21 00:00:00
2,USDCHF_i,0.8848,0.88564,0.88407,0.88569,0.88488,0.8851333333333334,0.88526,0.8850500000000001,576,2020-12-21 01:00:00
3,USDCHF_i,0.88564,0.88472,0.88472,0.88584,0.88528,0.8850933333333333,0.885,0.88523,704,2020-12-21 02:00:00
4,USDCHF_i,0.88472,0.88546,0.88408,0.8856,0.8848400000000001,0.8850466666666668,0.8851500000000001,0.884965,908,2020-12-21 03:00:00
5,USDCHF_i,0.88546,0.88601,0.8851,0.88662,0.88586,0.88591,0.8859349999999999,0.8857975,967,2020-12-21 04:00:00
6,USDCHF_i,0.88601,0.88654,0.88601,0.88655,0.88628,0.8863666666666666,0.88641,0.8862775,539,2020-12-21 05:00:00
7,USDCHF_i,0.88654,0.88648,0.88631,0.88664,0.886475,0.8864766666666667,0.8864775,0.8864925,500,2020-12-21 06:00:00
8,USDCHF_i,0.88648,0.88624,0.88624,0.88682,0.88653,0.8864333333333333,0.886385,0.886445,656,2020-12-21 07:00:00
9,USDCHF_i,0.88625,0.88618,0.88616,0.8868,0.8864799999999999,0.88638,0.88633,0.8863475,852,2020-12-21 08:00:00
10,USDCHF_i,0.88624,0.88837,0.88609,0.88852,0.887305,0.88766,0.8878375000000001,0.887305,2248,2020-12-21 09:00:00
11,USDCHF_i,0.88836,0.88504,0.88414,0.88845,0.886295,0.8858766666666668,0.8856675,0.8864975,3156,2020-12-21 10:00:00
12,USDCHF_i,0.88504,0.88837,0.88491,0.88861,0.88676,0.8872966666666667,0.887565,0.8867325,2336,2020-12-21 11:00:00
13,USDCHF_i,0.88837,0.89052,0.88829,0.89179,0.8900399999999999,0.8902,0.89028,0.8897425,3728,2020-12-21 12:00:00
14,USDCHF_i,0.89051,0.88837,0.88755,0.89053,0.88904,0.8888166666666667,0.8887050000000001,0.88924,2419,2020-12-21 13:00:00
15,USDCHF_i,0.88835,0.8879,0.8869,0.88875,0.8878250000000001,0.8878500000000001,0.8878625000000001,0.8879750000000001,2662,2020-12-21 14:00:00
16,USDCHF_i,0.88789,0.88713,0.88569,0.88819,0.8869400000000001,0.8870033333333334,0.887035,0.887225,3372,2020-12-21 15:00:00
17,USDCHF_i,0.88713,0.88785,0.88599,0.88801,0.887,0.8872833333333334,0.8874250000000001,0.8872450000000001,3103,2020-12-21 16:00:00
18,USDCHF_i,0.88785,0.88757,0.88673,0.88843,0.88758,0.8875766666666666,0.887575,0.887645,2663,2020-12-21 17:00:00
19,USDCHF_i,0.88759,0.88577,0.8856,0.88759,0.886595,0.88632,0.8861825,0.8866375,1609,2020-12-21 18:00:00
20,USDCHF_i,0.88577,0.88529,0.88517,0.88612,0.885645,0.8855266666666667,0.8854675,0.8855875,1214,2020-12-21 19:00:00
