,USDHKD,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,USDHKD,7.75391,7.75397,7.75371,7.75399,7.75385,7.753889999999999,7.753909999999999,7.753895,189,2020-12-21 11:00:00
1,USDHKD,7.75397,7.7531099999999995,7.7531,7.75399,7.753545,7.753399999999999,7.753327499999999,7.753542499999999,181,2020-12-21 12:00:00
2,USDHKD,7.75312,7.75309,7.7529900000000005,7.75337,7.75318,7.753150000000001,7.753135,7.7531425,165,2020-12-21 13:00:00
3,USDHKD,7.75309,7.75298,7.75296,7.75317,7.753064999999999,7.753036666666667,7.7530225,7.75305,130,2020-12-21 14:00:00
4,USDHKD,7.75297,7.753,7.75292,7.75307,7.752995,7.752996666666667,7.7529975,7.7529900000000005,150,2020-12-21 15:00:00
5,USDHKD,7.7529900000000005,7.75284,7.75266,7.75307,7.752865,7.752856666666666,7.7528524999999995,7.75289,186,2020-12-21 16:00:00
6,USDHKD,7.75284,7.7526,7.75256,7.75294,7.75275,7.7527,7.752675,7.7527349999999995,144,2020-12-21 17:00:00
7,USDHKD,7.7526,7.75254,7.75246,7.7526,7.75253,7.752533333333333,7.752535,7.75255,165,2020-12-21 18:00:00
8,USDHKD,7.75254,7.75254,7.7524999999999995,7.7526,7.752549999999999,7.7525466666666665,7.752545,7.752545,116,2020-12-21 19:00:00
9,USDHKD,7.7524999999999995,7.75245,7.75245,7.75256,7.752504999999999,7.752486666666666,7.7524774999999995,7.75249,134,2020-12-21 20:00:00
10,USDHKD,7.75253,7.75252,7.75245,7.75256,7.752504999999999,7.75251,7.7525125,7.752515,145,2020-12-21 21:00:00
11,USDHKD,7.75252,7.7524999999999995,7.75247,7.75265,7.75256,7.75254,7.75253,7.752535,141,2020-12-21 22:00:00
12,USDHKD,7.7524999999999995,7.75269,7.75247,7.75289,7.75268,7.752683333333334,7.7526850000000005,7.7526375000000005,176,2020-12-21 23:00:00
13,USDHKD,7.7524999999999995,7.7524,7.75207,7.7526,7.752335,7.752356666666667,7.7523675,7.752392499999999,102,2020-12-22 00:00:00
14,USDHKD,7.7524,7.7526,7.7524,7.75309,7.752745,7.752696666666666,7.7526725,7.752622499999999,216,2020-12-22 01:00:00
15,USDHKD,7.7526,7.75317,7.75254,7.75319,7.752865,7.752966666666667,7.7530175,7.752875,206,2020-12-22 02:00:00
