,WSt30_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,WSt30_m_i,28459.0,28396.0,28373.0,28469.0,28421.0,28412.666666666668,28408.5,28424.25,1245,2020-10-23 19:00:00
1,WSt30_m_i,28397.0,28327.0,28301.0,28397.0,28349.0,28341.666666666668,28338.0,28355.5,1537,2020-10-23 20:00:00
2,WSt30_m_i,28326.0,28264.0,28235.0,28367.0,28301.0,28288.666666666668,28282.5,28298.0,1541,2020-10-23 21:00:00
3,WSt30_m_i,28264.0,28166.0,28147.0,28285.0,28216.0,28199.333333333332,28191.0,28215.5,1366,2020-10-23 22:00:00
4,WSt30_m_i,28164.0,28268.0,28161.0,28273.0,28217.0,28234.0,28242.5,28216.5,935,2020-10-23 23:00:00
5,WSt30_m_i,28189.0,28198.0,28183.0,28212.0,28197.5,28197.666666666668,28197.75,28195.5,281,2020-10-26 04:00:00
6,WSt30_m_i,28198.0,28200.0,28169.0,28218.0,28193.5,28195.666666666668,28196.75,28196.25,785,2020-10-26 05:00:00
7,WSt30_m_i,28201.0,28148.0,28129.0,28225.0,28177.0,28167.333333333332,28162.5,28175.75,797,2020-10-26 06:00:00
8,WSt30_m_i,28149.0,28139.0,28133.0,28169.0,28151.0,28147.0,28145.0,28147.5,507,2020-10-26 07:00:00
9,WSt30_m_i,28140.0,28140.0,28112.0,28157.0,28134.5,28136.333333333332,28137.25,28137.25,597,2020-10-26 08:00:00
10,WSt30_m_i,28139.0,28118.0,28109.0,28140.0,28124.5,28122.333333333332,28121.25,28126.5,430,2020-10-26 09:00:00
11,WSt30_m_i,28117.0,28084.0,28080.0,28148.0,28114.0,28104.0,28099.0,28107.25,540,2020-10-26 10:00:00
12,WSt30_m_i,28085.0,28085.0,28078.0,28102.0,28090.0,28088.333333333332,28087.5,28087.5,478,2020-10-26 11:00:00
13,WSt30_m_i,28082.0,27984.0,27948.0,28092.0,28020.0,28008.0,28002.0,28026.5,1039,2020-10-26 12:00:00
14,WSt30_m_i,27982.0,28037.0,27965.0,28047.0,28006.0,28016.333333333332,28021.5,28007.75,1191,2020-10-26 13:00:00
15,WSt30_m_i,28036.0,28021.0,28000.0,28064.0,28032.0,28028.333333333332,28026.5,28030.25,795,2020-10-26 14:00:00
16,WSt30_m_i,28021.0,28038.0,27999.0,28042.0,28020.5,28026.333333333332,28029.25,28025.0,624,2020-10-26 15:00:00
17,WSt30_m_i,28038.0,28002.0,27995.0,28061.0,28028.0,28019.333333333332,28015.0,28024.0,631,2020-10-26 16:00:00
18,WSt30_m_i,28004.0,27991.0,27970.0,28012.0,27991.0,27991.0,27991.0,27994.25,753,2020-10-26 17:00:00
19,WSt30_m_i,27989.0,27943.0,27880.0,28039.0,27959.5,27954.0,27951.25,27962.75,1305,2020-10-26 18:00:00
20,WSt30_m_i,27944.0,27725.0,27716.0,27973.0,27844.5,27804.666666666668,27784.75,27839.5,1851,2020-10-26 19:00:00
21,WSt30_m_i,27725.0,27610.0,27599.0,27725.0,27662.0,27644.666666666668,27636.0,27664.75,1913,2020-10-26 20:00:00
22,WSt30_m_i,27607.0,27517.0,27482.0,27628.0,27555.0,27542.333333333332,27536.0,27558.5,1614,2020-10-26 21:00:00
23,WSt30_m_i,27517.0,27510.0,27364.0,27531.0,27447.5,27468.333333333332,27478.75,27480.5,1455,2020-10-26 22:00:00
24,WSt30_m_i,27510.0,27577.0,27492.0,27624.0,27558.0,27564.333333333332,27567.5,27550.75,1677,2020-10-26 23:00:00
25,WSt30_m_i,27581.0,27696.0,27519.0,27696.0,27607.5,27637.0,27651.75,27623.0,1916,2020-10-27 00:00:00
26,WSt30_m_i,27703.0,27690.0,27665.0,27728.0,27696.5,27694.333333333332,27693.25,27696.5,596,2020-10-27 01:00:00
27,WSt30_m_i,27716.0,27661.0,27651.0,27726.0,27688.5,27679.333333333332,27674.75,27688.5,336,2020-10-27 04:00:00
28,WSt30_m_i,27661.0,27767.0,27646.0,27775.0,27710.5,27729.333333333332,27738.75,27712.25,870,2020-10-27 05:00:00
29,WSt30_m_i,27767.0,27722.0,27713.0,27770.0,27741.5,27735.0,27731.75,27743.0,691,2020-10-27 06:00:00
30,WSt30_m_i,27722.0,27731.0,27713.0,27747.0,27730.0,27730.333333333332,27730.5,27728.25,563,2020-10-27 07:00:00
31,WSt30_m_i,27733.0,27716.0,27711.0,27739.0,27725.0,27722.0,27720.5,27724.75,461,2020-10-27 08:00:00
32,WSt30_m_i,27716.0,27754.0,27715.0,27760.0,27737.5,27743.0,27745.75,27736.25,393,2020-10-27 09:00:00
33,WSt30_m_i,27754.0,27776.0,27739.0,27780.0,27759.5,27765.0,27767.75,27762.25,548,2020-10-27 10:00:00
34,WSt30_m_i,27776.0,27778.0,27760.0,27817.0,27788.5,27785.0,27783.25,27782.75,598,2020-10-27 11:00:00
35,WSt30_m_i,27782.0,27781.0,27736.0,27793.0,27764.5,27770.0,27772.75,27773.0,846,2020-10-27 12:00:00
36,WSt30_m_i,27781.0,27727.0,27668.0,27784.0,27726.0,27726.333333333332,27726.5,27740.0,1349,2020-10-27 13:00:00
37,WSt30_m_i,27727.0,27701.0,27652.0,27728.0,27690.0,27693.666666666668,27695.5,27702.0,1097,2020-10-27 14:00:00
38,WSt30_m_i,27702.0,27787.0,27699.0,27804.0,27751.5,27763.333333333332,27769.25,27748.0,888,2020-10-27 15:00:00
39,WSt30_m_i,27787.0,27785.0,27774.0,27810.0,27792.0,27789.666666666668,27788.5,27789.0,745,2020-10-27 16:00:00
40,WSt30_m_i,27786.0,27696.0,27684.0,27789.0,27736.5,27723.0,27716.25,27738.75,831,2020-10-27 17:00:00
41,WSt30_m_i,27696.0,27651.0,27599.0,27716.0,27657.5,27655.333333333332,27654.25,27665.5,1721,2020-10-27 18:00:00
42,WSt30_m_i,27650.0,27575.0,27528.0,27706.0,27617.0,27603.0,27596.0,27614.75,1846,2020-10-27 19:00:00
43,WSt30_m_i,27575.0,27631.0,27508.0,27640.0,27574.0,27593.0,27602.5,27588.5,1599,2020-10-27 20:00:00
