,ASX200_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,ASX200_i,6602.7,6613.7,6602.6,6621.7,6612.15,6612.666666666667,6612.925,6610.175,3876,2020-12-03 12:00:00
1,ASX200_i,6614.7,6630.9,6608.8,6633.9,6621.35,6624.533333333333,6626.125,6622.075,4220,2020-12-03 16:00:00
2,ASX200_i,6630.8,6610.8,6604.8,6640.9,6622.85,6618.833333333333,6616.825,6621.825,3511,2020-12-03 20:00:00
3,ASX200_i,6629.6,6630.7,6618.6,6646.7,6632.65,6632.0,6631.675,6631.4,3653,2020-12-04 00:00:00
4,ASX200_i,6629.6,6640.9,6628.6,6648.7,6638.65,6639.399999999999,6639.775,6636.949999999999,4889,2020-12-04 04:00:00
5,ASX200_i,6639.9,6659.7,6635.6,6669.7,6652.65,6655.0,6656.175,6651.225,5138,2020-12-04 08:00:00
6,ASX200_i,6659.7,6659.7,6651.6,6666.7,6659.15,6659.333333333333,6659.425,6659.425,4203,2020-12-04 12:00:00
7,ASX200_i,6659.7,6671.9,6651.7,6676.9,6664.299999999999,6666.833333333333,6668.1,6665.05,3915,2020-12-04 16:00:00
8,ASX200_i,6672.9,6679.8,6665.8,6680.9,6673.35,6675.5,6676.575,6674.85,2013,2020-12-04 20:00:00
9,ASX200_i,6711.7,6663.7,6657.6,6713.7,6685.65,6678.333333333333,6674.675,6686.675,4556,2020-12-07 00:00:00
10,ASX200_i,6663.7,6661.9,6647.6,6675.6,6661.6,6661.7,6661.75,6662.2,5473,2020-12-07 04:00:00
11,ASX200_i,6660.9,6666.7,6636.6,6677.7,6657.15,6660.333333333333,6661.925,6660.475,6597,2020-12-07 08:00:00
12,ASX200_i,6666.7,6653.7,6650.6,6680.6,6665.6,6661.633333333334,6659.650000000001,6662.900000000001,3794,2020-12-07 12:00:00
13,ASX200_i,6653.7,6655.9,6641.8,6660.9,6651.35,6652.866666666666,6653.625,6653.075,5398,2020-12-07 16:00:00
14,ASX200_i,6655.9,6659.8,6646.8,6665.9,6656.35,6657.5,6658.075,6657.1,3730,2020-12-07 20:00:00
15,ASX200_i,6665.5,6693.5,6665.4,6697.5,6681.45,6685.466666666667,6687.475,6680.475,4509,2020-12-08 00:00:00
