,BTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,BTCUSD_i,51609.0,51676.0,50559.0,51991.0,51275.0,51408.666666666664,51475.5,51458.75,368070,2021-03-25 16:00:00
1,BTCUSD_i,51676.0,52001.0,51560.0,52698.0,52129.0,52086.333333333336,52065.0,51983.75,183680,2021-03-25 20:00:00
2,BTCUSD_i,52442.0,52224.0,51299.0,52696.0,51997.5,52073.0,52110.75,52165.25,220370,2021-03-26 00:00:00
3,BTCUSD_i,52224.0,52853.0,51553.0,52916.0,52234.5,52440.666666666664,52543.75,52386.5,176180,2021-03-26 04:00:00
4,BTCUSD_i,52862.0,53291.0,52434.0,53790.0,53112.0,53171.666666666664,53201.5,53094.25,167940,2021-03-26 08:00:00
5,BTCUSD_i,53291.0,53337.0,52585.0,53545.0,53065.0,53155.666666666664,53201.0,53189.5,168700,2021-03-26 12:00:00
6,BTCUSD_i,53337.0,53800.0,52916.0,54007.0,53461.5,53574.333333333336,53630.75,53515.0,174230,2021-03-26 16:00:00
7,BTCUSD_i,53800.0,54068.0,53450.0,54235.0,53842.5,53917.666666666664,53955.25,53888.25,120365,2021-03-26 20:00:00
8,BTCUSD_i,55161.0,55390.0,55022.0,55898.0,55460.0,55436.666666666664,55425.0,55367.75,109490,2021-03-29 00:00:00
9,BTCUSD_i,55390.0,55302.0,54837.0,55533.0,55185.0,55224.0,55243.5,55265.5,165840,2021-03-29 04:00:00
10,BTCUSD_i,55292.0,57214.0,54890.0,57336.0,56113.0,56480.0,56663.5,56183.0,161410,2021-03-29 08:00:00
11,BTCUSD_i,57218.0,58073.0,57149.0,58398.0,57773.5,57873.333333333336,57923.25,57709.5,219680,2021-03-29 12:00:00
12,BTCUSD_i,58073.0,57647.0,57298.0,58223.0,57760.5,57722.666666666664,57703.75,57810.25,212040,2021-03-29 16:00:00
13,BTCUSD_i,57647.0,57306.0,57171.0,58273.0,57722.0,57583.333333333336,57514.0,57599.25,166810,2021-03-29 20:00:00
14,BTCUSD_i,57600.0,57599.0,57367.0,57932.0,57649.5,57632.666666666664,57624.25,57624.5,104540,2021-03-30 00:00:00
15,BTCUSD_i,57599.0,57650.0,57133.0,57870.0,57501.5,57551.0,57575.75,57563.0,127290,2021-03-30 04:00:00
16,BTCUSD_i,57622.0,58000.0,57381.0,58318.0,57849.5,57899.666666666664,57924.75,57830.25,113670,2021-03-30 08:00:00
