,CHNA50_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,CHNA50_m_i,12200.0,12193.0,12145.0,12248.0,12196.5,12195.333333333334,12194.75,12196.5,1991,2017-08-29 00:00:00
1,CHNA50_m_i,12200.0,12137.0,12120.0,12310.0,12215.0,12189.0,12176.0,12191.75,3171,2017-08-30 00:00:00
2,CHNA50_m_i,12152.0,12065.0,12017.0,12182.0,12099.5,12088.0,12082.25,12104.0,2431,2017-08-31 00:00:00
3,CHNA50_m_i,12072.0,12077.0,12013.0,12162.0,12087.5,12084.0,12082.25,12081.0,2931,2017-09-01 00:00:00
4,CHNA50_m_i,12040.0,12105.0,11977.0,12108.0,12042.5,12063.333333333334,12073.75,12057.5,1971,2017-09-04 00:00:00
5,CHNA50_m_i,12110.0,12153.0,12073.0,12220.0,12146.5,12148.666666666666,12149.75,12139.0,2511,2017-09-05 00:00:00
6,CHNA50_m_i,12158.0,12130.0,12073.0,12168.0,12120.5,12123.666666666666,12125.25,12132.25,1621,2017-09-06 00:00:00
7,CHNA50_m_i,12130.0,12028.0,12005.0,12153.0,12079.0,12062.0,12053.5,12079.0,1941,2017-09-07 00:00:00
8,CHNA50_m_i,12020.0,12016.0,11963.0,12071.0,12017.0,12016.666666666666,12016.5,12017.5,2121,2017-09-08 00:00:00
9,CHNA50_m_i,12031.0,11998.0,11960.0,12128.0,12044.0,12028.666666666666,12021.0,12029.25,3031,2017-09-11 00:00:00
10,CHNA50_m_i,12005.0,12040.0,11943.0,12065.0,12004.0,12016.0,12022.0,12013.25,2091,2017-09-12 00:00:00
11,CHNA50_m_i,12043.0,12000.0,11965.0,12045.0,12005.0,12003.333333333334,12002.5,12013.25,1171,2017-09-13 00:00:00
12,CHNA50_m_i,12010.0,11905.0,11890.0,12043.0,11966.5,11946.0,11935.75,11962.0,2011,2017-09-14 00:00:00
13,CHNA50_m_i,11890.0,11935.0,11858.0,11960.0,11909.0,11917.666666666666,11922.0,11910.75,1591,2017-09-15 00:00:00
14,CHNA50_m_i,11933.0,11960.0,11933.0,12048.0,11990.5,11980.333333333334,11975.25,11968.5,2031,2017-09-18 00:00:00
15,CHNA50_m_i,11970.0,11893.0,11873.0,12000.0,11936.5,11922.0,11914.75,11934.0,1771,2017-09-19 00:00:00
16,CHNA50_m_i,11891.0,11923.0,11886.0,11983.0,11934.5,11930.666666666666,11928.75,11920.75,1621,2017-09-20 00:00:00
17,CHNA50_m_i,11933.0,11958.0,11903.0,12035.0,11969.0,11965.333333333334,11963.5,11957.25,2391,2017-09-21 00:00:00
