,GBPCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GBPCHF_i,1.18105,1.18226,1.17914,1.18369,1.1814149999999999,1.1816966666666666,1.1818375,1.181535,17009,2020-12-21 16:00:00
1,GBPCHF_i,1.18224,1.19226,1.18219,1.19418,1.188185,1.1895433333333334,1.1902225,1.1877175,12145,2020-12-21 20:00:00
2,GBPCHF_i,1.19232,1.18823,1.18796,1.19259,1.190275,1.1895933333333333,1.1892524999999998,1.190275,5935,2020-12-22 00:00:00
3,GBPCHF_i,1.18823,1.18708,1.1862300000000001,1.18899,1.18761,1.1874333333333333,1.187345,1.1876324999999999,6921,2020-12-22 04:00:00
4,GBPCHF_i,1.18708,1.18907,1.18673,1.1934,1.1900650000000002,1.1897333333333335,1.1895675,1.18907,14455,2020-12-22 08:00:00
5,GBPCHF_i,1.18905,1.18663,1.18432,1.1904,1.18736,1.1871166666666666,1.186995,1.1876,15254,2020-12-22 12:00:00
6,GBPCHF_i,1.18663,1.1872099999999999,1.18225,1.18805,1.1851500000000001,1.1858366666666667,1.18618,1.186035,19026,2020-12-22 16:00:00
7,GBPCHF_i,1.18722,1.18795,1.1869,1.18937,1.188135,1.1880733333333333,1.1880425,1.18786,7132,2020-12-22 20:00:00
8,GBPCHF_i,1.18724,1.18885,1.18678,1.1899,1.18834,1.18851,1.1885949999999998,1.1881925,5523,2020-12-23 00:00:00
9,GBPCHF_i,1.18885,1.18952,1.18866,1.19025,1.1894550000000002,1.1894766666666667,1.1894875,1.18932,7319,2020-12-23 04:00:00
10,GBPCHF_i,1.18951,1.1928,1.18949,1.19405,1.19177,1.1921133333333334,1.192285,1.1914625,10640,2020-12-23 08:00:00
11,GBPCHF_i,1.19283,1.19851,1.19237,1.19945,1.19591,1.1967766666666666,1.1972099999999999,1.19579,12722,2020-12-23 12:00:00
12,GBPCHF_i,1.19851,1.19726,1.19578,1.20392,1.19985,1.1989866666666666,1.198555,1.1988675,22653,2020-12-23 16:00:00
13,GBPCHF_i,1.19726,1.1979899999999999,1.19714,1.20056,1.1988500000000002,1.1985633333333334,1.19842,1.1982375,10329,2020-12-23 20:00:00
14,GBPCHF_i,1.19749,1.20057,1.1973799999999999,1.20172,1.19955,1.19989,1.20006,1.19929,5169,2020-12-24 00:00:00
15,GBPCHF_i,1.20057,1.2027700000000001,1.20053,1.20307,1.2018,1.2021233333333334,1.202285,1.201735,7458,2020-12-24 04:00:00
16,GBPCHF_i,1.20278,1.20828,1.2023,1.20924,1.20577,1.2066066666666666,1.207025,1.2056499999999999,8680,2020-12-24 08:00:00
17,GBPCHF_i,1.20828,1.20973,1.20492,1.20995,1.207435,1.2082,1.2085825,1.20822,9205,2020-12-24 12:00:00
18,GBPCHF_i,1.20967,1.20669,1.20477,1.21187,1.20832,1.2077766666666667,1.207505,1.20825,11715,2020-12-24 16:00:00
19,GBPCHF_i,1.20661,1.20581,1.20417,1.20695,1.20556,1.2056433333333334,1.205685,1.2058849999999999,778,2020-12-24 20:00:00
