,GBPJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GBPJPY_i,137.836,138.06,137.583,138.19,137.8865,137.94433333333333,137.97325,137.91725000000002,17743,2020-12-21 16:00:00
1,GBPJPY_i,138.058,139.046,138.057,139.5,138.7785,138.86766666666668,138.91225,138.66525000000001,13825,2020-12-21 20:00:00
2,GBPJPY_i,139.097,138.654,138.576,139.133,138.8545,138.78766666666667,138.75425,138.865,7949,2020-12-22 00:00:00
3,GBPJPY_i,138.654,138.493,138.392,138.733,138.5625,138.53933333333333,138.52775,138.56799999999998,9505,2020-12-22 04:00:00
4,GBPJPY_i,138.494,138.639,138.43,139.1,138.765,138.72299999999998,138.702,138.66575,15064,2020-12-22 08:00:00
5,GBPJPY_i,138.641,138.679,138.157,138.985,138.57100000000003,138.607,138.625,138.6155,15394,2020-12-22 12:00:00
6,GBPJPY_i,138.679,138.416,137.977,138.75,138.3635,138.381,138.38975,138.4555,20022,2020-12-22 16:00:00
7,GBPJPY_i,138.416,138.451,138.308,138.584,138.446,138.44766666666666,138.4485,138.43975,9879,2020-12-22 20:00:00
8,GBPJPY_i,138.363,138.62,138.339,138.707,138.523,138.55533333333332,138.57150000000001,138.50725,7958,2020-12-23 00:00:00
9,GBPJPY_i,138.619,138.597,138.537,138.766,138.6515,138.63333333333333,138.62425,138.62975,8941,2020-12-23 04:00:00
10,GBPJPY_i,138.598,138.779,138.598,138.973,138.7855,138.78333333333333,138.78225,138.73700000000002,10751,2020-12-23 08:00:00
11,GBPJPY_i,138.782,139.347,138.743,139.447,139.095,139.179,139.221,139.07975000000002,12896,2020-12-23 12:00:00
12,GBPJPY_i,139.347,139.65,139.297,140.293,139.79500000000002,139.74666666666667,139.7225,139.64675,23268,2020-12-23 16:00:00
13,GBPJPY_i,139.65,139.701,139.561,139.985,139.77300000000002,139.74900000000002,139.73700000000002,139.72425,10514,2020-12-23 20:00:00
14,GBPJPY_i,139.682,140.157,139.607,140.308,139.95749999999998,140.024,140.05725,139.9385,8033,2020-12-24 00:00:00
15,GBPJPY_i,140.156,140.359,140.146,140.407,140.2765,140.304,140.31775000000002,140.267,8801,2020-12-24 04:00:00
16,GBPJPY_i,140.359,140.915,140.243,141.036,140.6395,140.7313333333333,140.77724999999998,140.63825,12311,2020-12-24 08:00:00
17,GBPJPY_i,140.909,140.875,140.463,141.196,140.8295,140.84466666666665,140.85225,140.86075,12622,2020-12-24 12:00:00
18,GBPJPY_i,140.864,140.318,140.131,141.093,140.612,140.514,140.465,140.60150000000002,14236,2020-12-24 16:00:00
19,GBPJPY_i,140.318,140.247,140.167,140.365,140.26600000000002,140.25966666666667,140.25650000000002,140.27425000000002,1950,2020-12-24 20:00:00
20,GBPJPY_i,140.246,140.263,140.043,140.537,140.29000000000002,140.28100000000003,140.27650000000003,140.27225,7575,2020-12-28 00:00:00
21,GBPJPY_i,140.263,140.393,140.24,140.546,140.393,140.393,140.393,140.3605,5008,2020-12-28 04:00:00
