,HSI50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,HSI50_i,27665.0,27664.0,27652.0,27715.5,27683.75,27677.166666666668,27673.875,27674.125,13670,2019-11-08 12:00:00
1,HSI50_i,27664.5,27622.5,27573.5,27704.5,27639.0,27633.5,27630.75,27641.25,16870,2019-11-08 16:00:00
2,HSI50_i,27017.5,26976.5,26938.5,27028.5,26983.5,26981.166666666668,26980.0,26990.25,11400,2019-11-11 04:00:00
3,HSI50_i,26976.5,26974.5,26799.5,27063.5,26931.5,26945.833333333332,26953.0,26953.5,38925,2019-11-11 08:00:00
4,HSI50_i,26973.5,27012.5,26940.5,27022.5,26981.5,26991.833333333332,26997.0,26987.25,16770,2019-11-11 12:00:00
5,HSI50_i,27013.5,27123.0,26973.5,27148.0,27060.75,27081.5,27091.875,27064.5,17845,2019-11-11 16:00:00
6,HSI50_i,26954.5,27013.5,26912.5,27052.5,26982.5,26992.833333333332,26998.0,26983.25,11475,2019-11-12 04:00:00
7,HSI50_i,27011.5,26948.5,26922.5,27082.5,27002.5,26984.5,26975.5,26991.25,30604,2019-11-12 08:00:00
8,HSI50_i,26950.5,26955.5,26929.5,26991.5,26960.5,26958.833333333332,26958.0,26956.75,15740,2019-11-12 12:00:00
9,HSI50_i,26958.5,26958.5,26899.5,26988.5,26944.0,26948.833333333332,26951.25,26951.25,13790,2019-11-12 16:00:00
10,HSI50_i,26499.5,26459.0,26447.0,26529.0,26488.0,26478.333333333332,26473.5,26483.625,12100,2019-11-13 04:00:00
11,HSI50_i,26459.0,26356.0,26339.0,26558.0,26448.5,26417.666666666668,26402.25,26428.0,31510,2019-11-13 08:00:00
12,HSI50_i,26358.0,26362.0,26349.0,26415.0,26382.0,26375.333333333332,26372.0,26371.0,17470,2019-11-13 12:00:00
13,HSI50_i,26363.0,26470.0,26352.0,26482.0,26417.0,26434.666666666668,26443.5,26416.75,18570,2019-11-13 16:00:00
14,HSI50_i,26257.5,26343.0,26257.0,26366.0,26311.5,26322.0,26327.25,26305.875,10915,2019-11-14 04:00:00
15,HSI50_i,26339.5,26312.0,26136.0,26340.5,26238.25,26262.833333333332,26275.125,26282.0,38850,2019-11-14 08:00:00
16,HSI50_i,26312.0,26328.0,26305.5,26384.0,26344.75,26339.166666666668,26336.375,26332.375,20545,2019-11-14 12:00:00
17,HSI50_i,26327.0,26323.0,26302.0,26384.0,26343.0,26336.333333333332,26333.0,26334.0,13280,2019-11-14 16:00:00
18,HSI50_i,26375.5,26323.0,26315.5,26401.5,26358.5,26346.666666666668,26340.75,26353.875,8125,2019-11-15 04:00:00
19,HSI50_i,26322.0,26289.5,26230.5,26368.0,26299.25,26296.0,26294.375,26302.5,27760,2019-11-15 08:00:00
20,HSI50_i,26289.5,26291.5,26213.5,26303.5,26258.5,26269.5,26275.0,26274.5,17435,2019-11-15 12:00:00
21,HSI50_i,26289.5,26362.5,26285.5,26365.5,26325.5,26337.833333333332,26344.0,26325.75,13020,2019-11-15 16:00:00
22,HSI50_i,26590.5,26571.5,26457.5,26610.5,26534.0,26546.5,26552.75,26557.5,13635,2019-11-18 04:00:00
23,HSI50_i,26574.5,26657.5,26560.5,26695.5,26628.0,26637.833333333332,26642.75,26622.0,31055,2019-11-18 08:00:00
24,HSI50_i,26657.5,26552.5,26520.5,26671.0,26595.75,26581.333333333332,26574.125,26600.375,14895,2019-11-18 12:00:00
25,HSI50_i,26550.5,26598.5,26516.0,26611.5,26563.75,26575.333333333332,26581.125,26569.125,15375,2019-11-18 16:00:00
26,HSI50_i,26928.5,26988.5,26919.5,27051.5,26985.5,26986.5,26987.0,26972.0,11060,2019-11-19 04:00:00
27,HSI50_i,26989.5,27094.5,26972.5,27106.5,27039.5,27057.833333333332,27067.0,27040.75,33830,2019-11-19 08:00:00
28,HSI50_i,27094.5,27020.5,27011.5,27116.5,27064.0,27049.5,27042.25,27060.75,14090,2019-11-19 12:00:00
29,HSI50_i,27020.5,26905.5,26884.5,27030.5,26957.5,26940.166666666668,26931.5,26960.25,16135,2019-11-19 16:00:00
30,HSI50_i,26897.0,26922.5,26878.5,26957.5,26918.0,26919.5,26920.25,26913.875,8800,2019-11-20 04:00:00
31,HSI50_i,26922.5,26815.0,26738.0,26938.5,26838.25,26830.5,26826.625,26853.5,29285,2019-11-20 08:00:00
32,HSI50_i,26817.0,26813.5,26765.0,26831.0,26798.0,26803.166666666668,26805.75,26806.625,13985,2019-11-20 12:00:00
33,HSI50_i,26813.5,26828.5,26804.5,26864.0,26834.25,26832.333333333332,26831.375,26827.625,12895,2019-11-20 16:00:00
34,HSI50_i,26408.0,26422.0,26407.0,26467.0,26437.0,26432.0,26429.5,26426.0,10185,2019-11-21 04:00:00
35,HSI50_i,26420.0,26463.5,26399.5,26504.0,26451.75,26455.666666666668,26457.625,26446.75,29585,2019-11-21 08:00:00
36,HSI50_i,26464.0,26536.0,26464.0,26583.0,26523.5,26527.666666666668,26529.75,26511.75,19465,2019-11-21 12:00:00
37,HSI50_i,26534.0,26506.5,26448.0,26558.0,26503.0,26504.166666666668,26504.75,26511.625,20565,2019-11-21 16:00:00
38,HSI50_i,26516.0,26513.0,26508.0,26556.0,26532.0,26525.666666666668,26522.5,26523.25,7430,2019-11-22 04:00:00
39,HSI50_i,26511.5,26595.5,26475.5,26637.5,26556.5,26569.5,26576.0,26555.0,26715,2019-11-22 08:00:00
40,HSI50_i,26595.0,26615.5,26560.0,26635.0,26597.5,26603.5,26606.5,26601.375,15650,2019-11-22 12:00:00
41,HSI50_i,26614.0,26569.0,26557.5,26650.0,26603.75,26592.166666666668,26586.375,26597.625,14865,2019-11-22 16:00:00
42,HSI50_i,27077.0,27050.0,27004.0,27077.0,27040.5,27043.666666666668,27045.25,27052.0,7965,2019-11-25 04:00:00
43,HSI50_i,27049.0,27006.0,26931.0,27067.0,26999.0,27001.333333333332,27002.5,27013.25,26235,2019-11-25 08:00:00
44,HSI50_i,27005.0,26999.0,26968.0,27020.0,26994.0,26995.666666666668,26996.5,26998.0,12395,2019-11-25 12:00:00
45,HSI50_i,27000.0,27067.0,26963.0,27090.0,27026.5,27040.0,27046.75,27030.0,12545,2019-11-25 16:00:00
46,HSI50_i,26976.5,26979.5,26948.5,27032.5,26990.5,26986.833333333332,26985.0,26984.25,9490,2019-11-26 04:00:00
47,HSI50_i,26978.5,26954.5,26903.5,27012.5,26958.0,26956.833333333332,26956.25,26962.25,26240,2019-11-26 08:00:00
48,HSI50_i,26954.5,26988.5,26947.5,26999.5,26973.5,26978.5,26981.0,26972.5,12084,2019-11-26 12:00:00
49,HSI50_i,26987.5,26955.0,26923.5,27004.0,26963.75,26960.833333333332,26959.375,26967.5,13665,2019-11-26 16:00:00
50,HSI50_i,26925.5,26894.0,26883.5,26937.5,26910.5,26905.0,26902.25,26910.125,6010,2019-11-27 04:00:00
51,HSI50_i,26892.0,27023.5,26887.5,27026.5,26957.0,26979.166666666668,26990.25,26957.375,19110,2019-11-27 08:00:00
52,HSI50_i,27022.5,26960.0,26960.0,27024.5,26992.25,26981.5,26976.125,26991.75,9685,2019-11-27 12:00:00
