,NIKK225_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NIKK225_i,26741.0,26742.0,26702.0,26782.0,26742.0,26742.0,26742.0,26741.75,1996,2020-12-16 04:00:00
1,NIKK225_i,26736.0,26762.0,26716.0,26802.0,26759.0,26760.0,26760.5,26754.0,1747,2020-12-16 08:00:00
2,NIKK225_i,26762.0,26747.0,26732.0,26792.0,26762.0,26757.0,26754.5,26758.25,1265,2020-12-16 12:00:00
3,NIKK225_i,26747.0,26767.0,26712.0,26782.0,26747.0,26753.666666666668,26757.0,26752.0,1847,2020-12-16 16:00:00
4,NIKK225_i,26767.0,26807.0,26736.0,26812.0,26774.0,26785.0,26790.5,26780.5,1133,2020-12-16 20:00:00
5,NIKK225_i,26796.0,26752.0,26666.0,26802.0,26734.0,26740.0,26743.0,26754.0,2309,2020-12-17 00:00:00
6,NIKK225_i,26752.0,26807.0,26721.0,26827.0,26774.0,26785.0,26790.5,26776.75,2173,2020-12-17 04:00:00
7,NIKK225_i,26807.0,26796.0,26781.0,26857.0,26819.0,26811.333333333332,26807.5,26810.25,1750,2020-12-17 08:00:00
8,NIKK225_i,26797.0,26797.0,26781.0,26817.0,26799.0,26798.333333333332,26798.0,26798.0,1014,2020-12-17 12:00:00
9,NIKK225_i,26797.0,26802.0,26772.0,26822.0,26797.0,26798.666666666668,26799.5,26798.25,1348,2020-12-17 16:00:00
10,NIKK225_i,26802.0,26796.0,26766.0,26812.0,26789.0,26791.333333333332,26792.5,26794.0,690,2020-12-17 20:00:00
11,NIKK225_i,26771.0,26766.0,26736.0,26806.0,26771.0,26769.333333333332,26768.5,26769.75,1840,2020-12-18 00:00:00
12,NIKK225_i,26766.0,26747.0,26696.0,26771.0,26733.5,26738.0,26740.25,26745.0,1591,2020-12-18 04:00:00
13,NIKK225_i,26752.0,26826.0,26731.0,26871.0,26801.0,26809.333333333332,26813.5,26795.0,1742,2020-12-18 08:00:00
14,NIKK225_i,26826.0,26781.0,26781.0,26841.0,26811.0,26801.0,26796.0,26807.25,1216,2020-12-18 12:00:00
15,NIKK225_i,26781.0,26751.0,26721.0,26796.0,26758.5,26756.0,26754.75,26762.25,1720,2020-12-18 16:00:00
16,NIKK225_i,26751.0,26747.0,26691.0,26786.0,26738.5,26741.333333333332,26742.75,26743.75,1285,2020-12-18 20:00:00
17,NIKK225_i,26815.0,26550.0,26510.0,26886.0,26698.0,26648.666666666668,26624.0,26690.25,3700,2020-12-21 00:00:00
18,NIKK225_i,26550.0,26690.0,26545.0,26715.0,26630.0,26650.0,26660.0,26625.0,2442,2020-12-21 04:00:00
19,NIKK225_i,26690.0,26475.0,26465.0,26710.0,26587.5,26550.0,26531.25,26585.0,3223,2020-12-21 08:00:00
