,NZDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NZDJPY_i,72.828,73.32,72.809,73.369,73.089,73.166,73.2045,73.0815,10191,2020-12-21 16:00:00
1,NZDJPY_i,73.309,73.325,73.283,73.482,73.3825,73.36333333333333,73.35374999999999,73.34975,5804,2020-12-21 20:00:00
2,NZDJPY_i,73.328,73.204,73.15,73.44,73.295,73.26466666666666,73.2495,73.28049999999999,4926,2020-12-22 00:00:00
3,NZDJPY_i,73.201,73.03,72.958,73.217,73.0875,73.06833333333334,73.05875,73.1015,5128,2020-12-22 04:00:00
4,NZDJPY_i,73.031,72.802,72.791,73.138,72.9645,72.91033333333333,72.88325,72.9405,7984,2020-12-22 08:00:00
5,NZDJPY_i,72.803,73.068,72.791,73.129,72.96000000000001,72.996,73.014,72.94775,7924,2020-12-22 12:00:00
6,NZDJPY_i,73.069,72.958,72.883,73.156,73.0195,72.999,72.98875,73.0165,9904,2020-12-22 16:00:00
7,NZDJPY_i,72.958,72.876,72.876,73.043,72.9595,72.93166666666667,72.91775000000001,72.93825000000001,3889,2020-12-22 20:00:00
8,NZDJPY_i,72.887,72.954,72.825,73.022,72.9235,72.93366666666667,72.93875,72.922,5834,2020-12-23 00:00:00
9,NZDJPY_i,72.953,72.915,72.861,72.993,72.92699999999999,72.923,72.921,72.9305,4678,2020-12-23 04:00:00
10,NZDJPY_i,72.917,73.234,72.914,73.279,73.09649999999999,73.14233333333333,73.16524999999999,73.08599999999998,6214,2020-12-23 08:00:00
11,NZDJPY_i,73.238,73.2,73.147,73.34,73.24350000000001,73.229,73.22175,73.23125,6427,2020-12-23 12:00:00
12,NZDJPY_i,73.197,73.439,73.187,73.529,73.358,73.385,73.3985,73.338,10068,2020-12-23 16:00:00
13,NZDJPY_i,73.439,73.444,73.413,73.553,73.483,73.47000000000001,73.46350000000001,73.46225000000001,3934,2020-12-23 20:00:00
14,NZDJPY_i,73.445,73.529,73.377,73.58,73.4785,73.49533333333333,73.50375,73.48275,4766,2020-12-24 00:00:00
15,NZDJPY_i,73.529,73.465,73.417,73.575,73.49600000000001,73.48566666666667,73.4805,73.4965,4568,2020-12-24 04:00:00
16,NZDJPY_i,73.465,73.646,73.435,73.682,73.55850000000001,73.58766666666668,73.60225000000001,73.55700000000002,5208,2020-12-24 08:00:00
17,NZDJPY_i,73.647,73.676,73.562,73.773,73.66749999999999,73.67033333333332,73.67174999999999,73.66449999999999,4840,2020-12-24 12:00:00
18,NZDJPY_i,73.672,73.716,73.576,73.763,73.6695,73.685,73.69275,73.68175,5325,2020-12-24 16:00:00
19,NZDJPY_i,73.712,73.728,73.409,73.771,73.59,73.63600000000001,73.659,73.655,1093,2020-12-24 20:00:00
20,NZDJPY_i,73.582,73.711,73.478,73.753,73.6155,73.64733333333334,73.66325,73.631,5667,2020-12-28 00:00:00
21,NZDJPY_i,73.711,73.741,73.696,73.843,73.7695,73.75999999999999,73.75524999999999,73.74775,4218,2020-12-28 04:00:00
22,NZDJPY_i,73.733,73.77,73.724,73.844,73.78399999999999,73.77933333333333,73.77699999999999,73.76774999999999,4245,2020-12-28 08:00:00
23,NZDJPY_i,73.77,73.615,73.58,73.775,73.67750000000001,73.65666666666668,73.64625000000001,73.685,6721,2020-12-28 12:00:00
24,NZDJPY_i,73.618,73.665,73.509,73.792,73.6505,73.65533333333333,73.65775000000001,73.646,7054,2020-12-28 16:00:00
25,NZDJPY_i,73.666,73.66,73.612,73.732,73.672,73.66799999999999,73.666,73.66749999999999,2504,2020-12-28 20:00:00
26,NZDJPY_i,73.66,73.822,73.554,73.843,73.6985,73.73966666666666,73.76025,73.71975,4420,2020-12-29 00:00:00
27,NZDJPY_i,73.822,73.833,73.757,73.859,73.80799999999999,73.81633333333333,73.8205,73.81774999999999,4600,2020-12-29 04:00:00
28,NZDJPY_i,73.832,73.929,73.813,73.945,73.87899999999999,73.89566666666666,73.904,73.87975,4573,2020-12-29 08:00:00
29,NZDJPY_i,73.924,74.145,73.878,74.145,74.0115,74.056,74.07825,74.023,4616,2020-12-29 12:00:00
30,NZDJPY_i,74.144,74.032,74.019,74.226,74.1225,74.09233333333333,74.07724999999999,74.10525,8978,2020-12-29 16:00:00
31,NZDJPY_i,74.027,74.03,73.947,74.08,74.0135,74.01899999999999,74.02175,74.021,3590,2020-12-29 20:00:00
32,NZDJPY_i,74.03,74.13,73.921,74.203,74.06200000000001,74.08466666666668,74.096,74.071,5172,2020-12-30 00:00:00
33,NZDJPY_i,74.13,74.201,74.048,74.266,74.15700000000001,74.17166666666667,74.179,74.16125,5157,2020-12-30 04:00:00
34,NZDJPY_i,74.201,74.108,74.094,74.243,74.1685,74.14833333333333,74.13825,74.16149999999999,5290,2020-12-30 08:00:00
35,NZDJPY_i,74.108,74.134,74.081,74.234,74.1575,74.14966666666668,74.14575,74.13925,6742,2020-12-30 12:00:00
36,NZDJPY_i,74.14,74.398,74.024,74.458,74.241,74.29333333333334,74.3195,74.255,9129,2020-12-30 16:00:00
37,NZDJPY_i,74.393,74.281,74.281,74.437,74.35900000000001,74.33300000000001,74.32000000000001,74.34800000000001,3201,2020-12-30 20:00:00
38,NZDJPY_i,74.246,74.522,74.17,74.592,74.381,74.428,74.4515,74.3825,3780,2020-12-31 00:00:00
