,RUBRUR,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-21 16:00:00
1,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-21 20:00:00
2,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-22 00:00:00
3,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-22 04:00:00
4,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-22 08:00:00
5,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-22 12:00:00
6,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-22 16:00:00
7,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-22 20:00:00
8,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-23 00:00:00
9,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-23 04:00:00
10,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-23 08:00:00
11,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-23 12:00:00
12,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-23 16:00:00
13,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-23 20:00:00
14,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-24 00:00:00
15,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-24 04:00:00
16,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-24 08:00:00
17,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-24 12:00:00
18,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-24 16:00:00
19,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-24 20:00:00
20,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-28 00:00:00
21,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-28 04:00:00
22,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-28 08:00:00
23,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-28 12:00:00
24,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-28 16:00:00
25,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-28 20:00:00
26,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-29 00:00:00
27,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-29 04:00:00
28,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-29 08:00:00
29,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-29 12:00:00
30,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-29 16:00:00
31,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-29 20:00:00
32,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-30 00:00:00
33,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-30 04:00:00
34,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-30 08:00:00
35,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-30 12:00:00
36,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-30 16:00:00
37,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-30 20:00:00
38,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,2020-12-31 00:00:00
