,SPX500_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,SPX500_i,3692.9,3695.9,3692.6,3699.6,3696.1,3696.0333333333333,3696.0,3695.25,1440,2020-12-16 04:00:00
1,SPX500_i,3695.8,3706.4,3694.0,3708.9,3701.45,3703.1,3703.9249999999997,3701.2749999999996,2298,2020-12-16 08:00:00
2,SPX500_i,3706.4,3703.1,3700.5,3711.5,3706.0,3705.0333333333333,3704.55,3705.375,2261,2020-12-16 12:00:00
3,SPX500_i,3703.1,3702.9,3691.5,3706.3,3698.9,3700.2333333333336,3700.9,3700.9500000000003,4102,2020-12-16 16:00:00
4,SPX500_i,3703.0,3704.7,3693.4,3714.4,3703.9,3704.1666666666665,3704.3,3703.875,3898,2020-12-16 20:00:00
5,SPX500_i,3706.0,3705.9,3702.3,3708.5,3705.4,3705.566666666667,3705.65,3705.675,1213,2020-12-17 00:00:00
6,SPX500_i,3705.8,3715.8,3705.0,3716.3,3710.65,3712.366666666667,3713.2250000000004,3710.7250000000004,1303,2020-12-17 04:00:00
7,SPX500_i,3715.8,3723.6,3714.8,3727.6,3721.2,3722.0,3722.4,3720.45,2068,2020-12-17 08:00:00
8,SPX500_i,3723.8,3719.6,3717.9,3725.6,3721.75,3721.0333333333333,3720.675,3721.7250000000004,1602,2020-12-17 12:00:00
9,SPX500_i,3719.6,3718.7,3712.4,3727.1,3719.75,3719.4,3719.2250000000004,3719.4500000000003,3990,2020-12-17 16:00:00
10,SPX500_i,3718.7,3723.6,3716.9,3724.4,3720.65,3721.633333333333,3722.125,3720.8999999999996,2488,2020-12-17 20:00:00
11,SPX500_i,3723.8,3718.2,3717.7,3724.8,3721.25,3720.2333333333336,3719.7250000000004,3721.125,983,2020-12-18 00:00:00
12,SPX500_i,3718.2,3715.3,3709.8,3719.5,3714.65,3714.866666666667,3714.9750000000004,3715.7,1457,2020-12-18 04:00:00
13,SPX500_i,3715.3,3725.0,3714.2,3733.5,3723.85,3724.2333333333336,3724.425,3722.0,2018,2020-12-18 08:00:00
14,SPX500_i,3725.3,3726.0,3722.8,3729.5,3726.15,3726.1,3726.075,3725.8999999999996,2248,2020-12-18 12:00:00
15,SPX500_i,3726.0,3706.5,3693.9,3732.0,3712.95,3710.7999999999997,3709.725,3714.6,5438,2020-12-18 16:00:00
16,SPX500_i,3706.5,3709.9,3687.8,3722.7,3705.25,3706.7999999999997,3707.575,3706.725,4701,2020-12-18 20:00:00
17,SPX500_i,3717.7,3710.7,3707.4,3721.9,3714.65,3713.3333333333335,3712.675,3714.425,2758,2020-12-21 00:00:00
18,SPX500_i,3710.7,3719.0,3706.9,3719.9,3713.4,3715.2666666666664,3716.2,3714.125,2267,2020-12-21 04:00:00
19,SPX500_i,3719.0,3675.3,3671.7,3719.0,3695.35,3688.6666666666665,3685.325,3696.25,4656,2020-12-21 08:00:00
20,SPX500_i,3675.3,3659.4,3606.9,3675.4,3641.15,3647.2333333333336,3650.275,3654.25,10689,2020-12-21 12:00:00
21,SPX500_i,3659.9,3689.4,3636.2,3691.6,3663.8999999999996,3672.3999999999996,3676.6499999999996,3669.2749999999996,8915,2020-12-21 16:00:00
22,SPX500_i,3689.5,3696.6,3682.6,3704.9,3693.75,3694.7000000000003,3695.175,3693.4,4883,2020-12-21 20:00:00
23,SPX500_i,3695.4,3693.0,3686.0,3697.6,3691.8,3692.2000000000003,3692.4,3693.0,2043,2020-12-22 00:00:00
24,SPX500_i,3693.1,3678.0,3674.6,3699.2,3686.8999999999996,3683.933333333333,3682.45,3686.225,3390,2020-12-22 04:00:00
25,SPX500_i,3678.0,3696.1,3674.0,3703.6,3688.8,3691.2333333333336,3692.4500000000003,3687.925,4490,2020-12-22 08:00:00
26,SPX500_i,3696.4,3699.9,3693.5,3705.2,3699.35,3699.5333333333333,3699.625,3698.75,2996,2020-12-22 12:00:00
27,SPX500_i,3700.1,3690.4,3676.1,3701.1,3688.6,3689.2000000000003,3689.5,3691.925,6146,2020-12-22 16:00:00
28,SPX500_i,3690.7,3688.4,3682.0,3698.5,3690.25,3689.633333333333,3689.325,3689.8999999999996,3846,2020-12-22 20:00:00
29,SPX500_i,3688.7,3671.4,3661.6,3694.9,3678.25,3675.9666666666667,3674.825,3679.1499999999996,3583,2020-12-23 00:00:00
30,SPX500_i,3671.4,3681.5,3665.5,3685.7,3675.6,3677.566666666667,3678.55,3676.025,2765,2020-12-23 04:00:00
31,SPX500_i,3681.5,3697.9,3680.6,3698.7,3689.6499999999996,3692.3999999999996,3693.7749999999996,3689.6749999999997,2722,2020-12-23 08:00:00
32,SPX500_i,3697.9,3697.4,3692.1,3700.9,3696.5,3696.7999999999997,3696.95,3697.075,1801,2020-12-23 12:00:00
33,SPX500_i,3697.6,3708.4,3696.1,3709.5,3702.8,3704.6666666666665,3705.6,3702.9,4301,2020-12-23 16:00:00
34,SPX500_i,3708.5,3691.4,3689.9,3711.7,3700.8,3697.6666666666665,3696.1,3700.375,2525,2020-12-23 20:00:00
35,SPX500_i,3695.1,3697.2,3688.8,3698.8,3693.8,3694.933333333333,3695.5,3694.975,1759,2020-12-24 00:00:00
