,STOXX50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,STOXX50_i,3539.8,3526.8,3522.3,3539.8,3531.05,3529.6333333333337,3528.925,3532.175,3226,2020-12-09 16:00:00
1,STOXX50_i,3526.8,3525.7,3510.8,3530.8,3520.8,3522.433333333333,3523.25,3523.5249999999996,3495,2020-12-09 20:00:00
2,STOXX50_i,3525.6,3523.7,3521.7,3527.7,3524.7,3524.3666666666663,3524.2,3524.6749999999997,1050,2020-12-10 00:00:00
3,STOXX50_i,3523.7,3523.7,3520.7,3528.7,3524.7,3524.3666666666663,3524.2,3524.2,1066,2020-12-10 04:00:00
4,STOXX50_i,3522.7,3531.7,3514.7,3537.7,3526.2,3528.033333333333,3528.95,3526.7,3019,2020-12-10 08:00:00
5,STOXX50_i,3531.7,3500.6,3494.7,3537.7,3516.2,3511.0,3508.4,3516.175,3622,2020-12-10 12:00:00
6,STOXX50_i,3500.7,3513.7,3493.7,3527.7,3510.7,3511.6999999999994,3512.2,3508.95,5126,2020-12-10 16:00:00
7,STOXX50_i,3512.7,3514.6,3507.7,3520.7,3514.2,3514.3333333333335,3514.4,3513.925,2117,2020-12-10 20:00:00
8,STOXX50_i,3515.6,3517.7,3512.6,3521.6,3517.1,3517.2999999999997,3517.3999999999996,3516.875,1195,2020-12-11 00:00:00
9,STOXX50_i,3517.7,3511.7,3506.7,3518.6,3512.6499999999996,3512.3333333333335,3512.175,3513.675,1157,2020-12-11 04:00:00
10,STOXX50_i,3511.7,3483.7,3474.7,3512.7,3493.7,3490.3666666666663,3488.7,3495.7,3897,2020-12-11 08:00:00
11,STOXX50_i,3483.7,3484.7,3456.7,3488.7,3472.7,3476.6999999999994,3478.7,3478.45,4161,2020-12-11 12:00:00
12,STOXX50_i,3483.6,3478.7,3472.6,3496.7,3484.6499999999996,3482.6666666666665,3481.675,3482.9,3777,2020-12-11 16:00:00
13,STOXX50_i,3478.6,3490.6,3477.6,3490.7,3484.1499999999996,3486.2999999999997,3487.375,3484.375,1990,2020-12-11 20:00:00
14,STOXX50_i,3496.9,3505.7,3490.9,3510.7,3500.8,3502.433333333333,3503.25,3501.0499999999997,1423,2020-12-14 00:00:00
15,STOXX50_i,3505.7,3498.7,3494.7,3505.7,3500.2,3499.6999999999994,3499.45,3501.2,896,2020-12-14 04:00:00
16,STOXX50_i,3499.6,3513.7,3497.7,3521.7,3509.7,3511.033333333333,3511.7,3508.1749999999997,4390,2020-12-14 08:00:00
17,STOXX50_i,3513.7,3518.7,3513.7,3528.7,3521.2,3520.3666666666663,3519.95,3518.7,1667,2020-12-14 12:00:00
18,STOXX50_i,3518.6,3499.7,3499.7,3520.7,3510.2,3506.6999999999994,3504.95,3509.6749999999997,2982,2020-12-14 16:00:00
19,STOXX50_i,3499.7,3489.7,3489.7,3500.7,3495.2,3493.3666666666663,3492.45,3494.95,1701,2020-12-14 20:00:00
20,STOXX50_i,3493.5,3494.6,3489.7,3498.6,3494.1499999999996,3494.2999999999997,3494.375,3494.1,1577,2020-12-15 00:00:00
21,STOXX50_i,3493.6,3497.6,3489.7,3497.6,3493.6499999999996,3494.9666666666667,3495.625,3494.625,1446,2020-12-15 04:00:00
22,STOXX50_i,3497.6,3520.6,3491.6,3525.6,3508.6,3512.6,3514.6,3508.85,2946,2020-12-15 08:00:00
23,STOXX50_i,3521.6,3521.6,3513.6,3522.6,3518.1,3519.2666666666664,3519.85,3519.85,1450,2020-12-15 12:00:00
24,STOXX50_i,3522.6,3527.6,3510.6,3527.6,3519.1,3521.933333333333,3523.35,3522.1,2853,2020-12-15 16:00:00
25,STOXX50_i,3527.6,3534.5,3526.6,3536.7,3531.6499999999996,3532.6,3533.075,3531.35,1155,2020-12-15 20:00:00
26,STOXX50_i,3530.3,3526.5,3524.5,3536.4,3530.45,3529.133333333333,3528.475,3529.425,542,2020-12-16 00:00:00
27,STOXX50_i,3526.5,3530.5,3526.5,3532.5,3529.5,3529.8333333333335,3530.0,3529.0,455,2020-12-16 04:00:00
28,STOXX50_i,3530.5,3552.5,3528.5,3557.5,3543.0,3546.1666666666665,3547.75,3542.25,3338,2020-12-16 08:00:00
29,STOXX50_i,3551.5,3532.5,3532.4,3556.5,3544.45,3540.4666666666667,3538.475,3543.225,1744,2020-12-16 12:00:00
30,STOXX50_i,3532.5,3540.5,3520.5,3542.5,3531.5,3534.5,3536.0,3534.0,2271,2020-12-16 16:00:00
31,STOXX50_i,3540.5,3544.4,3535.4,3548.5,3541.95,3542.7666666666664,3543.1749999999997,3542.2,1918,2020-12-16 20:00:00
32,STOXX50_i,3544.3,3542.4,3540.0,3545.4,3542.7,3542.6,3542.5499999999997,3543.0249999999996,1009,2020-12-17 00:00:00
33,STOXX50_i,3541.4,3551.4,3540.4,3552.4,3546.4,3548.066666666667,3548.9,3546.4,690,2020-12-17 04:00:00
34,STOXX50_i,3550.4,3559.7,3548.4,3570.4,3559.4,3559.5,3559.55,3557.225,2635,2020-12-17 08:00:00
35,STOXX50_i,3559.7,3560.3,3554.7,3566.3,3560.5,3560.433333333333,3560.3999999999996,3560.25,2401,2020-12-17 12:00:00
36,STOXX50_i,3561.3,3559.8,3555.0,3571.3,3563.15,3562.0333333333333,3561.4750000000004,3561.8500000000004,2311,2020-12-17 16:00:00
37,STOXX50_i,3560.8,3557.8,3554.8,3562.8,3558.8,3558.466666666667,3558.3,3559.05,860,2020-12-17 20:00:00
38,STOXX50_i,3556.9,3552.7,3551.9,3561.7,3556.8,3555.433333333333,3554.75,3555.7999999999997,594,2020-12-18 00:00:00
39,STOXX50_i,3552.7,3549.7,3541.7,3552.7,3547.2,3548.033333333333,3548.45,3549.2,876,2020-12-18 04:00:00
40,STOXX50_i,3548.7,3567.7,3544.7,3585.7,3565.2,3566.033333333333,3566.45,3561.7,3125,2020-12-18 08:00:00
41,STOXX50_i,3567.7,3557.2,3557.2,3573.7,3565.45,3562.6999999999994,3561.325,3563.95,3362,2020-12-18 12:00:00
42,STOXX50_i,3557.2,3543.7,3535.7,3559.7,3547.7,3546.3666666666663,3545.7,3549.075,2979,2020-12-18 16:00:00
43,STOXX50_i,3543.7,3540.7,3529.7,3544.7,3537.2,3538.3666666666663,3538.95,3539.7,1916,2020-12-18 20:00:00
44,STOXX50_i,3536.5,3483.9,3481.9,3536.7,3509.3,3500.8333333333335,3496.6,3509.75,2889,2020-12-21 00:00:00
